gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	signature_direction	discovery_rank_within_direction	selection_cohort	validation_used_for_selection	panel_order_within_arm	panel_arm	route_weight	biological_role	nomination_status	nomination_constraints	weights_fitted_to_outcome	cutpoint_optimised	gene_swapping_after_fixing_for_evaluation
OLFM4	0.7293857	0.72205144	0.2635015115141869	1.296439653635025	0.999	0.002	0.04607232	0.015846696449565	False	True	True	0.7293857	adenoma_up	1.0	Chen discovery only	False	1	WNT_stem_progenitor_up	1.0	intestinal stem/progenitor marker and tissue-level protein anchor	post_hoc_biology_guided_compact_candidate	locked-programme member; discovery rank <=20; interpretable arm role; complete principal-platform coverage; balanced 5+5 architecture	False	False	False
ASCL2	0.50405955	0.50497675	0.2835490621626377	0.7455495700240135	1.0	0.0009990009990009	0.0049427166	0.0126510092688221	False	True	True	0.50405955	adenoma_up	8.0	Chen discovery only	False	2	WNT_stem_progenitor_up	1.0	WNT-responsive intestinal stem-cell transcription factor	post_hoc_biology_guided_compact_candidate	locked-programme member; discovery rank <=20; interpretable arm role; complete principal-platform coverage; balanced 5+5 architecture	False	False	False
RNF43	0.4764946	0.4774106	0.2538956291973591	0.6859840527176857	1.0	0.0009990009990009	0.010522959	0.0126510092688221	False	True	True	0.4764946	adenoma_up	9.0	Chen discovery only	False	3	WNT_stem_progenitor_up	1.0	WNT target and receptor-level negative-feedback regulator	post_hoc_biology_guided_compact_candidate	locked-programme member; discovery rank <=20; interpretable arm role; complete principal-platform coverage; balanced 5+5 architecture	False	False	False
NKD1	0.4699508	0.46676815	0.1873228497803211	0.790768727660179	1.0	0.0009990009990009	0.0030282072	0.0126510092688221	False	True	True	0.4699508	adenoma_up	10.0	Chen discovery only	False	4	WNT_stem_progenitor_up	1.0	WNT-inducible intracellular negative-feedback regulator	post_hoc_biology_guided_compact_candidate	locked-programme member; discovery rank <=20; interpretable arm role; complete principal-platform coverage; balanced 5+5 architecture	False	False	False
AXIN2	0.42774308	0.42650798	0.2116329345852136	0.6518554106354714	1.0	0.0009990009990009	0.03514409	0.0126510092688221	False	True	True	0.42774308	adenoma_up	14.0	Chen discovery only	False	5	WNT_stem_progenitor_up	1.0	canonical beta-catenin transcriptional readout and feedback regulator	post_hoc_biology_guided_compact_candidate	locked-programme member; discovery rank <=20; interpretable arm role; complete principal-platform coverage; balanced 5+5 architecture	False	False	False
FABP1	-0.6395843	-0.6382067	-0.9186004295945168	-0.3872826799750328	1.0	0.0009990009990009	0.052314155	0.0126510092688221	False	True	True	0.6395843	adenoma_down	1.0	Chen discovery only	False	1	mature_differentiation_down	-1.0	mature absorptive epithelial lipid-handling component	post_hoc_biology_guided_compact_candidate	locked-programme member; discovery rank <=20; interpretable arm role; complete principal-platform coverage; balanced 5+5 architecture	False	False	False
CA2	-0.50416976	-0.5125221	-0.6816637873649597	-0.3085517391562462	1.0	0.0009990009990009	0.06303602	0.0126510092688221	False	True	True	0.50416976	adenoma_down	12.0	Chen discovery only	False	2	mature_differentiation_down	-1.0	mature absorptive/ion-transport component and tissue-level protein anchor	post_hoc_biology_guided_compact_candidate	locked-programme member; discovery rank <=20; interpretable arm role; complete principal-platform coverage; balanced 5+5 architecture	False	False	False
PCK1	-0.6020564	-0.60729563	-0.907538415491581	-0.243793984875083	1.0	0.0009990009990009	0.10194124	0.0126510092688221	False	True	True	0.6020564	adenoma_down	4.0	Chen discovery only	False	3	mature_differentiation_down	-1.0	differentiated epithelial metabolic component	post_hoc_biology_guided_compact_candidate	locked-programme member; discovery rank <=20; interpretable arm role; complete principal-platform coverage; balanced 5+5 architecture	False	False	False
LGALS4	-0.5996236	-0.59609747	-0.871893173456192	-0.3489664018154145	1.0	0.0009990009990009	0.0062964093	0.0126510092688221	False	True	True	0.5996236	adenoma_down	5.0	Chen discovery only	False	4	mature_differentiation_down	-1.0	mature intestinal epithelial differentiation/adhesion component	post_hoc_biology_guided_compact_candidate	locked-programme member; discovery rank <=20; interpretable arm role; complete principal-platform coverage; balanced 5+5 architecture	False	False	False
AQP8	-0.4854524	-0.4843511	-0.6943642288446427	-0.28683115914464	1.0	0.0009990009990009	0.13634369	0.0126510092688221	False	True	True	0.4854524	adenoma_down	16.0	Chen discovery only	False	5	mature_differentiation_down	-1.0	mature absorptive epithelial water-transport component	post_hoc_biology_guided_compact_candidate	locked-programme member; discovery rank <=20; interpretable arm role; complete principal-platform coverage; balanced 5+5 architecture	False	False	False
