gene	panel_arm	route_weight	discovery_rank_within_direction	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high	direction_stability	biological_role	n_principal_transcriptomic_resources_present	n_principal_transcriptomic_resources	complete_principal_platform_coverage	ffpe_n_pairs	ffpe_median_paired_delta	ffpe_pair_direction_fraction_raw_above_zero	ffpe_direction_matches_expected	ffpe_q_bh_candidates	ffpe_fraction_in_expected_direction	n_recruitment_clusters_evaluable	n_cluster_direction_matches	cluster_direction_match_fraction	apc_organoid_contrasts_evaluable	apc_organoid_direction_matches	protein_gene_present	age_sex_adjusted_log2_effect	age_sex_adjusted_q_bh_candidates	pxd002137_adjusted_direction_match	pxd017269_detection_fraction	public_protein_evidence_tier	protein_evidence_available
OLFM4	WNT_stem_progenitor_up	1.0	1.0	0.7293857	0.2635015115141869	1.296439653635025	0.999	intestinal stem/progenitor marker and tissue-level protein anchor	7	7	True	51	2.463176647	0.8627450980392157	True	3.780029751490477e-07	0.8627450980392157	4	3	0.75	2	0	True	3.443250350112641	0.0009287499343529	True	0.8305084745762712	A_directional_protein_replication_and_ffpe_detectability	True
ASCL2	WNT_stem_progenitor_up	1.0	8.0	0.50405955	0.2835490621626377	0.7455495700240135	1.0	WNT-responsive intestinal stem-cell transcription factor	7	7	True	51	1.728582282	0.9215686274509804	True	2.6479198386543908e-08	0.9215686274509804	4	4	1.0	2	2	False			False	0.0	C_transcript_locked_not_detected_in_pxd002137	False
RNF43	WNT_stem_progenitor_up	1.0	9.0	0.4764946	0.2538956291973591	0.6859840527176857	1.0	WNT target and receptor-level negative-feedback regulator	7	7	True	51	1.890166916	0.9803921568627452	True	1.960925373669259e-08	0.9803921568627452	4	4	1.0	2	2	False			False	0.0	C_transcript_locked_not_detected_in_pxd002137	False
NKD1	WNT_stem_progenitor_up	1.0	10.0	0.4699508	0.1873228497803211	0.790768727660179	1.0	WNT-inducible intracellular negative-feedback regulator	7	7	True	51	1.0418182619999996	0.8431372549019608	True	1.3277337088156824e-07	0.8431372549019608	4	4	1.0	2	2	False			False	0.0	C_transcript_locked_not_detected_in_pxd002137	False
AXIN2	WNT_stem_progenitor_up	1.0	14.0	0.42774308	0.2116329345852136	0.6518554106354714	1.0	canonical beta-catenin transcriptional readout and feedback regulator	7	7	True	51	2.389566803	0.9607843137254902	True	1.960925373669259e-08	0.9607843137254902	4	4	1.0	2	2	True			False	0.0	C_incomplete_public_protein_support	True
FABP1	mature_differentiation_down	-1.0	1.0	-0.6395843	-0.9186004295945168	-0.3872826799750328	1.0	mature absorptive epithelial lipid-handling component	7	7	True	51	-1.028122381000001	0.1372549019607843	True	1.1591636505757091e-06	0.8627450980392157	4	3	0.75	2	1	True	-0.3121837446673254	0.5502857057619663	True	1.0	B_directional_support_and_ffpe_detectability	True
PCK1	mature_differentiation_down	-1.0	4.0	-0.6020564	-0.907538415491581	-0.243793984875083	1.0	differentiated epithelial metabolic component	7	7	True	51	-2.290848746	0.1764705882352941	True	3.6033848237487874e-07	0.8235294117647058	4	3	0.75	2	2	True	-4.1351099994335465	1.1627898854181935e-10	True	0.5084745762711864	C_incomplete_public_protein_support	True
LGALS4	mature_differentiation_down	-1.0	5.0	-0.5996236	-0.871893173456192	-0.3489664018154145	1.0	mature intestinal epithelial differentiation/adhesion component	7	7	True	51	-0.4334863609999999	0.2745098039215686	True	7.016211466882534e-05	0.7254901960784315	4	3	0.75	2	1	False			False	1.0	C_transcript_locked_not_detected_in_pxd002137	False
CA2	mature_differentiation_down	-1.0	12.0	-0.50416976	-0.6816637873649597	-0.3085517391562462	1.0	mature absorptive/ion-transport component and tissue-level protein anchor	7	7	True	51	-2.373002602	0.0980392156862745	True	2.195149482815541e-08	0.9019607843137255	4	2	0.5	2	2	True	-3.438932504204696	8.311033567048068e-56	True	1.0	A_directional_protein_replication_and_ffpe_detectability	True
AQP8	mature_differentiation_down	-1.0	16.0	-0.4854524	-0.6943642288446427	-0.28683115914464	1.0	mature absorptive epithelial water-transport component	7	7	True	51	-2.245432377	0.0980392156862745	True	1.7354525238061266e-07	0.9019607843137255	4	3	0.75	2	2	True	1.5803707763094668	0.606719848595234	False	0.0	C_incomplete_public_protein_support	True
