hallmark	n_members_in_discovery_universe	discovery_universe_n	rank_auc	rank_biserial	enriched_direction	p_mann_whitney	member_genes_in_universe	q_bh	neg_log10_q	display_label
HALLMARK_OXIDATIVE_PHOSPHORYLATION	112	6127	0.12667883861774137	-0.7466423227645173	adenoma_down	6.972335545252412e-42	ACAA2;ACADM;ACADSB;ACAT1;AIFM1;ATP1B1;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1E;ATP5MC2;ATP5MC3;ATP5ME;ATP5MG;ATP5PB;ATP5PD;ATP5PO;ATP6V0E1;ATP6V1D;BCKDHA;BDH2;CASP7;COX10;COX15;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A2;COX7A2L;COX7B;COX7C;COX8A;CPT1A;CS;CYB5A;CYCS;DECR1;DLAT;DLD;ECH1;FDX1;FH;GLUD1;GOT2;HADHB;HCCS;HSPA9;HTRA2;IDH1;ISCA1;ISCU;LDHA;LDHB;LRPPRC;MAOB;MDH1;MDH2;MPC1;MRPL15;MRPL34;MRPL35;MRPS22;MRPS30;NDUFA1;NDUFA2;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFC1;NDUFS2;NDUFS3;NDUFV2;OAT;OXA1L;PDHA1;PDHB;PDK4;PHB2;PHYH;PRDX3;RETSAT;SDHB;SDHD;SLC25A3;SLC25A4;SLC25A5;SUCLG1;TIMM9;TOMM22;UQCR10;UQCR11;UQCRB;UQCRC2;UQCRFS1;UQCRH;UQCRQ;VDAC1;VDAC2;VDAC3	3.3467210617211578e-40	39.47538048316165	Oxidative Phosphorylation
HALLMARK_ADIPOGENESIS	76	6127	0.24990649653384825	-0.5001870069323036	adenoma_down	6.141690206525131e-14	ABCA1;ACAA2;ACADL;ACADM;ACOX1;AIFM1;AK2;ALDH2;APLP2;APOE;ARL4A;ATL2;ATP1B3;ATP5PO;BCKDHA;BCL6;CAT;CAVIN2;CCNG2;CDKN2C;COL4A1;COQ3;COX6A1;COX7B;COX8A;CRAT;CS;CYP4B1;DDT;DECR1;DLAT;DLD;DNAJC15;DRAM2;ECH1;FABP4;FAH;GADD45A;GHITM;HADH;HSPB8;IDH1;IFNGR1;LIFR;LPCAT3;MDH2;MRPL15;MTCH2;NDUFA5;NDUFAB1;NDUFS3;ORM1;PDCD4;PGM1;PHYH;PLIN2;PPP1R15B;PRDX3;PTGER3;QDPR;RETSAT;SCP2;SDHB;SLC19A1;SLC5A6;SOD1;SQOR;SUCLG1;TOB1;TST;UBQLN1;UCP2;UQCR10;UQCR11;UQCRQ;VEGFB	1.4740056495660315e-12	11.831500851910718	Adipogenesis
HALLMARK_FATTY_ACID_METABOLISM	69	6127	0.30359663350893057	-0.39280673298213886	adenoma_down	1.91955501509838e-08	AADAT;ACAA2;ACADL;ACADM;ACOT2;ACOX1;ACSL5;ADH1C;ADSL;ALDH1A1;ALDH3A1;ALDH9A1;APEX1;AQP7;CA2;CA4;CPOX;CPT1A;CRAT;CYP1A1;DECR1;DLD;ECH1;ECI2;ELOVL5;EPHX1;FABP1;FABP2;FH;FMO1;G0S2;GABARAPL1;GAD2;GLUL;GRHPR;H2AZ1;HADH;HADHB;HCCS;HMGCS2;HSD17B11;HSD17B4;HSDL2;HSP90AA1;HSPH1;IDH1;LDHA;LGALS1;MAOA;MDH1;MDH2;METAP1;MIX23;NBN;OSTC;PCBD1;PDHA1;PDHB;PRDX6;RETSAT;SDHD;SERINC1;SLC22A5;SMS;SUCLG1;TP53INP2;UBE2L6;UGDH;YWHAH	3.071288024157408e-07	6.512679453684996	Fatty Acid Metabolism
HALLMARK_PEROXISOME	37	6127	0.269875294013225	-0.46024941197354996	adenoma_down	1.338677509477582e-06	ABCB1;ABCB4;ABCD1;ABCD2;ABCD3;ACOX1;ACSL5;ALDH1A1;ALDH9A1;BCL10;CAT;CRABP1;CRAT;ECH1;ECI2;ELOVL5;HSD17B11;HSD17B4;HSD3B7;IDH1;ISOC1;PABPC1;PEX11A;PEX2;PEX5;PRDX5;RETSAT;RXRG;SCGB1A1;SCP2;SERPINA6;SIAH1;SLC25A4;SOD1;SOD2;UGT2B17;YWHAH	1.6064130113730985e-05	4.794142786890245	Peroxisome
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	18	6127	0.2188028591695313	-0.5623942816609374	adenoma_down	3.687127109645708e-05	CAT;CDKN2D;FES;FTL;GCLM;GLRX2;MGST1;MPO;NDUFA6;NDUFB4;NDUFS2;PDLIM1;PRDX6;PRNP;SOD1;SOD2;SRXN1;TXN	0.0003539642025259879	3.4510406572723555	Reactive Oxygen Species Pathway
HALLMARK_HEME_METABOLISM	53	6127	0.3507247097122905	-0.29855058057541894	adenoma_down	0.0001783091429056918	ABCB6;ABCG2;ADIPOR1;ANK1;ASNS;BPGM;BSG;BTG2;CA1;CA2;CAT;CCDC28A;CPOX;EPB42;FBXO7;FECH;FOXJ2;GCLM;GLRX5;GYPE;H1-0;HBQ1;HBZ;HDGF;HEBP1;HTATIP2;HTRA2;ISCA1;KHNYN;KLF1;LAMP2;LMO2;MKRN1;MPP1;MXI1;NCOA4;NFE2;NUDT4;PPOX;SDCBP;SELENBP1;SLC30A1;SLC30A10;TENT5C;TFRC;TMCC2;TMEM9B;TNS1;TYR;UCP2;VEZF1;XK;YPEL5	0.0010698548574341509	2.970675137166249	Heme Metabolism
HALLMARK_ANDROGEN_RESPONSE	24	6127	0.2783467147304604	-0.4433065705390792	adenoma_down	0.00017414437820086783	ANKH;B2M;CENPN;DBI;ELOVL5;GPD1L;GUCY1A1;H1-0;LIFR;MAF;MERTK;MYL12A;NCOA4;NDRG1;RAB4A;SGK1;SLC26A2;SLC38A2;SMS;SRP19;TMEM50A;TSC22D1;UAP1;VAPA	0.0010698548574341509	2.970675137166249	Androgen Response
HALLMARK_CHOLESTEROL_HOMEOSTASIS	17	6127	0.2365553095215173	-0.5268893809569655	adenoma_down	0.00017186369748600937	ACTG1;ADH4;ATF3;AVPR1A;CBS;CD9;CPEB2;ECH1;ETHE1;FABP5;GNAI1;GSTM2;LGALS3;MAL2;PLSCR1;PNRC1;TP53INP1	0.0010698548574341509	2.970675137166249	Cholesterol Homeostasis
HALLMARK_COMPLEMENT	46	6127	0.34407241371913944	-0.31185517256172113	adenoma_down	0.00026290364262228144	APOBEC3F;BRPF3;C1R;C9;CA2;CALM1;CASP1;CASP3;CASP5;CASP7;CD40LG;CD46;CDH13;CFH;COL4A2;CP;CPQ;CTSC;CTSL;CTSS;DYRK2;FDX1;GCA;GMFB;GNGT2;HSPA1A;HSPA5;IL6;JAK2;LAMP2;LAP3;LGALS3;LTA4H;LTF;MMP8;MT3;PIK3CG;PIK3R5;PLG;PLSCR1;PRCP;PRDM4;RCE1;S100A12;TFPI2;TNFAIP3	0.0014021527606521676	2.8532046686131487	Complement
HALLMARK_XENOBIOTIC_METABOLISM	74	6127	0.3840244506856104	-0.23195109862877916	adenoma_down	0.0005931081913386429	ABCD2;ACOX1;ACP1;ADH1C;ADH5;AHCY;AKR1C3;ALDH2;ALDH3A1;ALDH9A1;AP4B1;APOE;AQP9;BCAT1;CA2;CAT;CES1;CNDP2;CROT;CYB5A;CYFIP2;CYP1A1;CYP27A1;CYP2E1;CYP2J2;DCXR;DDAH2;DDC;DDT;DHRS1;ECH1;ELOVL5;ENPEP;EPHX1;ETS2;FABP1;FAH;FAS;FBP1;FETUB;FMO1;G6PC1;GABARAPL1;GNMT;GSTM4;HMOX1;HPRT1;IDH1;IRF8;KARS1;LEAP2;MAOA;MT2A;MTHFD1;NDRG2;NFS1;PDK4;PGRMC1;PLG;PROS1;REG1A;RETSAT;SERPINA6;SLC46A3;SLC6A6;SPINT2;TAT;TGFB2;TMBIM6;TMEM176B;TTPA;TYR;UGDH;VTN	0.002836449436810381	2.547224953862002	Xenobiotic Metabolism
