gene	signature_direction	discovery_rank_within_direction	present__Chen held-out	present__GSE8671	present__GSE50114	present__GSE41657	present__GSE40362	present__GSE72820	present__GSE117606 FFPE	n_principal_transcriptomic_resources_present	n_principal_transcriptomic_resources	complete_principal_platform_coverage
FABP1	adenoma_down	1	True	True	True	True	True	True	True	7	7	True
LGALS3	adenoma_down	2	True	True	True	True	True	True	True	7	7	True
PHGR1	adenoma_down	3	True	True	False	False	False	True	False	3	7	False
PCK1	adenoma_down	4	True	True	True	True	True	True	True	7	7	True
LGALS4	adenoma_down	5	True	True	True	True	True	True	True	7	7	True
CHP2	adenoma_down	6	True	True	True	True	True	True	True	7	7	True
C15orf48	adenoma_down	7	True	True	True	True	True	True	True	7	7	True
B2M	adenoma_down	8	True	True	True	True	True	True	True	7	7	True
BSG	adenoma_down	9	True	True	True	True	True	True	True	7	7	True
DHRS11	adenoma_down	10	True	True	True	True	False	True	True	6	7	False
SLC9A3-OT1	adenoma_down	11	True	False	False	False	False	False	False	1	7	False
CA2	adenoma_down	12	True	True	True	True	True	True	True	7	7	True
ETHE1	adenoma_down	13	True	True	True	True	True	True	True	7	7	True
SRI	adenoma_down	14	True	True	True	True	True	True	True	7	7	True
MYL6	adenoma_down	15	True	True	True	True	True	True	True	7	7	True
AQP8	adenoma_down	16	True	True	True	True	True	True	True	7	7	True
ATP5MC3	adenoma_down	17	True	False	False	False	False	False	True	2	7	False
FCGRT	adenoma_down	18	True	True	True	True	True	True	True	7	7	True
MT1G	adenoma_down	19	True	True	True	True	True	True	True	7	7	True
TPT1	adenoma_down	20	True	True	True	True	True	True	True	7	7	True
ITM2C	adenoma_down	21	True	True	True	True	True	True	True	7	7	True
TST	adenoma_down	22	True	True	True	True	True	True	True	7	7	True
SLC25A5	adenoma_down	23	True	True	True	True	True	True	False	6	7	False
CAMK2N1	adenoma_down	24	True	True	True	True	True	True	True	7	7	True
COX5A	adenoma_down	25	True	True	True	True	True	True	True	7	7	True
HMGCS2	adenoma_down	26	True	True	True	True	True	True	True	7	7	True
CYCS	adenoma_down	27	True	True	True	True	True	True	True	7	7	True
NDRG1	adenoma_down	28	True	True	True	True	True	True	True	7	7	True
PRDX6	adenoma_down	29	True	True	True	True	True	True	True	7	7	True
COX6A1	adenoma_down	30	True	True	True	True	True	True	False	6	7	False
