gene	panel_role	locked_signature_member	selected	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high	direction_stability	expected_direction
OLFM4	current_primary_up_arm	True	True	0.7293857	0.2635015115141869	1.296439653635025	0.999	1
REG1A	locked_signature_candidate	True	True	0.71312755	0.1992065485566854	1.367650660872459	1.0	1
CEMIP	locked_signature_candidate	True	True	0.6983576	0.3360619813203812	1.108135923743248	1.0	1
GRIN2B	locked_signature_candidate	True	True	0.6873841	0.2906365938484669	1.2021839708089828	1.0	1
CLDN2	locked_signature_candidate	True	True	0.57838947	0.2221621993929147	1.115135025978088	1.0	1
DPEP1	locked_signature_candidate	True	True	0.5104067	0.2444607697427273	0.7929241016507149	1.0	1
ZNRF3	locked_signature_candidate	True	True	0.5048981	0.2704494729638099	0.7402453705668449	1.0	1
ASCL2	locked_signature_candidate	True	True	0.50405955	0.2835490621626377	0.7455495700240135	1.0	1
RNF43	locked_signature_candidate	True	True	0.4764946	0.2538956291973591	0.6859840527176857	1.0	1
NKD1	locked_signature_candidate	True	True	0.4699508	0.1873228497803211	0.790768727660179	1.0	1
APCDD1	locked_signature_candidate	True	True	0.4612431	0.1512933179736137	0.8702012032270432	1.0	1
EPHB3	locked_signature_candidate	True	True	0.45734045	0.233486159145832	0.7171147078275679	1.0	1
SHISA9	locked_signature_candidate	True	True	0.4518485	0.0967411205172538	0.8431718304753303	0.998	1
AXIN2	locked_signature_candidate	True	True	0.42774308	0.2116329345852136	0.6518554106354714	1.0	1
MSX2	locked_signature_candidate	True	True	0.4173779	0.1878657259047031	0.6841770842671392	1.0	1
LGR5	locked_signature_candidate	True	True	0.41682506	0.2220236763358116	0.6516241267323494	1.0	1
LINC02350	locked_signature_candidate	True	True	0.41378772	0.137334755808115	0.800318731367588	1.0	1
L1TD1	locked_signature_candidate	True	True	0.41076347	0.1983405917882919	0.651724049448967	1.0	1
GDF15	locked_signature_candidate	True	True	0.40532106	0.2353492826223373	0.5925057128071785	1.0	1
SOX4	locked_signature_candidate	True	True	0.39757302	0.2365815501660108	0.5564755171537399	1.0	1
LINC01819	locked_signature_candidate	True	True	0.3956442	0.0749957386404275	0.8275866776704788	1.0	1
LINC01411	locked_signature_candidate	True	True	0.38985035	0.172009876742959	0.6850031167268752	0.999	1
SLC6A6	locked_signature_candidate	True	True	0.37944853	0.1987504914402962	0.5656634166836738	1.0	1
REG1B	locked_signature_candidate	True	True	0.37338713	0.1105005390942096	0.7426046118140219	1.0	1
SPINK1	locked_signature_candidate	True	True	0.36753398	0.111847217939794	0.6456341922283172	0.998	1
IFITM3	locked_signature_candidate	True	True	0.3602024	0.0520259744487702	0.7004682257771492	0.992	1
SDC3	locked_signature_candidate	True	True	0.34583938	0.1699488721787929	0.5445909917354583	1.0	1
ENC1	locked_signature_candidate	True	True	0.34196734	0.1442840121686458	0.5612545371055603	1.0	1
ZNF703	locked_signature_candidate	True	True	0.33392027	0.1548737928271293	0.4956987090408802	1.0	1
IGFBP2	locked_signature_candidate	True	True	0.33224475	0.0702205831184983	0.5694120407104492	0.993	1
TRIP6	locked_signature_candidate	True	True	0.32801872	0.1384399425238371	0.5223606169223786	0.999	1
DAB2	locked_signature_candidate	True	True	0.31933856	0.1390054617077112	0.5235604405403137	1.0	1
SLC7A5	locked_signature_candidate	True	True	0.30587047	0.1293474365025758	0.4926627896726131	1.0	1
LTBP1	locked_signature_candidate	True	True	0.28924182	0.1535500548779964	0.4321931727230548	1.0	1
TBX3	locked_signature_candidate	True	True	0.28470665	0.115428022108972	0.4667026661336422	0.999	1
ANKH	locked_signature_candidate	True	True	0.28274557	0.0467728699557483	0.5134644567966461	0.995	1
ETS2	locked_signature_candidate	True	True	0.2749734	0.1035391023382544	0.4476648978888988	0.998	1
KRT6B	locked_signature_candidate	True	True	0.27151206	0.0151700794463977	0.8331370994448658	1.0	1
LRRC36	locked_signature_candidate	True	True	0.27030173	0.1228955609723925	0.4266357541084289	1.0	1
SLC40A1	locked_signature_candidate	True	True	0.26296604	0.0948762785643339	0.4792037531733512	1.0	1
SLC35F1	locked_signature_candidate	True	True	0.26164308	0.0118825068697333	0.5043386250734329	0.977	1
CYP4X1	locked_signature_candidate	True	True	0.25991496	0.1301064629107713	0.3928748153150081	1.0	1
SEMA3F	locked_signature_candidate	True	True	0.25506988	0.1072810892015695	0.397370084375143	0.999	1
ZFP36L1	locked_signature_candidate	True	True	0.25073522	0.0590313155204057	0.4733474165201186	0.992	1
CPNE7	locked_signature_candidate	True	True	0.24887317	0.1118287470191717	0.4256462819874286	1.0	1
ZNF503	locked_signature_candidate	True	True	0.2449439	0.1224156258627772	0.3917520180344581	1.0	1
FIRRE	locked_signature_candidate	True	True	0.2341168	0.0386237484402954	0.5982538148760795	0.999	1
MAGEB17-AS1	locked_signature_candidate	True	True	0.23315665	0.0050425675115548	0.6433421611785887	0.99	1
LZTS3	locked_signature_candidate	True	True	0.2262522	0.1001077940687537	0.3707240864634514	1.0	1
NOS2	locked_signature_candidate	True	True	0.2230627	0.0101374034537002	0.5847017884254454	0.991	1
SLC26A2	locked_signature_candidate	True	True	-0.33946574	-0.5991347938776016	-0.0441221752204002	0.989	-1
PLAC8	locked_signature_candidate	True	True	-0.34252074	-0.5104462653398514	-0.1680454224348068	0.999	-1
SLC51A	locked_signature_candidate	True	True	-0.3454647	-0.515945291519165	-0.2039579156786203	1.0	-1
LYPD8	locked_signature_candidate	True	True	-0.34660244	-0.5624871388077736	-0.1209018005058171	0.998	-1
ACAA2	locked_signature_candidate	True	True	-0.3467019	-0.5120915576815606	-0.1873483277857303	0.999	-1
LRRC19	locked_signature_candidate	True	True	-0.34771597	-0.484830068796873	-0.211130802333355	1.0	-1
UGT2A3	locked_signature_candidate	True	True	-0.35164398	-0.513337080180645	-0.1763148877769708	1.0	-1
TMSB4X	locked_signature_candidate	True	True	-0.36189675	-0.5880230858922004	-0.1186527635902166	0.998	-1
EPCAM	locked_signature_candidate	True	True	-0.36305678	-0.5710925802588462	-0.1550846472382545	1.0	-1
CALM1	locked_signature_candidate	True	True	-0.3683679	-0.5460064321756363	-0.1805015683174133	1.0	-1
CHP1	locked_signature_candidate	True	True	-0.36839426	-0.5338199988007546	-0.192811618745327	1.0	-1
NDUFA1	locked_signature_candidate	True	True	-0.37203327	-0.5375869691371917	-0.209964857250452	1.0	-1
CALM2	locked_signature_candidate	True	True	-0.3722606	-0.5940873801708222	-0.1153046039864421	0.997	-1
MYL12A	locked_signature_candidate	True	True	-0.3816538	-0.5686695426702499	-0.1634570393711328	0.999	-1
SCHLAP1	locked_signature_candidate	True	True	-0.38421074	-0.656408816576004	-0.1336304225027561	0.998	-1
