gene	panel_role	locked_signature_member	selected	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high	direction_stability	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	pxd017269_protein_group_present	pxd017269_protein_accessions	pxd017269_n_samples	pxd017269_n_detected	pxd017269_detection_fraction	pxd017269_median_log2_intensity_detected	pxd017269_archival_group_kruskal_p	pxd017269_archival_group_kruskal_q_bh_candidates	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	pxd002137_adjusted_direction_match	public_protein_evidence_tier
CA2	locked_signature_candidate	True	True	-0.50416976	-0.6816637873649597	-0.3085517391562462	1.0	-1	True	8	16	1.0	1.0	21.601820686646874	18.282080210895757	-3.319740475751118	-6.430055445386178	0.0	0.0	2.719345834166133e-06	-3.438932504204696	-3.860912808275266	-3.016952200134126	1.9788175159638256e-57	7.070299168831945e-05	8.311033567048068e-56	True	P00918	118	118	1.0	16.48085498809815	0.8563934235575615	0.8875350025960184	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability
PRDX6	locked_signature_candidate	True	True	-0.40287	-0.6281617477536201	-0.1296425685286522	0.994	-1	True	8	16	1.0	1.0	20.873806925859235	19.929137103691666	-0.9446698221675689	-3.1281870243328895	0.0	0.0	2.719345834166133e-06	-1.004065825556002	-1.3731124502714986	-0.6350192008405052	9.688172845480763e-08	7.070299168831945e-05	1.3563441983673068e-06	True	P30041	118	118	1.0	19.7417392730713	0.08087015413290687	0.27115286973974656	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability
DAB2	locked_signature_candidate	True	True	0.31933856	0.1390054617077112	0.5235604405403137	1.0	1	True	8	16	1.0	1.0	11.431610915150245	14.487529447536708	3.055918532386464	3.12720949879563	0.9765625	125.0	1.9035420839162933e-05	3.199417625549189	1.8972733245492064	4.501561926549171	1.4668080792675485e-06	0.0002474604709091181	1.540148483230926e-05	True	P98082;P98082-2;P98082-3	118	111	0.940677966101695	14.4824104309082	0.04835007382065483	0.21199647752133272	False	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability
TRIP6	locked_signature_candidate	True	True	0.32801872	0.1384399425238371	0.5223606169223786	0.999	1	True	6	16	0.75	1.0	10.071364399921638	13.030505277575493	2.959140877653855	2.524127102101557	0.9583333333333334	92.0	0.00032165976438422255	3.4071329325104993	1.9288389399329646	4.885426925088034	6.264106307452137e-06	0.002389472535425653	5.261849298259795e-05	True	Q15654	118	105	0.8898305084745762	14.1361904144287	0.13062467064501024	0.35896275427772917	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability
EPHB3	locked_signature_candidate	True	True	0.45734045	0.233486159145832	0.7171147078275679	1.0	1	True	7	16	0.875	1.0	8.707581507762734	14.75301653061016	6.0454350228474265	2.7343289258742227	0.9642857142857143	108.0	9.78964500299808e-05	5.312659849414426	2.8909770959773358	7.734342602851516	1.7099358181655597e-05	0.0008484359002598335	0.00011969550727158918	True	P54753	118	116	0.9830508474576272	15.81361484527585	0.6527208140059506	0.7751059666320664	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability
OLFM4	current_primary_up_arm	True	True	0.7293857	0.2635015115141869	1.296439653635025	0.999	1	True	8	16	1.0	1.0	13.688450973810848	16.576635453729605	2.888184479918756	2.065287133299806	0.9609375	123.0	5.166757084915653e-05	3.4432503501126415	1.6435634852588064	5.242937214966476	0.00017690474940055962	0.0005373427368312279	0.0009287499343529381	True	Q6UX06	118	98	0.8305084745762712	17.238550186157248	0.2786211569538688	0.4962939358240788	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability
ETHE1	locked_signature_candidate	True	True	-0.50222063	-0.7290837660431861	-0.259525553882122	1.0	-1	True	8	16	1.0	1.0	19.79798158915557	19.130704180887157	-0.6672774082684114	-1.5430614283060213	0.0859375	11.0	0.000511237016823233	-0.7768201850098861	-1.254383930754348	-0.29925643926542417	0.0014319170288117728	0.0033230406093510143	0.0066822794677882736	True	O95571	118	118	1.0	19.5479297637939	0.9026242321453082	0.9026242321453082	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability
SLC25A5	locked_signature_candidate	True	True	-0.43387944	-0.631731453537941	-0.2205889105796815	1.0	-1	True	8	16	1.0	1.0	21.544967643720547	21.19773261746961	-0.34723502625093516	-1.3788438775793441	0.171875	22.0	0.008748135548512451	-0.34916974666217415	-0.5866131609387383	-0.11172633238561006	0.003949051891155385	0.037908587376887286	0.015151139035092092	True	P05141	118	118	1.0	18.42904472351075	7.336158745063849e-05	0.004181610484686394	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability
SRI	locked_signature_candidate	True	True	-0.49602288	-0.6518287017941475	-0.3212945111095905	1.0	-1	True	8	16	1.0	1.0	20.232127548106963	19.22305199879689	-1.0090755493100723	-1.4116101039006779	0.1796875	23.0	0.010744135390790393	-0.7979245492011142	-1.4858939471760004	-0.10995515122622801	0.023013137170481996	0.04297654156316157	0.0743501354738649	True	C9J0K6;P30626;P30626-2	118	118	1.0	20.60033988952635	0.036989535381371834	0.18519644665094548	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability
TPT1	locked_signature_candidate	True	True	-0.45159686	-0.6634527415037155	-0.2372467301785946	1.0	-1	True	8	16	1.0	1.0	17.288044766040407	17.20948149513171	-0.07856327090869897	-0.239329363104968	0.453125	58.0	0.741723331035486	-0.5120762574990532	-1.007880205954617	-0.016272309043489253	0.042940312147987825	0.8384698524748972	0.11271831938846805	True	A0A0B4J2C3;P13693;Q5W0H4	118	118	1.0	15.3649101257324	0.0042897077610087484	0.061128335594374666	True	False	False	False	True	B_directional_support_and_ffpe_detectability
LTBP1	locked_signature_candidate	True	True	0.28924182	0.1535500548779964	0.4321931727230548	1.0	1	True	6	16	0.75	1.0	9.159776454243765	10.874450136636973	1.714673682393208	1.286026056623951	0.78125	75.0	0.04873145430420972	1.9339403269613684	-0.14192190366862256	4.009802557591359	0.06785541714162156	0.14077975687882807	0.1499961852604266	True	Q14766;Q14766-4	118	116	0.9830508474576272	14.554985046386701	0.5840075166708751	0.7449085908155471	True	False	False	False	True	B_directional_support_and_ffpe_detectability
CHP1	locked_signature_candidate	True	True	-0.36839426	-0.5338199988007546	-0.192811618745327	1.0	-1	True	8	15	1.0	0.9375	14.218313016648864	13.596007346906706	-0.6223056697421576	-0.955837464549509	0.2833333333333333	34.0	0.10055597025579527	-0.9815126560389604	-2.0241998019201324	0.0611744898422113	0.0650414907977296	0.2178712688875564	0.1499961852604266	True	Q99653	118	118	1.0	14.471199989318851	0.36615890137428875	0.5728595674222894	True	False	True	False	True	B_directional_support_and_ffpe_detectability
TST	locked_signature_candidate	True	True	-0.4494184	-0.6647199705243111	-0.2441387377679348	1.0	-1	True	8	16	1.0	1.0	18.85238387351628	18.58487771191993	-0.26750616159635143	-0.7202612912796823	0.296875	38.0	0.12004008315759561	-0.45261546722264034	-0.9278932225229254	0.0226622880776447	0.06197024288218855	0.24008016631519122	0.1499961852604266	True	Q16762	118	118	1.0	19.228759765625	0.06432196724897107	0.22914700832445947	True	False	True	False	True	B_directional_support_and_ffpe_detectability
ITM2C	locked_signature_candidate	True	True	-0.4494998	-0.7399443298578262	-0.1133325941860676	0.996	-1	True	8	16	1.0	1.0	14.941805707431381	14.04761763687706	-0.8941880705543213	-1.0912401663428317	0.1875	24.0	0.013120843649851593	-0.8571878115089246	-1.7908253638649412	0.07644974084709188	0.07194360824624091	0.0487345621280202	0.15108157731710592	True	C9JG41;Q9NQX7;Q9NQX7-2	118	110	0.9322033898305084	13.5264348983765	0.261241277748579	0.4803468655377098	True	False	False	False	True	B_directional_support_and_ffpe_detectability
FCGRT	locked_signature_candidate	True	True	-0.4698495	-0.6973876461386681	-0.286174912750721	1.0	-1	True	8	16	1.0	1.0	13.919765707232902	13.096347149878419	-0.8234185573544828	-0.5735712041232318	0.3203125	41.0	0.17192792101931956	-0.7161110188119788	-1.792441921678052	0.36021988405409444	0.19222841627715537	0.28839522235498766	0.3486589170889657	True	P55899	118	118	1.0	13.8406400680542	0.10367181777141508	0.3110154533142453	False	False	False	False	True	B_directional_support_and_ffpe_detectability
COX6C	locked_signature_candidate	True	True	-0.38665786	-0.5607847899198533	-0.203106278181076	1.0	-1	True	8	16	1.0	1.0	21.809884356906345	21.251296160141308	-0.5585881967650366	-0.7175340722623147	0.3359375	43.0	0.2143932255656579	-0.47968112539352004	-1.3204987619074204	0.3611365111203805	0.2635042097411717	0.34838899154419406	0.4256606465049697	True	P09669	118	118	1.0	18.7335548400879	0.007672255547654914	0.08746371324326602	False	False	False	False	True	B_directional_support_and_ffpe_detectability
COX5A	locked_signature_candidate	True	True	-0.42020017	-0.5989136025309563	-0.2312655776739121	1.0	-1	True	8	16	1.0	1.0	19.80218205735452	19.353227136127593	-0.44895492122692815	-0.6179972501843211	0.3125	40.0	0.15312364457606076	-0.3745464743954303	-1.1258929478553972	0.37679999906453665	0.3285480045592819	0.27456653510190204	0.45593978518510236	True	P20674	118	118	1.0	20.18767070770265	0.01445138460677467	0.13728815376435938	True	False	False	False	True	B_directional_support_and_ffpe_detectability
