gene	pxd017269_protein_group_present	pxd017269_protein_accessions	pxd017269_n_samples	pxd017269_n_detected	pxd017269_detection_fraction	pxd017269_median_log2_intensity_detected	pxd017269_archival_group_kruskal_p	pxd017269_archival_group_kruskal_q_bh_candidates
OLFM4	True	Q6UX06	118	98	0.8305084745762712	17.238550186157248	0.2786211569538688	0.4962939358240788
REG1A	True	P05451	118	86	0.7288135593220338	15.32278966903685	0.5446621954678317	0.7391844081349145
CEMIP	True	Q8WUJ3	118	15	0.1271186440677966	10.6870899200439	0.21013607120076422	0.45279522787521376
GRIN2B	False		118	0	0.0			
CLDN2	True	P57739	118	42	0.3559322033898305	14.0054750442505	0.14013616702637918	0.36308006911380064
DPEP1	True	P16444	118	76	0.6440677966101694	14.0230503082275	0.5897595778878939	0.7449085908155471
ZNRF3	False		118	0	0.0			
ASCL2	False		118	0	0.0			
RNF43	False		118	0	0.0			
NKD1	False		118	0	0.0			
APCDD1	False		118	0	0.0			
EPHB3	True	P54753	118	116	0.9830508474576272	15.81361484527585	0.6527208140059506	0.7751059666320664
SHISA9	False		118	0	0.0			
AXIN2	False		118	0	0.0			
MSX2	False		118	0	0.0			
LGR5	False		118	0	0.0			
LINC02350	False		118	0	0.0			
L1TD1	True	Q5T7N2	118	91	0.7711864406779662	15.2496099472046	0.6924918741510034	0.8055517719715755
GDF15	True	Q99988	118	60	0.5084745762711864	14.896194934845	0.4533060502629819	0.662524227307435
SOX4	False		118	0	0.0			
LINC01819	False		118	0	0.0			
LINC01411	False		118	0	0.0			
SLC6A6	False		118	0	0.0			
REG1B	False		118	0	0.0			
SPINK1	True	P00995	118	114	0.9661016949152542	15.66311979293825	0.8462717199262257	0.8875350025960184
IFITM3	True	E9PS44;Q01628	118	101	0.8559322033898306	13.7849502563477	0.035649434485596605	0.18519644665094548
SDC3	False		118	0	0.0			
ENC1	False		118	0	0.0			
ZNF703	True	Q9H7S9	118	118	1.0	13.80757522583005	0.6093629895617989	0.7449085908155471
IGFBP2	True	P18065	118	115	0.9745762711864406	15.6468296051025	0.03898872561072536	0.18519644665094548
TRIP6	True	Q15654	118	105	0.8898305084745762	14.1361904144287	0.13062467064501024	0.35896275427772917
DAB2	True	P98082;P98082-2;P98082-3	118	111	0.940677966101695	14.4824104309082	0.04835007382065483	0.21199647752133272
SLC7A5	True	Q01650	118	32	0.2711864406779661	13.2308201789856	0.49209134995172354	0.7012301736812061
LTBP1	True	Q14766;Q14766-4	118	116	0.9830508474576272	14.554985046386701	0.5840075166708751	0.7449085908155471
TBX3	False		118	0	0.0			
ANKH	False		118	0	0.0			
ETS2	False		118	0	0.0			
KRT6B	True	P04259	118	118	1.0	20.50415992736815	0.614222873128609	0.7449085908155471
LRRC36	False		118	0	0.0			
SLC40A1	False		118	0	0.0			
SLC35F1	False		118	0	0.0			
CYP4X1	False		118	0	0.0			
SEMA3F	False		118	0	0.0			
ZFP36L1	False		118	0	0.0			
CPNE7	False		118	0	0.0			
ZNF503	False		118	0	0.0			
FIRRE	False		118	0	0.0			
MAGEB17-AS1	False		118	0	0.0			
LZTS3	False		118	0	0.0			
NOS2	False		118	0	0.0			
SLC26A2	True	P50443	118	27	0.2288135593220339	13.8695001602173	0.7874780274295438	0.8801225012447842
PLAC8	False		118	0	0.0			
SLC51A	False		118	0	0.0			
LYPD8	False		118	0	0.0			
ACAA2	True	A0A0B4J2A4;P42765	118	118	1.0	18.70049571990965	0.2595563968885489	0.4803468655377098
LRRC19	False		118	0	0.0			
UGT2A3	True	Q6UWM9	118	89	0.7542372881355932	13.5831499099731	0.0639944691556594	0.22914700832445947
TMSB4X	True	P62328	118	118	1.0	17.5942945480347	0.21156952282876662	0.45279522787521376
EPCAM	True	B5MCA4;P16422	118	118	1.0	16.89305973052975	0.030458160548354554	0.18519644665094548
CALM1	True	H0Y7A7;P0DP23;P0DP24;P0DP25	118	118	1.0	19.84436511993405	0.8416854307157293	0.8875350025960184
CHP1	True	Q99653	118	118	1.0	14.471199989318851	0.36615890137428875	0.5728595674222894
NDUFA1	False		118	0	0.0			
CALM2	True	H0Y7A7;P0DP23;P0DP24;P0DP25	118	118	1.0	19.84436511993405	0.8416854307157293	0.8875350025960184
MYL12A	True	J3QRS3;O14950;P19105	118	118	1.0	19.777040481567397	0.13224943578653178	0.35896275427772917
SCHLAP1	False		118	0	0.0			
COX6C	True	P09669	118	118	1.0	18.7335548400879	0.007672255547654914	0.08746371324326602
GUCA2A	True	Q02747	118	11	0.09322033898305085	13.7657699584961	0.2986946892886785	0.5007528614545492
PKIB	True	Q5T0Z6;Q9C010;Q9C010-2	118	52	0.4406779661016949	14.95326471328735	0.028491824619152725	0.18519644665094548
CD9	True	A6NNI4;G8JLH6;P21926	118	118	1.0	16.2609453201294	0.2437224242043591	0.4803468655377098
HSPA1A	True	A0A0G2JIW1;P0DMV8;P0DMV9	118	118	1.0	18.853289604187047	0.004151103119865398	0.061128335594374666
COX6A1	False		118	0	0.0			
PRDX6	True	P30041	118	118	1.0	19.7417392730713	0.08087015413290687	0.27115286973974656
NDRG1	True	Q92597	118	118	1.0	16.7069149017334	0.018059026139663422	0.14705206999440215
CYCS	True	C9JFR7;P99999	118	118	1.0	19.33508968353275	0.6114334503066032	0.7449085908155471
HMGCS2	True	P54868	118	118	1.0	19.59619998931885	0.1547436057241531	0.38349502288159687
COX5A	True	P20674	118	118	1.0	20.18767070770265	0.01445138460677467	0.13728815376435938
CAMK2N1	False		118	0	0.0			
SLC25A5	True	P05141	118	118	1.0	18.42904472351075	7.336158745063849e-05	0.004181610484686394
TST	True	Q16762	118	118	1.0	19.228759765625	0.06432196724897107	0.22914700832445947
ITM2C	True	C9JG41;Q9NQX7;Q9NQX7-2	118	110	0.9322033898305084	13.5264348983765	0.261241277748579	0.4803468655377098
