gene	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group
OLFM4	True	False	False	False
REG1A	False	False	False	False
CEMIP	True	False	False	False
GRIN2B	False	False	False	False
CLDN2	False	False	False	False
DPEP1	True	False	False	True
ZNRF3	False	False	False	False
ASCL2	False	False	False	False
RNF43	False	False	False	False
NKD1	False	False	False	False
APCDD1	False	False	False	False
EPHB3	True	False	False	False
SHISA9	False	False	False	False
AXIN2	False	False	False	False
MSX2	False	False	False	False
LGR5	False	False	False	False
LINC02350	False	False	False	False
L1TD1	True	True	True	False
GDF15	False	False	False	False
SOX4	False	False	False	False
LINC01819	False	False	False	False
LINC01411	False	False	False	False
SLC6A6	False	False	False	False
REG1B	False	False	False	False
SPINK1	False	False	False	False
IFITM3	True	False	False	False
SDC3	False	False	False	False
ENC1	False	False	False	False
ZNF703	True	False	False	False
IGFBP2	True	True	False	False
TRIP6	True	False	False	False
DAB2	False	False	False	False
SLC7A5	False	False	False	False
LTBP1	True	False	False	False
TBX3	False	False	False	False
ANKH	False	False	False	False
ETS2	False	False	False	False
KRT6B	False	False	False	False
LRRC36	False	False	False	False
SLC40A1	False	False	False	False
SLC35F1	False	False	False	False
CYP4X1	False	False	False	False
SEMA3F	False	False	False	False
ZFP36L1	False	False	False	False
CPNE7	False	False	False	False
ZNF503	False	False	False	False
FIRRE	False	False	False	False
MAGEB17-AS1	False	False	False	False
LZTS3	False	False	False	False
NOS2	False	False	False	False
SLC26A2	False	False	False	False
PLAC8	False	False	False	False
SLC51A	False	False	False	False
LYPD8	False	False	False	False
ACAA2	True	False	True	True
LRRC19	False	False	False	False
UGT2A3	False	False	False	False
TMSB4X	True	False	False	False
EPCAM	True	False	False	False
CALM1	True	False	False	False
CHP1	True	False	True	False
NDUFA1	False	False	False	False
CALM2	True	False	False	False
MYL12A	True	False	False	False
SCHLAP1	False	False	False	False
COX6C	False	False	False	False
GUCA2A	False	False	False	False
PKIB	False	False	False	False
CD9	True	False	False	True
HSPA1A	True	False	False	False
COX6A1	False	False	False	False
PRDX6	True	False	False	False
NDRG1	True	False	False	False
CYCS	True	False	False	False
HMGCS2	True	False	False	False
COX5A	True	False	False	False
CAMK2N1	False	False	False	False
SLC25A5	True	False	False	False
TST	True	False	True	False
ITM2C	True	False	False	False
TPT1	True	False	False	False
MT1G	False	False	False	False
FCGRT	False	False	False	False
ATP5MC3	False	False	False	False
AQP8	False	False	False	False
MYL6	True	False	False	False
SRI	True	False	False	False
ETHE1	True	False	False	False
CA2	True	False	False	False
SLC9A3-OT1	False	False	False	False
DHRS11	True	False	True	False
BSG	True	False	False	False
B2M	True	False	False	False
C15orf48	False	False	False	False
CHP2	False	False	False	False
LGALS4	True	False	False	False
PCK1	False	False	False	False
PHGR1	False	False	False	False
LGALS3	True	False	False	False
FABP1	True	False	False	True
SOX9	False	False	False	False
CTNNB1	True	False	False	False
MKI67	True	False	False	False
KRT20	True	False	False	False
