file	source_url	size_bytes	sha256
data_sources/public_adenoma_proteomics/PXD002137/E-PROT-104-MappedToGeneID.txt	https://ftp.ebi.ac.uk/pub/databases/microarray/data/atlas/experiments/E-PROT-104/E-PROT-104-MappedToGeneID.txt	2899588	efbe11071f76063eddec7d911309cb608f269c964382fcae351146a639ef0c16
data_sources/public_adenoma_proteomics/PXD002137/E-PROT-104-analysis-methods.tsv	https://ftp.ebi.ac.uk/pub/databases/microarray/data/atlas/experiments/E-PROT-104/E-PROT-104-analysis-methods.tsv	1354	6ec4153f1b4cb46debe4974caea0bb0b442143015248acd596c9396fde593a98
data_sources/public_adenoma_proteomics/PXD002137/E-PROT-104.condensed-sdrf.tsv	https://ftp.ebi.ac.uk/pub/databases/microarray/data/atlas/experiments/E-PROT-104/E-PROT-104.condensed-sdrf.tsv	29331	4c77b8bfbae82bb8acdbd661b221937c4c51cd5fa7ef235b2b7f3bfbb4243f14
data_sources/public_adenoma_proteomics/PXD017269/Rawfile_Information_AdenomaPatients.xlsx	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017269/Rawfile_Information_AdenomaPatients.xlsx	13835	3bccdd06f13d63bb3a93e78a6bf83de38586f3cf597fd5e5b8da2378a1dc1acf
data_sources/public_adenoma_proteomics/PXD017269/Supplement_AdenomaProteomes.xlsx	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD017269/Supplement_AdenomaProteomes.xlsx	73388992	33418875addbcc5a640a76783b8ca903b76d867ef22e43d31b4d70e758c7d053
data_sources/public_adenoma_proteomics/PXD046999/CAA__MBR_LibraryFree_DIANN181.pg_matrix.tsv	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD046999/CAA__MBR_LibraryFree_DIANN181.pg_matrix.tsv	1389791	6a542181c85e286b116380c656666e3c52f78894bf46f84a1bbdf42ebfb42dcd
data_sources/public_adenoma_proteomics/PXD046999/CRA_revision_timstofultra_specificcohort_DIANN181_libraryfree.pg_matrix.tsv	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD046999/CRA_revision_timstofultra_specificcohort_DIANN181_libraryfree.pg_matrix.tsv	2222897	abf1ca748b7e6443725e8498a88a8fcc684d98a52edfed3000145ef12972e299
data_sources/public_adenoma_proteomics/PXD046999/Metadata_DVPonCRA_Kabatnik_et_al.csv	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD046999/Metadata_DVPonCRA_Kabatnik_et_al.csv	4477	a37a6bfcf0f962b4dcf5a489b4cdcf3afc49f605c8be07bf9485f1724ba9d937
data_sources/public_adenoma_proteomics/PXD046999/Metadata_DVPonCRA_Kabatnik_et_al_revision_updated.csv	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD046999/Metadata_DVPonCRA_Kabatnik_et_al_revision_updated.csv	5350	cbee7fd971ab6156605ce2484326b87da43c7647d9ddd9f36f330532d2329295
data_sources/public_adenoma_proteomics/PXD046999/PMC11381895_supplementaryFiles.zip	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11381895/supplementaryFiles?includeInlineImage=false	20458950	8b1f6939cb7556ddef497e8f30c2c221e05615a9bf42a41786b67f5e4cb0b8bc
data_sources/public_adenoma_proteomics/PXD046999/mmc2.xlsx	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11381895/supplementaryFiles?includeInlineImage=false	255607	fabc8a26fd1dd31960cc58668a241e5d8a559ba415259f49634546f6683bfc86
