gene	pride_result_accession	mztab_file	protein_accessions	max_num_psms	max_num_distinct_peptides
ACAA2	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P42765	23	16
ACAA2	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P42765	21	19
ACAA2	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P42765	21	16
ACAA2	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P42765	19	13
ACAA2	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P42765	20	12
ACAA2	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P42765	42	34
ACAA2	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	P42765	19	19
ACAA2	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P42765	19	18
ACAA2	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P42765	27	24
ACAA2	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P42765	26	22
ACAA2	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	P42765	10	10
B2M	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	F5H6I0	5	3
B2M	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	F5H6I0	4	3
B2M	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	F5H6I0	3	3
B2M	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	F5H6I0	7	5
B2M	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	F5H6I0	7	4
B2M	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	F5H6I0	2	2
B2M	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	F5H6I0	2	2
B2M	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	F5H6I0	2	2
B2M	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	F5H6I0	1	1
BSG	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P35613	3	2
BSG	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P35613	1	1
BSG	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	D3YLG5;P35613	1	1
BSG	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P35613	1	1
BSG	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	P35613	1	1
BSG	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P35613-2	1	1
BSG	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	D3YLG5;P35613-2	1	1
BSG	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	P35613	2	2
CALM1	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	E7ETZ0;P62158	21	18
CALM1	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	G3V479;P62158	28	20
CALM1	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P62158	22	19
CALM1	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	E7ETZ0;P62158	12	12
CALM2	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	E7EMB3	27	11
CALM2	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	E7EMB3	11	10
CALM2	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	E7EMB3	7	6
CALM2	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	E7EMB3	4	3
CALM2	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	E7EMB3	9	7
CALM2	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	E7EMB3	20	17
CALM2	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	E7EMB3	9	9
CD9	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	B4DPP0	2	2
CD9	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	B4DPP0	1	1
CD9	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	B4DPP0	4	2
CD9	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	B4DPP0	3	2
CD9	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	B4DPP0	3	2
CD9	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	B4DPP0	1	1
CD9	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	B4DPP0	1	1
CD9	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	B4DPP0	2	1
COX5A	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P20674;REV_P20674	9	6
COX5A	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P20674	3	2
COX5A	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P20674	3	3
COX5A	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P20674	3	3
COX5A	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P20674;REV_P20674	8	4
COX5A	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P20674	5	5
COX5A	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	P20674	5	5
COX5A	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P20674	3	3
COX5A	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P20674	4	4
COX5A	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P20674	3	2
COX6A1	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P12074	1	1
COX6C	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P09669	2	2
COX6C	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P09669	4	4
COX6C	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P09669	4	3
COX6C	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P09669	5	2
COX6C	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P09669	6	4
COX6C	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P09669	1	1
COX6C	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	P09669	1	1
COX6C	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P09669	2	2
