experiment	gene	pair_number_within_experiment	pair_id	normal_channel	adenoma_channel	normal_log2_ratio_vs_114	adenoma_log2_ratio_vs_114	adenoma_minus_normal_log2	n_unique_peptides_normal	n_unique_peptides_adenoma	passes_author_batch_qc
1	ACAA2	1	Exp01_Pair1	115	116	-0.5356954529187679	0.008630305143440056	0.544325758062208	13	13	True
1	ACAA2	2	Exp01_Pair2	117	118	-0.09387904700290012	-0.7636604608316264	-0.6697814138287264	13	13	True
1	ACAA2	3	Exp01_Pair3	119	121	-0.3291596641184381	0.5548343958941929	0.883994060012631	13	13	True
1	B2M	1	Exp01_Pair1	115	116	0.1311291862904561	0.1973095843756839	0.0661803980852278	2	2	True
1	B2M	2	Exp01_Pair2	117	118	-0.28822499040110594	-0.14078644745741065	0.1474385429436953	2	2	True
1	B2M	3	Exp01_Pair3	119	121	-0.14022407387999744	-0.0788774614853131	0.061346612394684336	2	2	True
1	CALM2	1	Exp01_Pair1	115	116	0.27551335515598985	-0.11188145551038114	-0.387394810666371	7	7	True
1	CALM2	2	Exp01_Pair2	117	118	-1.0604608144156347	0.6154162972628701	1.6758771116785047	7	7	True
1	CALM2	3	Exp01_Pair3	119	121	0.083456680076608	3.0386533354877883	2.9551966554111804	7	7	True
1	COX5A	1	Exp01_Pair1	115	116	-0.3547594873547347	-0.186064929518683	0.16869455783605172	3	3	True
1	COX5A	2	Exp01_Pair2	117	118	0.16992500144231235	-0.8185793597198583	-0.9885043611621707	3	3	True
1	COX5A	3	Exp01_Pair3	119	121	-0.23446525363702297	0.2338880601742773	0.4683533138113003	3	3	True
1	COX6C	1	Exp01_Pair1	115	116	-0.21462087980450864	-0.22931196777228197	-0.014691087967773325	2	2	True
1	COX6C	2	Exp01_Pair2	117	118	0.47055315547321575	-1.3138493270818346	-1.7844024825550502	2	2	True
1	COX6C	3	Exp01_Pair3	119	121	0.04381492237552835	0.8421275057883804	0.798312583412852	2	2	True
1	CYCS	1	Exp01_Pair1	115	116	-1.0528949484321255	-0.31293931166010763	0.7399556367720179	7	7	True
