gene	panel_role	locked_signature_member	selected	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high	direction_stability	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	pxd017269_protein_group_present	pxd017269_protein_accessions	pxd017269_n_samples	pxd017269_n_detected	pxd017269_detection_fraction	pxd017269_median_log2_intensity_detected	pxd017269_archival_group_kruskal_p	pxd017269_archival_group_kruskal_q_bh_candidates	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	pxd002137_adjusted_direction_match	public_protein_evidence_tier	pxd000445_mztab_detected	pxd000445_n_mztab_experiments_detected	pxd000445_n_mztab_experiments_total	pxd000445_mztab_experiment_detection_fraction	pxd000445_max_distinct_peptides	pxd000445_max_psms	pxd000445_accessions	pxd000445_psm_analysis_set	pxd000445_psm_expected_direction	pxd000445_psm_n_pairs	pxd000445_psm_n_experiments	pxd000445_psm_median_adenoma_minus_normal_log2	pxd000445_psm_mean_adenoma_minus_normal_log2	pxd000445_psm_paired_positive_fraction	pxd000445_psm_p_paired_wilcoxon	pxd000445_psm_min_unique_peptides_per_sample	pxd000445_psm_direction_matches_prespecified	pxd000445_psm_q_value_bh_within_analysis_set	n_recruitment_clusters_evaluable	n_cluster_direction_matches	median_cluster_effect	cluster_direction_match_fraction	assay_role	hpa_url	hpa_normal_tissue_reliability	rna_ihc_consistency	hpa_antibody_ids	expected_normal_tissue_pattern	interpretation_for_local_ffpe	local_pilot_required	source_checked_date	pxd000445_quantitatively_evaluable	new_transcript_has_direction_conflict	pxd000445_psm_has_direction_conflict
CA2	locked_signature_candidate	True	True	-0.50416976	-0.6816637873649597	-0.3085517391562462	1.0	-1	True	8	16	1.0	1.0	21.601820686646874	18.28208021089576	-3.319740475751118	-6.430055445386178	0.0	0.0	2.719345834166133e-06	-3.438932504204696	-3.860912808275266	-3.016952200134126	1.9788175159638256e-57	7.070299168831945e-05	8.311033567048068e-56	True	P00918	118	118	1.0	16.48085498809815	0.8563934235575615	0.8875350025960184	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	False	0	11	0.0															4.0	2.0	-4.598398277593174	0.5	reserve_down_arm_candidate	https://www.proteinatlas.org/ENSG00000104267-CA2/tissue	Enhanced	Medium	HPA001550;CAB010102	Intracellular expression including gastrointestinal tract, kidney and stomach; cytoplasmic and nuclear signal may occur	Reserve pilot candidate supported by locked transcript and public proteomics; do not add to the locked panel without a prospective amendment	yes	2026-07-14	False	True	False
PRDX6	locked_signature_candidate	True	True	-0.40287	-0.6281617477536201	-0.1296425685286522	0.994	-1	True	8	16	1.0	1.0	20.873806925859235	19.929137103691662	-0.9446698221675688	-3.128187024332889	0.0	0.0	2.719345834166133e-06	-1.004065825556002	-1.3731124502714986	-0.6350192008405052	9.688172845480764e-08	7.070299168831945e-05	1.3563441983673068e-06	True	P30041	118	118	1.0	19.7417392730713	0.0808701541329068	0.2711528697397465	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	True	11	11	1.0	20.0	27.0	P30041	author_qc_21_pairs	-1.0	21.0	7.0	0.030119441209578587	0.07216778012487886	0.5238095238095238	0.539189338684082	11.0	False	0.6609417699998426	4.0	4.0	-1.7394003346342417	1.0										True	False	True
DAB2	locked_signature_candidate	True	True	0.31933856	0.1390054617077112	0.5235604405403137	1.0	1	True	8	16	1.0	1.0	11.431610915150245	14.487529447536708	3.055918532386464	3.12720949879563	0.9765625	125.0	1.9035420839162933e-05	3.199417625549189	1.8972733245492064	4.501561926549171	1.4668080792675483e-06	0.0002474604709091	1.540148483230926e-05	True	P98082;P98082-2;P98082-3	118	111	0.940677966101695	14.4824104309082	0.0483500738206548	0.2119964775213327	False	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	True	4	11	0.36363636363636365	1.0	1.0	P98082	author_qc_21_pairs	1.0	15.0	5.0	0.0	-0.07889672749963236	0.4666666666666667	0.7298909084206947	1.0	False	0.8404804399995878	4.0	4.0	2.306271126658477	1.0										True	False	True
TRIP6	locked_signature_candidate	True	True	0.32801872	0.1384399425238371	0.5223606169223786	0.999	1	True	6	16	0.75	1.0	10.071364399921638	13.030505277575491	2.959140877653855	2.524127102101557	0.9583333333333334	92.0	0.0003216597643842	3.4071329325104998	1.9288389399329648	4.885426925088034	6.264106307452137e-06	0.0023894725354256	5.261849298259795e-05	True	Q15654	118	105	0.8898305084745762	14.1361904144287	0.1306246706450102	0.3589627542777291	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	True	8	11	0.7272727272727273	2.0	2.0	Q15654	author_qc_21_pairs	1.0	12.0	4.0	-0.1703621401273237	-0.14901404506350704	0.3333333333333333	0.09228515625	1.0	False	0.19972059461805558	4.0	4.0	1.2603697949104524	1.0										True	False	True
EPHB3	locked_signature_candidate	True	True	0.45734045	0.233486159145832	0.7171147078275679	1.0	1	True	7	16	0.875	1.0	8.707581507762734	14.75301653061016	6.0454350228474265	2.7343289258742227	0.9642857142857144	108.0	9.78964500299808e-05	5.312659849414426	2.890977095977336	7.734342602851516	1.7099358181655597e-05	0.0008484359002598	0.0001196955072715	True	P54753	118	116	0.9830508474576272	15.81361484527585	0.6527208140059506	0.7751059666320664	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	True	1	11	0.09090909090909091	1.0	2.0	P54753												4.0	4.0	4.361986559856841	1.0	reserve_up_arm_candidate	https://www.proteinatlas.org/ENSG00000182580-EPHB3/tissue	Enhanced	Medium	HPA007698;HPA008184;CAB034350	Membranous protein with variable membranous/cytoplasmic expression across tissues	Pilot membrane-dominant epithelial scoring and background before considering it as a reserve marker; do not add automatically	yes	2026-07-14	False	False	False
OLFM4	current_primary_up_arm	True	True	0.7293857	0.2635015115141869	1.296439653635025	0.999	1	True	8	16	1.0	1.0	13.688450973810848	16.576635453729605	2.888184479918756	2.065287133299806	0.9609375	123.0	5.166757084915653e-05	3.443250350112641	1.6435634852588064	5.242937214966476	0.0001769047494005	0.0005373427368312	0.0009287499343529	True	Q6UX06	118	98	0.8305084745762712	17.238550186157248	0.2786211569538688	0.4962939358240788	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	True	9	11	0.8181818181818182	19.0	25.0	Q6UX06	author_qc_21_pairs	1.0	18.0	6.0	0.8958347616454312	1.348175138321187	0.9444444444444444	0.00025177001953125	2.0	True	0.0031890869140625	4.0	3.0	6.333450791207246	0.75	current_primary_up_arm	https://www.proteinatlas.org/ENSG00000102837-OLFM4/tissue	Enhanced	Medium; secreted protein so RNA and protein location may differ	HPA077718	Intestinal epithelial signal with cytoplasmic/membranous pattern; extracellular signal is possible because OLFM4 is secreted	Score only pathologist-defined epithelium by cytoplasmic H-score; preserve normal crypts as spatial internal control and do not count luminal/extracellular background as epithelial signal	yes	2026-07-14	True	True	False
ETHE1	locked_signature_candidate	True	True	-0.50222063	-0.7290837660431861	-0.259525553882122	1.0	-1	True	8	16	1.0	1.0	19.79798158915557	19.13070418088716	-0.6672774082684114	-1.543061428306021	0.0859375	11.0	0.0005112370168232	-0.7768201850098861	-1.254383930754348	-0.2992564392654241	0.0014319170288117	0.003323040609351	0.0066822794677882	True	O95571	118	118	1.0	19.5479297637939	0.9026242321453082	0.9026242321453082	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	True	10	11	0.9090909090909091	19.0	26.0	O95571	author_qc_21_pairs	-1.0	21.0	7.0	-0.28740767207257073	-0.2938876685609035	0.3333333333333333	0.010125160217285156	6.0	True	0.04809451103210449	4.0	3.0	-1.8928386358383715	0.75	reserve_down_arm_candidate	https://www.proteinatlas.org/ENSG00000105755-ETHE1/summary/antibody	Enhanced by orthogonal and independent-antibody validation	Medium	HPA028360;HPA029028;HPA029029	Broad cytoplasmic expression with mitochondrial localization; normal colon can serve as an internal tissue control	Pilot epithelial cytoplasmic H-score with normal crypt internal control; broad housekeeping-like expression may reduce dynamic range, so retain only if the local paired-section pilot shows adequate separation and reproducibility	yes	2026-07-14	True	True	False
SLC25A5	locked_signature_candidate	True	True	-0.43387944	-0.631731453537941	-0.2205889105796815	1.0	-1	True	8	16	1.0	1.0	21.544967643720547	21.19773261746961	-0.3472350262509351	-1.378843877579344	0.171875	22.0	0.0087481355485124	-0.3491697466621741	-0.5866131609387383	-0.11172633238561	0.0039490518911553	0.0379085873768872	0.015151139035092	True	P05141	118	118	1.0	18.42904472351075	7.336158745063849e-05	0.0041816104846863	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	True	11	11	1.0	20.0	38.0	P05141	author_qc_21_pairs	-1.0	3.0	1.0	0.021435790632876733	-0.0376117737687273	0.6666666666666666	1.0	7.0	False	1.0	4.0	2.0	-0.0971833173657525	0.5										True	True	True
SRI	locked_signature_candidate	True	True	-0.49602288	-0.6518287017941475	-0.3212945111095905	1.0	-1	True	8	16	1.0	1.0	20.232127548106963	19.22305199879689	-1.0090755493100725	-1.411610103900678	0.1796875	23.0	0.0107441353907903	-0.7979245492011142	-1.4858939471760004	-0.109955151226228	0.0230131371704819	0.0429765415631615	0.0743501354738649	True	C9J0K6;P30626;P30626-2	118	118	1.0	20.60033988952635	0.0369895353813718	0.1851964466509454	True	False	False	False	True	A_directional_protein_replication_and_ffpe_detectability	True	11	11	1.0	10.0	16.0	A8MTH6;B4DKK2;C9J0K6	author_qc_21_pairs	-1.0	21.0	7.0	0.3256968155631903	0.3690747045002365	0.7619047619047619	0.03191947937011719	3.0	False	0.11026729236949573	4.0	3.0	-0.4345934214424609	0.75										True	True	True
TPT1	locked_signature_candidate	True	True	-0.45159686	-0.6634527415037155	-0.2372467301785946	1.0	-1	True	8	16	1.0	1.0	17.288044766040407	17.20948149513171	-0.0785632709086989	-0.239329363104968	0.453125	58.0	0.741723331035486	-0.5120762574990532	-1.007880205954617	-0.0162723090434892	0.0429403121479878	0.8384698524748972	0.112718319388468	True	A0A0B4J2C3;P13693;Q5W0H4	118	118	1.0	15.3649101257324	0.0042897077610087	0.0611283355943746	True	False	False	False	True	B_directional_support_and_ffpe_detectability	True	11	11	1.0	5.0	7.0	E9PJF7;P13693	author_qc_21_pairs	-1.0	21.0	7.0	0.4644445592376887	0.42544554000715235	0.8095238095238095	0.012691497802734375	1.0	False	0.053586324055989586	4.0	1.0	0.2924311319889061	0.25										True	True	True
