accession	manuscript_reference	citation_type	decision_basis
GSE8671	8	primary_publication	GEO-linked original study
GSE50114	9	primary_publication	Original study by the dataset-generating group
GSE41657	16	repository_record	No verifiable linked primary publication was identified
GSE40362	17	repository_record	No verifiable linked primary publication was identified
GSE72820	18	primary_publication	Original paper identified from its data-availability statement
GSE117606	19	primary_publication	Dataset-generating conference report; DOI verified
GSE125472	21	primary_publication	GEO-linked original perturbation study
GSE171910	22	primary_publication	GEO-linked original perturbation study
GSE130822	23	primary_publication	GEO-linked original perturbation study
GSE135328	24	primary_publication	GEO-linked original perturbation study
GSE114059	25	primary_publication	GEO-linked original perturbation study
GSE67186	26	primary_publication	GEO-linked original perturbation study
