gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected
OLFM4	0.7293857	0.72205144	0.2635015115141869	1.296439653635025	0.999	0.002	0.04607232	0.015846696449565014	False	True	True	0.7293857	True
REG1A	0.71312755	0.68629694	0.19920654855668546	1.367650660872459	1.0	0.000999000999000999	0.050404787	0.012651009268822122	False	True	True	0.71312755	True
CEMIP	0.6983576	0.6943306	0.3360619813203812	1.108135923743248	1.0	0.000999000999000999	0.003602191	0.012651009268822122	False	True	True	0.6983576	True
GRIN2B	0.6873841	0.67378986	0.2906365938484669	1.2021839708089828	1.0	0.000999000999000999	0.038972717	0.012651009268822122	False	True	True	0.6873841	True
FABP1	-0.6395843	-0.6382067	-0.9186004295945167	-0.38728267997503285	1.0	0.000999000999000999	0.052314155	0.012651009268822122	False	True	True	0.6395843	True
LGALS3	-0.629991	-0.63404036	-0.8706239506602287	-0.35502720251679426	1.0	0.000999000999000999	0.011975831	0.012651009268822122	False	True	True	0.629991	True
PHGR1	-0.6200017	-0.62074095	-0.9226573079824447	-0.3288206137716771	1.0	0.000999000999000999	0.01290823	0.012651009268822122	False	True	True	0.6200017	True
PCK1	-0.6020564	-0.60729563	-0.907538415491581	-0.243793984875083	1.0	0.000999000999000999	0.10194124	0.012651009268822122	False	True	True	0.6020564	True
LGALS4	-0.5996236	-0.59609747	-0.871893173456192	-0.3489664018154145	1.0	0.000999000999000999	0.0062964093	0.012651009268822122	False	True	True	0.5996236	True
CHP2	-0.5934963	-0.59324306	-0.7902244299650192	-0.4028789587318898	1.0	0.000999000999000999	0.09172265	0.012651009268822122	False	True	True	0.5934963	True
CLDN2	0.57838947	0.5639404	0.22216219939291476	1.1151350259780881	1.0	0.000999000999000999	0.017433241	0.012651009268822122	False	True	True	0.57838947	True
C15orf48	-0.5671823	-0.56865966	-0.7759456112980843	-0.32528354153037076	1.0	0.000999000999000999	0.10166435	0.012651009268822122	False	True	True	0.5671823	True
B2M	-0.5610498	-0.56878865	-0.9227504387497902	-0.14744492694735534	0.998	0.004	0.107361674	0.02861218424962853	False	True	True	0.5610498	True
BSG	-0.54873323	-0.5418382	-0.7395636662840843	-0.37654231935739524	1.0	0.000999000999000999	0.04238669	0.012651009268822122	False	True	True	0.54873323	True
DHRS11	-0.5168385	-0.5150502	-0.7160357534885406	-0.3252331122756005	1.0	0.000999000999000999	0.03144986	0.012651009268822122	False	True	True	0.5168385	True
DPEP1	0.5104067	0.5047452	0.2444607697427273	0.7929241016507149	1.0	0.000999000999000999	0.00890304	0.012651009268822122	False	True	True	0.5104067	True
SLC9A3-OT1	-0.50931203	-0.5147121	-0.7118944317102432	-0.33282190710306175	1.0	0.000999000999000999	0.08932551	0.012651009268822122	False	True	True	0.50931203	True
ZNRF3	0.5048981	0.502597	0.27044947296380994	0.7402453705668449	1.0	0.000999000999000999	0.0021580288	0.012651009268822122	False	True	True	0.5048981	True
CA2	-0.50416976	-0.5125221	-0.6816637873649597	-0.3085517391562462	1.0	0.000999000999000999	0.06303602	0.012651009268822122	False	True	True	0.50416976	True
ASCL2	0.50405955	0.50497675	0.2835490621626377	0.7455495700240135	1.0	0.000999000999000999	0.0049427166	0.012651009268822122	False	True	True	0.50405955	True
ETHE1	-0.50222063	-0.4986599	-0.7290837660431861	-0.25952555388212206	1.0	0.000999000999000999	0.005585316	0.012651009268822122	False	True	True	0.50222063	True
SRI	-0.49602288	-0.49581528	-0.6518287017941475	-0.32129451110959056	1.0	0.000999000999000999	0.07207652	0.012651009268822122	False	True	True	0.49602288	True
MYL6	-0.48984164	-0.48910016	-0.7323664546012878	-0.2556069605052471	1.0	0.000999000999000999	0.03375858	0.012651009268822122	False	True	True	0.48984164	True
AQP8	-0.4854524	-0.4843511	-0.6943642288446427	-0.28683115914464	1.0	0.000999000999000999	0.13634369	0.012651009268822122	False	True	True	0.4854524	True
ATP5MC3	-0.48027578	-0.4884897	-0.6781591579318047	-0.2669057421386243	1.0	0.000999000999000999	0.07190369	0.012651009268822122	False	True	True	0.48027578	True
RNF43	0.4764946	0.4774106	0.2538956291973591	0.6859840527176857	1.0	0.000999000999000999	0.010522959	0.012651009268822122	False	True	True	0.4764946	True
NKD1	0.4699508	0.46676815	0.18732284978032113	0.790768727660179	1.0	0.000999000999000999	0.0030282072	0.012651009268822122	False	True	True	0.4699508	True
FCGRT	-0.4698495	-0.47000852	-0.6973876461386681	-0.286174912750721	1.0	0.000999000999000999	0.0471677	0.012651009268822122	False	True	True	0.4698495	True
APCDD1	0.4612431	0.44841337	0.15129331797361373	0.8702012032270432	1.0	0.000999000999000999	0.02414774	0.012651009268822122	False	True	True	0.4612431	True
MT1G	-0.4589386	-0.4603777	-0.7714878618717194	-0.15202369280159475	1.0	0.000999000999000999	0.1339314	0.012651009268822122	False	True	True	0.4589386	True
EPHB3	0.45734045	0.45566678	0.23348615914583207	0.7171147078275679	1.0	0.000999000999000999	0.0034419443	0.012651009268822122	False	True	True	0.45734045	True
SHISA9	0.4518485	0.44157156	0.09674112051725389	0.8431718304753303	0.998	0.004	0.07626136	0.02861218424962853	False	True	True	0.4518485	True
TPT1	-0.45159686	-0.45288312	-0.6634527415037155	-0.2372467301785946	1.0	0.000999000999000999	0.09649395	0.012651009268822122	False	True	True	0.45159686	True
ITM2C	-0.4494998	-0.44976664	-0.7399443298578262	-0.1133325941860676	0.996	0.008	0.07027922	0.04971122994652406	False	True	True	0.4494998	True
TST	-0.4494184	-0.44626153	-0.6647199705243111	-0.24413873776793485	1.0	0.000999000999000999	0.03462883	0.012651009268822122	False	True	True	0.4494184	True
SLC25A5	-0.43387944	-0.43589723	-0.631731453537941	-0.22058891057968158	1.0	0.000999000999000999	0.07840139	0.012651009268822122	False	True	True	0.43387944	True
