gene	selected_folds	arm	total_donor_folds	selection_frequency	strict_majority_threshold_folds	retained_by_strict_majority	logFC	adj.P.Val	direction_stability	bootstrap_ci_low	bootstrap_ci_high	type_of_gene	all_six_platforms_present	protein_coding
CYCS	23	down	27	0.851851851851852	14	TRUE	-0.409760560399178	0.0023389625724745	1	-0.562196189165115	-0.238016560673714	protein-coding	TRUE	TRUE
NDUFA1	17	down	27	0.62962962962963	14	TRUE	-0.371032488348176	0.0029378217143831	1	-0.537586969137192	-0.209964857250452	protein-coding	TRUE	TRUE
LRRC19	16	down	27	0.592592592592593	14	TRUE	-0.342115545052	0.0055844587715872	1	-0.484830068796873	-0.211130802333355	protein-coding	TRUE	TRUE
COX6C	14	down	27	0.518518518518518	14	TRUE	-0.391516245431671	0.0084410275709751	1	-0.560784789919853	-0.203106278181076	protein-coding	TRUE	TRUE
LGALS3	14	down	27	0.518518518518518	14	TRUE	-0.632631034679067	0.000718934584951	1	-0.870623950660229	-0.355027202516794	protein-coding	TRUE	TRUE
CHP2	12	down	27	0.444444444444444	14	FALSE	-0.577784684105271	0.0011721296741246	1	-0.790224429965019	-0.40287895873189	protein-coding	TRUE	TRUE
ETHE1	9	down	27	0.333333333333333	14	FALSE	-0.499671104589575	0.0059949278398453	1	-0.729083766043186	-0.259525553882122	protein-coding	TRUE	TRUE
CAMK2N1	8	down	27	0.296296296296296	14	FALSE	-0.421648038424357	0.007740477282724	0.999	-0.632793071866036	-0.177100066840649	protein-coding	TRUE	TRUE
SRI	7	down	27	0.259259259259259	14	FALSE	-0.489016038155681	0.000718934584951	1	-0.651828701794148	-0.321294511109591	protein-coding	TRUE	TRUE
CD9	6	down	27	0.222222222222222	14	FALSE	-0.402597269424247	0.0029378217143831	1	-0.558650772273541	-0.232245069742203	protein-coding	TRUE	TRUE
TPT1	6	down	27	0.222222222222222	14	FALSE	-0.465405881648522	0.0100306109355299	1	-0.663452741503715	-0.237246730178595	protein-coding	TRUE	TRUE
COX5A	5	down	27	0.185185185185185	14	FALSE	-0.428479233859834	0.0029378217143831	1	-0.598913602530956	-0.231265577673912	protein-coding	TRUE	TRUE
LGALS4	5	down	27	0.185185185185185	14	FALSE	-0.604310084814453	0.0020604301205329	1	-0.871893173456192	-0.348966401815414	protein-coding	TRUE	TRUE
ACAA2	4	down	27	0.148148148148148	14	FALSE	-0.338926259695005	0.0255796087977059	0.999	-0.512091557681561	-0.18734832778573	protein-coding	TRUE	TRUE
B2M	4	down	27	0.148148148148148	14	FALSE	-0.562950541898135	0.0306566364755674	0.998	-0.92275043874979	-0.147444926947355	protein-coding	TRUE	TRUE
C15orf48	4	down	27	0.148148148148148	14	FALSE	-0.566234720169745	0.0019071377275686	1	-0.775945611298084	-0.325283541530371	protein-coding	TRUE	TRUE
MYL6	3	down	27	0.111111111111111	14	FALSE	-0.487713996488689	0.0112179098930314	1	-0.732366454601288	-0.255606960505247	protein-coding	TRUE	TRUE
CA2	2	down	27	0.0740740740740741	14	FALSE	-0.499139216235935	0.0029378217143831	1	-0.68166378736496	-0.308551739156246	protein-coding	TRUE	TRUE
CALM2	2	down	27	0.0740740740740741	14	FALSE	-0.381164479585127	0.0279423409174807	0.997	-0.594087380170822	-0.115304603986442	protein-coding	TRUE	TRUE
PKIB	1	down	27	0.037037037037037	14	FALSE	-0.389483127209366	0.0072050036063832	1	-0.564293342828751	-0.214489276707172	protein-coding	TRUE	TRUE
AXIN2	23	up	27	0.851851851851852	14	TRUE	0.42414270203647	0.0023389625724745	1	0.211632934585214	0.651855410635471	protein-coding	TRUE	TRUE
SOX4	22	up	27	0.814814814814815	14	TRUE	0.392421773137814	0.0008769147653564	1	0.236581550166011	0.55647551715374	protein-coding	TRUE	TRUE
SLC7A5	21	up	27	0.777777777777778	14	TRUE	0.30123764189625	0.0059949278398453	1	0.129347436502576	0.492662789672613	protein-coding	TRUE	TRUE
ASCL2	18	up	27	0.666666666666667	14	TRUE	0.499044533279113	0.000978890866502	1	0.283549062162638	0.745549570024013	protein-coding	TRUE	TRUE
LTBP1	16	up	27	0.592592592592593	14	TRUE	0.287655363604438	0.0029378217143831	1	0.153550054877996	0.432193172723055	protein-coding	TRUE	TRUE
DPEP1	14	up	27	0.518518518518518	14	TRUE	0.512140243410315	0.0027845730112846	1	0.244460769742727	0.792924101650715	protein-coding	TRUE	TRUE
SDC3	9	up	27	0.333333333333333	14	FALSE	0.343356140560077	0.0028679638097157	1	0.169948872178793	0.544590991735458	protein-coding	TRUE	TRUE
SLC6A6	9	up	27	0.333333333333333	14	FALSE	0.377343234731296	0.0011721296741246	1	0.198750491440296	0.565663416683674	protein-coding	TRUE	TRUE
ZNF503	7	up	27	0.259259259259259	14	FALSE	0.239039409921495	0.0036714071616723	1	0.122415625862777	0.391752018034458	protein-coding	TRUE	TRUE
CYP4X1	6	up	27	0.222222222222222	14	FALSE	0.259352237022534	0.0019071377275686	1	0.130106462910771	0.392874815315008	protein-coding	TRUE	TRUE
L1TD1	4	up	27	0.148148148148148	14	FALSE	0.408028971744596	0.007740477282724	1	0.198340591788292	0.651724049448967	protein-coding	TRUE	TRUE
RNF43	3	up	27	0.111111111111111	14	FALSE	0.474688784834349	0.000718934584951	1	0.253895629197359	0.685984052717686	protein-coding	TRUE	TRUE
TRIP6	3	up	27	0.111111111111111	14	FALSE	0.319026949971336	0.007740477282724	0.999	0.138439942523837	0.522360616922379	protein-coding	TRUE	TRUE
DAB2	2	up	27	0.0740740740740741	14	FALSE	0.315014966309838	0.0084410275709751	1	0.139005461707711	0.523560440540314	protein-coding	TRUE	TRUE
TBX3	2	up	27	0.0740740740740741	14	FALSE	0.28070207358651	0.0063635465034481	0.999	0.115428022108972	0.466702666133642	protein-coding	TRUE	TRUE
CLDN2	1	up	27	0.037037037037037	14	FALSE	0.567114448240026	0.0386386695010206	1	0.222162199392915	1.11513502597809	protein-coding	TRUE	TRUE
LRRC36	1	up	27	0.037037037037037	14	FALSE	0.26957177354012	0.0036714071616723	1	0.122895560972393	0.426635754108429	protein-coding	TRUE	TRUE
ZNF703	1	up	27	0.037037037037037	14	FALSE	0.326823930396074	0.0041124097636014	1	0.154873792827129	0.49569870904088	protein-coding	TRUE	TRUE
