pseudobulk_id	cell_type	library_size	normalization_factor	effective_library_size
HTA11_104_2000001011__ABS	ABS	538565	1.19699620502334	644660.261158396
HTA11_104_2000002011__ABS	ABS	5954336	1.35810369436185	8086605.71907177
HTA11_104_2000002021__ABS	ABS	2285870	1.35653805120933	3100869.63511788
HTA11_1391_2000001011__ABS	ABS	353855	1.44891866569584	512707.1144498
HTA11_1938_2000001011__ABS	ABS	1783142	0.987788271324836	1761366.75370671
HTA11_1938_2000002011__ABS	ABS	1459866	0.785817183286871	1147187.78809627
HTA11_2112_2000002021__ABS	ABS	17691287	0.749272033116276	13255586.5789335
HTA11_2235_2000001011__ABS	ABS	997152	0.961861004361962	959121.624221539
HTA11_2235_2000002021__ABS	ABS	3930005	0.855558168894971	3362347.88154808
HTA11_2487_2000002011__ABS	ABS	2463042	0.847343951296518	2087043.74048928
HTA11_2951_2000001011__ABS	ABS	2185599	0.795972788874985	1739677.33139238
HTA11_2951_2000002011__ABS	ABS	4534477	0.983961593801824	4461751.21597771
HTA11_2951_2000002021__ABS	ABS	4111897	1.08889381197938	4477419.19879658
HTA11_3077_2000002011__ABS	ABS	11275094	0.767329716260932	8651714.67983534
HTA11_3252_2000002011__ABS	ABS	3706539	0.919109219821421	3406714.16852767
HTA11_3252_2000002021__ABS	ABS	4064373	0.914615177359998	3717337.23225219
HTA11_3361_2000001011__ABS	ABS	10428883	1.06889686728365	11147400.3679677
HTA11_3361_2000002011__ABS	ABS	2185932	0.940316352961968	2055467.60606286
HTA11_3361_2000002021__ABS	ABS	5954853	0.984635431861131	5863359.25532455
HTA11_3410_2000001011__ABS	ABS	1183714	0.941699928341214	1114703.38897649
HTA11_3410_2000002021__ABS	ABS	10687749	1.18035718386098	12615361.311453
HTA11_347_2000001011__ABS	ABS	16409307	1.39362091686915	22868353.4665274
HTA11_377_2000001011__ABS	ABS	6156521	1.24073141059363	7638588.98467929
HTA11_392_3000012011__ABS	ABS	5423622	1.37668521461559	7466620.21706382
HTA11_411_2000002011__ABS	ABS	4813471	1.21293185075943	5838412.28860686
HTA11_411_2000002021__ABS	ABS	14170152	1.2328142737419	17469165.6466924
HTA11_5212_2000001011__ABS	ABS	5448947	0.67432272485827	3674348.78864829
HTA11_5212_2000002011__ABS	ABS	2194839	0.799836009474439	1755511.26719887
HTA11_5216_2000002011__ABS	ABS	5193565	0.778644978231916	4043943.30637104
HTA11_5216_2000002021__ABS	ABS	7453197	0.95225933246559	7097376.39995454
HTA11_5363_2000002021__ABS	ABS	2921986	0.577398944290262	1687151.63163092
HTA11_546_2000001011__ABS	ABS	3763890	1.25797759412508	4734889.28675145
HTA11_546_2000002011__ABS	ABS	7042451	1.111180754912	7825436.01861079
HTA11_546_2000002021__ABS	ABS	5001656	1.27794833470251	6391857.95595483
HTA11_6025_2000001011__ABS	ABS	1649642	0.721267543238715	1189833.2325634
HTA11_6025_2000002011__ABS	ABS	4131829	0.697561089540849	2882203.13903648
