pseudobulk_id	specimen_id	donor_id	route	cell_type	n_cells	library_size
HTA11_104_2000001011__ABS	HTA11_104_2000001011	HTA11_104	conventional_adenoma	ABS	46	558423
HTA11_104_2000002011__ABS	HTA11_104_2000002011	HTA11_104	normal	ABS	547	6181576
HTA11_104_2000002021__ABS	HTA11_104_2000002021	HTA11_104	normal	ABS	296	2394205
HTA11_1391_2000001011__ABS	HTA11_1391_2000001011	HTA11_1391	conventional_adenoma	ABS	56	372127
HTA11_1938_2000001011__ABS	HTA11_1938_2000001011	HTA11_1938	conventional_adenoma	ABS	200	1835606
HTA11_1938_2000002011__ABS	HTA11_1938_2000002011	HTA11_1938	normal	ABS	82	1501130
HTA11_2112_2000002021__ABS	HTA11_2112_2000002021	HTA11_2112	normal	ABS	935	18181051
HTA11_2235_2000001011__ABS	HTA11_2235_2000001011	HTA11_2235	conventional_adenoma	ABS	106	1023742
HTA11_2235_2000002021__ABS	HTA11_2235_2000002021	HTA11_2235	normal	ABS	388	4023942
HTA11_2487_2000002011__ABS	HTA11_2487_2000002011	HTA11_2487	normal	ABS	344	2537209
HTA11_2951_2000001011__ABS	HTA11_2951_2000001011	HTA11_2951	conventional_adenoma	ABS	250	2250189
HTA11_2951_2000002011__ABS	HTA11_2951_2000002011	HTA11_2951	normal	ABS	497	4679822
HTA11_2951_2000002021__ABS	HTA11_2951_2000002021	HTA11_2951	normal	ABS	462	4249109
HTA11_3077_2000002011__ABS	HTA11_3077_2000002011	HTA11_3077	normal	ABS	819	11591193
HTA11_3252_2000002011__ABS	HTA11_3252_2000002011	HTA11_3252	normal	ABS	316	3811485
HTA11_3252_2000002021__ABS	HTA11_3252_2000002021	HTA11_3252	normal	ABS	351	4180768
HTA11_3361_2000001011__ABS	HTA11_3361_2000001011	HTA11_3361	conventional_adenoma	ABS	1679	10840336
HTA11_3361_2000002011__ABS	HTA11_3361_2000002011	HTA11_3361	normal	ABS	345	2243140
HTA11_3361_2000002021__ABS	HTA11_3361_2000002021	HTA11_3361	normal	ABS	648	6147580
HTA11_3410_2000001011__ABS	HTA11_3410_2000001011	HTA11_3410	conventional_adenoma	ABS	206	1215909
HTA11_3410_2000002021__ABS	HTA11_3410_2000002021	HTA11_3410	normal	ABS	1263	11024733
HTA11_347_2000001011__ABS	HTA11_347_2000001011	HTA11_347	conventional_adenoma	ABS	1427	17033530
HTA11_377_2000001011__ABS	HTA11_377_2000001011	HTA11_377	normal	ABS	544	6374764
