cell_type	route	n_cells	n_specimens	n_donors
ABS	conventional_adenoma	8236	14	14
ABS	normal	18391	35	24
ASC	conventional_adenoma	6479	14	14
ASC	normal	432	31	23
CT	conventional_adenoma	242	12	12
CT	normal	752	33	23
EE	conventional_adenoma	76	12	12
EE	normal	247	30	22
GOB	conventional_adenoma	3908	14	14
GOB	normal	5178	35	24
SSC	conventional_adenoma	101	10	10
SSC	normal	89	19	15
STM	conventional_adenoma	534	12	12
STM	normal	1719	30	21
TAC	conventional_adenoma	1542	14	14
TAC	normal	3077	35	24
TUF	conventional_adenoma	179	14	14
TUF	normal	455	34	23
