gene	full_common_effect	full_common_z	shared_direction	state_sign_stability_ABS	state_sign_stability_GOB	state_sign_stability_TAC	common_sign_stability	leaveout_common_effect_min	leaveout_common_effect_median	leaveout_common_effect_max	minimum_state_sign_stability
TIMP1	3.51875626155639	16.7394505507629	up	1	1	1	1	2.9862931782587	3.27381114287732	3.56528780449427	1
INPP5D	2.9207457637981	12.5413512953535	up	1	1	1	1	2.54206242407159	2.65267820676801	3.21902142529562	1
S100P	3.3172428985422	12.5226376482217	up	1	1	1	1	2.85976055918192	3.10839387967007	3.65246395010058	1
GALNT6	1.63407733274684	12.3857084496664	up	1	1	1	1	1.5834735067284	1.63198823625185	1.71531304178137	1
GRAMD1A	1.36546675010582	12.2761600614774	up	1	1	1	1	1.2621959246361	1.34088616411302	1.48470785009826	1
PVT1	1.71890026969759	12.2612334544511	up	1	1	1	1	1.63362141955108	1.69694168559659	1.90377611137152	1
LCN2	2.67901697030422	11.644804152479	up	1	1	1	1	2.17542741678306	2.5110445512799	2.62121698212791	1
TBXAS1	1.36647455671585	11.5537703396031	up	1	1	1	1	1.27014464625288	1.3449983905559	1.43940346305398	1
GRIN2D	1.90748515341374	11.5160405206599	up	1	1	1	1	1.61374639160643	1.77410193438988	2.07275691076153	1
ARID3A	1.27386227547908	11.3707840124073	up	1	1	1	1	1.0815244791873	1.13385127210423	1.28061700074832	1
ASCL2	2.33729157800139	11.141160505107	up	1	1	1	1	1.92185102328951	2.15939422811495	2.40540985999998	1
COX5A	-0.823770690484804	-11.1222545448637	down	1	1	1	1	-0.859009347654222	-0.824050596191684	-0.774308957984085	1
PMEPA1	1.32423351283478	11.0937650537672	up	1	1	1	1	1.20998492949352	1.34339228357894	1.46274241458396	1
PLXNB1	0.673998662674102	10.8325646306889	up	1	1	1	1	0.363860092681598	0.440253277154919	0.547010908567714	1
C15orf48	-1.04305371600802	-10.6185205634098	down	1	1	1	1	-1.11003280372192	-1.07425970610398	-0.998490910162887	1
UGT2A3	-1.95713316615748	-10.6049524844912	down	1	1	1	1	-1.74913252388729	-1.52064054911793	-1.3178832430617	1
MAOA	-0.743473271655654	-10.5948669248534	down	1	1	1	1	-0.747368376466147	-0.629038169885501	-0.571611329917906	1
IL1R2	-1.45319497755708	-10.5778908486241	down	1	1	1	1	-1.57441113736644	-1.42765100218798	-1.28399393943833	1
ATP5MC3	-0.933804794541428	-10.5571095104951	down	1	1	1	1	-0.940214880756761	-0.901158827913468	-0.852525920824101	1
SDHD	-1.13898329081013	-10.5321656244266	down	1	1	1	1	-1.19540850833416	-1.11286338962716	-1.02272767702073	1
CADPS	1.71374733534792	10.3819892853955	up	1	1	1	1	1.47642686234849	1.65281617883663	1.90104966978894	1
SRI	-0.963402749257993	-10.2092913666186	down	1	1	1	1	-0.993753070731363	-0.947048820142262	-0.907269263111096	1
CHP2	-1.13496646810407	-10.1116373405453	down	1	1	1	1	-1.23352205485545	-1.16410239817786	-1.06833779331671	1
TMEM98	-0.879717404288529	-10.0814452900187	down	1	1	1	1	-0.860117777503197	-0.806453643115297	-0.746698745874634	1
NOL3	1.03206839282441	9.90473966564378	up	1	1	1	1	0.966928658555483	1.03792542350188	1.10135105623753	1
LGALS3	-0.909435258997805	-9.88414983421536	down	1	1	1	1	-0.883227556911558	-0.855096097870369	-0.804381905321456	1
AGBL4	1.13628912591947	9.86835755745679	up	1	1	1	1	0.95651645233757	1.06100376030533	1.17610270150833	1
HDAC7	1.21433766839062	9.86544813362959	up	1	1	1	1	1.1376598373316	1.20724081383351	1.30477602800414	1
IMPA2	-0.683197212770261	-9.79627538063685	down	1	1	1	1	-0.707917834274355	-0.664532153549313	-0.613975699593498	1
PACS1	1.40034544248394	9.78574500711747	up	1	1	1	1	1.29358240882526	1.35620523053741	1.44853260715234	1
AXIN2	1.30898658015039	9.66927068210392	up	1	1	1	1	1.14350567970117	1.22933564911139	1.5013573460148	1
ARHGEF28	0.792283693352739	9.55161882206126	up	1	1	1	1	0.735723948169501	0.814395704210408	0.864154280044744	1
CD9	-0.769293825677803	-9.45233852833541	down	1	1	1	1	-0.75607940504796	-0.719740150419342	-0.657395374439949	1
ZYX	1.10946973545776	9.45132937272447	up	1	1	1	1	0.919213373886171	0.98794624077722	1.17238960791092	1
RASAL1	1.22992266149066	9.40457574904061	up	1	1	1	1	1.08092791150486	1.20398830464649	1.27396100193345	1
GTF2IRD1	1.27036684802931	9.35881159528606	up	1	1	1	1	1.22876764315322	1.2848973914738	1.35544039405886	1
BACE2	0.961800693782507	9.34570672045378	up	1	1	1	1	0.878590219626381	0.962808209849357	1.07850220875958	1
OSBPL3	1.10238380872269	9.31196633463306	up	1	1	1	1	0.784449786935237	0.864205299721654	1.20439101181981	1
FAM162A	-0.850884189972595	-9.20163380836525	down	1	1	1	1	-0.874225452524944	-0.827922121793144	-0.768611707104155	1
