layer	unit	expected_up	present_up	coverage_up	expected_down	present_down	coverage_down	present_total	coverage_total
Becker epithelial snRNA-seq	GSM6061645_A001-C-007_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061646_A001-C-014_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061647_A001-C-023_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061648_A001-C-104_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061649_A001-C-108_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061650_A001-C-119_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061651_A001-C-124_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061652_A001-C-202_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061653_A001-C-203_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061654_A001-C-207_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061655_A001-C-223_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061656_A002-C-010_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061657_A002-C-010-R0_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061658_A002-C-016_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061659_A002-C-021_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061660_A002-C-024_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061661_A002-C-106_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061662_A002-C-114_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061663_A002-C-116_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061664_A002-C-121_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
Becker epithelial snRNA-seq	GSM6061665_A002-C-121-R0_features.tsv.gz	884	845	0.9558823529411765	959	922	0.9614181438998958	1767	0.9587628865979382
