gene	module	module_color	module_numeric	strict_state_shared	programme_direction	discovery_common_z	heldout_common_z	heldout_common_fdr	kme_discovery_ABS	abs_kme_discovery_ABS	kme_heldout_ABS	abs_kme_heldout_ABS	kme_discovery_GOB	abs_kme_discovery_GOB	kme_heldout_GOB	abs_kme_heldout_GOB	kme_discovery_TAC	abs_kme_discovery_TAC	kme_heldout_TAC	abs_kme_heldout_TAC	module_size	bootstrap_abs_kme_ci_low_ABS	bootstrap_abs_kme_median_ABS	bootstrap_abs_kme_ci_high_ABS	bootstrap_abs_kme_ci_low_GOB	bootstrap_abs_kme_median_GOB	bootstrap_abs_kme_ci_high_GOB	bootstrap_abs_kme_ci_low_TAC	bootstrap_abs_kme_median_TAC	bootstrap_abs_kme_ci_high_TAC
TIMP1	M02	blue	2	TRUE	up	16.7394505507629	NA	NA	0.473983119482111	0.473983119482111	0.441585553196397	0.441585553196397	0.652091051495669	0.652091051495669	0.461307143834415	0.461307143834415	0.76707028660151	0.76707028660151	0.447600692148494	0.447600692148494	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
INPP5D	M02	blue	2	TRUE	up	12.5413512953535	NA	NA	0.206146257594154	0.206146257594154	0.389596068667281	0.389596068667281	0.452988076815164	0.452988076815164	0.421389684603983	0.421389684603983	0.528396785227508	0.528396785227508	0.293811486832928	0.293811486832928	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
S100P	M02	blue	2	TRUE	up	12.5226376482217	7.79021378949955	7.67684492419057e-13	0.37482137714336	0.37482137714336	0.515388673648688	0.515388673648688	0.379677832652642	0.379677832652642	0.406800218619981	0.406800218619981	0.361777730527897	0.361777730527897	0.49731209816779	0.49731209816779	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
GALNT6	M06	red	6	TRUE	up	12.3857084496664	9.91216509887307	3.746261560939e-20	0.346649816855352	0.346649816855352	0.552308408600036	0.552308408600036	0.416008600413087	0.416008600413087	0.436513085077541	0.436513085077541	0.369721736661094	0.369721736661094	0.703799468819834	0.703799468819834	231	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRAMD1A	M03	brown	3	TRUE	up	12.2761600614774	10.9353835704855	2.77752197892063e-24	0.213184913862603	0.213184913862603	0.249412443867596	0.249412443867596	0.298247204896272	0.298247204896272	0.145178655835104	0.145178655835104	0.32427818333574	0.32427818333574	0.253399086680489	0.253399086680489	993	NA	NA	NA	NA	NA	NA	NA	NA	NA
PVT1	M01	turquoise	1	TRUE	up	12.2612334544511	9.07495713763324	3.85301822669517e-17	0.455341598928997	0.455341598928997	-0.084329028412381	0.084329028412381	-0.0065361480415521	0.0065361480415521	0.27241961182199	0.27241961182199	0.397797684536608	0.397797684536608	0.179259109898563	0.179259109898563	2186	NA	NA	NA	NA	NA	NA	NA	NA	NA
LCN2	M02	blue	2	TRUE	up	11.644804152479	NA	NA	0.268333431820375	0.268333431820375	0.293894168314161	0.293894168314161	0.502571292603134	0.502571292603134	0.324480825652573	0.324480825652573	0.484182671189248	0.484182671189248	0.137546743979884	0.137546743979884	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBXAS1	grey	grey	0	TRUE	up	11.5537703396031	10.8636330967196	4.07395974247789e-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRIN2D	M02	blue	2	TRUE	up	11.5160405206599	NA	NA	0.402131856303626	0.402131856303626	-0.118228056638659	0.118228056638659	0.581112796044559	0.581112796044559	-0.411547188749936	0.411547188749936	0.556160651905071	0.556160651905071	-0.228609361000068	0.228609361000068	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARID3A	M02	blue	2	TRUE	up	11.3707840124073	9.45291250432848	1.56307713255787e-18	0.519108592885069	0.519108592885069	0.561137709657414	0.561137709657414	0.431961606105744	0.431961606105744	0.47669479126863	0.47669479126863	0.351875467598488	0.351875467598488	0.0215389212751429	0.0215389212751429	2184	NA	NA	NA	NA	NA	NA	NA	NA	NA
