group_id	donor_id	carrier_group	study_id	n_cells_sampled	M02	M03	M04	M05	M06	M09	M10
Borras_2023_Cell_Discov.SMC119__tumor_cancer	Borras_2023_Cell_Discov.SMC119	tumor_cancer	Borras_2023_Cell_Discov	2	-0.07318534236548392	-0.3311212912636773	0.21168218509051048	0.21235008494889554	-0.2988805726361949	-0.018910117355795036	-0.22968816217357685
Borras_2023_Cell_Discov.SMC125__tumor_cancer	Borras_2023_Cell_Discov.SMC125	tumor_cancer	Borras_2023_Cell_Discov	1	0.227751919191522	-0.02402154620765701	-0.3379116629102184	-0.15225201521000647	-0.02471053412081129	0.10991378581829654	0.20724443382689497
Borras_2023_Cell_Discov.SMC136__tumor_cancer	Borras_2023_Cell_Discov.SMC136	tumor_cancer	Borras_2023_Cell_Discov	1	-0.5103887010430852	-0.614240825751969	0.7977308674519782	0.46086732962887306	-0.45656510312681303	0.5982060911151439	1.0045707183002766
Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol.Donor1__normal_epithelial	Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol.Donor1	normal_epithelial	Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol	69	-0.015502930578948786	-0.1013079313518701	-0.11145325580730149	-0.3188718591850124	-0.17511942228571475	-0.3227528785364108	-0.4369773157200024
Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol.Donor2__normal_epithelial	Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol.Donor2	normal_epithelial	Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol	91	0.12616891691585244	-0.10884294687978015	-0.16093963625475866	-0.33328888780762084	-0.15116418015057656	-0.40066096946421603	-0.5545731576709833
Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol.Donor3__normal_epithelial	Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol.Donor3	normal_epithelial	Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol	66	0.07772147392739966	-0.026563235098698044	-0.08652341467841275	-0.28274200554903944	-0.07445892955230202	-0.1645264221215574	-0.33883850652898595
Che_2021_Cell_Discov.COL07__tumor_cancer	Che_2021_Cell_Discov.COL07	tumor_cancer	Che_2021_Cell_Discov	264	-0.03711988378604203	0.17923830626490403	0.04717494110107036	0.014515673676622484	0.0007321903057864237	0.0434974312682996	-0.07032058255251811
Che_2021_Cell_Discov.COL07__tumor_epithelial	Che_2021_Cell_Discov.COL07	tumor_epithelial	Che_2021_Cell_Discov	1	-0.3228477779356902	-0.25293574497875565	0.5703547300310345	0.5362760343310456	-0.18343009109590233	0.7360769813839819	0.14165706698934058
Che_2021_Cell_Discov.COL07__metastasis_cancer	Che_2021_Cell_Discov.COL07	metastasis_cancer	Che_2021_Cell_Discov	259	-0.07528037762239503	0.19277480399918706	0.20346757902699936	0.1465911369913102	0.1232512712455276	0.22691685292824504	0.04808866316356394
Che_2021_Cell_Discov.COL07__metastasis_epithelial	Che_2021_Cell_Discov.COL07	metastasis_epithelial	Che_2021_Cell_Discov	1	-0.23476334100888216	-0.14992480022796414	0.4544563425854952	0.2829070287111847	-0.5109885801017369	0.3444220467022808	0.3845275505216952
Che_2021_Cell_Discov.COL12__tumor_cancer	Che_2021_Cell_Discov.COL12	tumor_cancer	Che_2021_Cell_Discov	10	0.035771199967014146	-0.0630698506967625	-0.22066753079801193	-0.17266658670380763	-0.11251831499907795	-0.1503962803267992	-0.24908019777123724
Che_2021_Cell_Discov.COL12__metastasis_cancer	Che_2021_Cell_Discov.COL12	metastasis_cancer	Che_2021_Cell_Discov	40	0.034861561845546944	0.039657673879701726	-0.11820261426686442	-0.11588242836457203	-0.055119000904919654	-0.16205168674036607	-0.1655010788157382
Che_2021_Cell_Discov.COL15__tumor_cancer	Che_2021_Cell_Discov.COL15	tumor_cancer	Che_2021_Cell_Discov	33	-0.0758328395520003	0.2741189054001395	0.1372869852539823	0.019326145436626505	0.08714384829673165	0.029538594090465563	0.030837995680832488
Che_2021_Cell_Discov.COL15__tumor_epithelial	Che_2021_Cell_Discov.COL15	tumor_epithelial	Che_2021_Cell_Discov	8	-0.49006668512967444	-0.012535899051901318	0.7918024617384039	0.6889544046521033	0.11863280333707647	0.8840118604651377	0.7276668014333844
Che_2021_Cell_Discov.COL15__metastasis_cancer	Che_2021_Cell_Discov.COL15	metastasis_cancer	Che_2021_Cell_Discov	169	-0.11018678012041647	0.5203938067139413	0.15006069255693955	-0.06248420652540408	0.2896622492002734	0.039815507115548154	-0.05679413301093858
Che_2021_Cell_Discov.COL16__tumor_cancer	Che_2021_Cell_Discov.COL16	tumor_cancer	Che_2021_Cell_Discov	103	-0.0736053981039535	0.05497663922811146	0.0874659755103551	0.012404977319859147	-0.058040114872233456	0.007438109983710031	-0.0066283775926992815
