gene	module	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	pxd017269_protein_group_present	protein_accessions	n_samples	n_detected	pxd017269_detection_fraction	median_log2_intensity_detected	archival_group_kruskal_p	archival_group_kruskal_q_bh_candidates	pxd046999_detected	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	directionally_concordant_pxd002137
TIMP1	M02	1	True	6	16	0.75	1.0	14.758156441141557	12.584293410417162	-2.1738630307243945	-0.5473034947096503	0.23958333333333334	23.0	0.07009502365539517	-1.243766866804786	-4.215553484078377	1.7280197504688046	0.412048615621456	0.17883601078819217	0.6374817625055372	True	P01033;Q5H9A7	118	113	0.9576271186440678	14.905460357666	0.07536935365545118	0.18624968045669305	True	False	False	False	False
INPP5D	M02	1	False	0	0	0.0	0.0														True	Q92835;Q92835-2	118	115	0.9745762711864406	13.5608100891113	0.09206231299342754	0.21419723752765263	True	False	True	False	False
S100P	M02	1	True	8	16	1.0	1.0	19.620849328232104	22.31673347438389	2.695884146151787	3.4671816675598697	0.9921875	127.0	5.438691668332266e-06	2.79772596872288	1.7407559699761121	3.854695967469648	2.1269227327037654e-07	0.0002840205649017961	8.063925570534894e-06	True	P25815	118	118	1.0	21.0920648574829	0.8554639242766123	0.9131392698304781	True	False	True	False	True
GALNT6	M06	1	True	4	15	0.5	0.9375	10.700069796313564	13.109356125092722	2.4092863287791584	3.4469817647973815	0.9833333333333333	59.0	0.0010319917440660474	2.493124930986504	1.528611652221206	3.4576382097518015	4.0579597917947037e-07	0.009151624900208346	1.384666057844615e-05	True	Q8NCL4	118	117	0.9915254237288136	14.0187997817993	0.8407807550298116	0.9014877213334758	False	False	False	False	True
GRAMD1A	M03	1	True	1	12	0.125	0.75	7.2402372499562855	9.563584735516677	2.323347485560392		0.9166666666666666	11.0	0.3076923076923077					0.49867374005305043		False		118	0	0.0				False	False	False	False	False
LCN2	M02	1	True	8	16	1.0	1.0	15.286074259964495	17.877823316397354	2.5917490564328585	1.6137258320519299	0.828125	106.0	0.008748135548512451	2.2526461245698766	0.4155612521197243	4.089730997020029	0.016246903827502962	0.040594310232166385	0.07480396050114183	True	P80188;X6R8F3	118	111	0.940677966101695	17.0830001831055	0.6262323826785827	0.7501025243073134	True	False	False	True	True
GRIN2D	M02	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
ARID3A	M02	1	True	6	16	0.75	1.0	10.112425170463547	11.238289773689855	1.125864603226308	0.3672646590999748	0.6354166666666666	61.0	0.3667725463391097	0.5881744243180549	-0.8183534031632511	1.994702251799361	0.41243992431725873	0.5594259051718456	0.6375031034310625	True	Q99856	118	8	0.06779661016949153	14.5733451843262	0.06948345122280168	0.17676490194382402	False	False	False	False	False
ASCL2	M02	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
COX5A	M04	-1	True	8	16	1.0	1.0	19.80218205735452	19.353227136127593	-0.44895492122692815	-0.6179972501843211	0.3125	40.0	0.15312364457606076	-0.3745464743954303	-1.1258929478553972	0.37679999906453665	0.3285480045592819	0.3105898832646362	0.560661204637664	True	P20674	118	118	1.0	20.18767070770265	0.01445138460677467	0.06416391225180376	True	False	False	False	False
PMEPA1	M02	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
PLXNB1	M02	1	True	6	15	0.75	0.9375	6.890475036573935	9.618600908262382	2.7281258716884462	1.1342402720546043	0.7888888888888889	71.0	0.044854784018870705	2.304285804767589	-0.18573023779290665	4.794301847328085	0.06971309413998683	0.13059490214343772	0.20624514512390826	True	O43157;O43157-2	118	66	0.559322033898305	15.1656699180603	0.9073812006294245	0.9478504690688496	False	False	False	False	True
C15orf48	M04	-1	True	8	16	1.0	1.0	20.37707167342319	19.18377491108385	-1.1932967623393367	-1.5075884227444425	0.125	16.0	0.0021618799381620756	-0.9732806267940048	-1.4319394830115746	-0.5146217705764351	3.1954387616122975e-05	0.01489793330797515	0.0005391863976324927	False		118	0	0.0				False	False	False	False	True
UGT2A3	M05	-1	False	0	0	0.0	0.0														True	Q6UWM9	118	89	0.7542372881355932	13.5831499099731	0.0639944691556594	0.16819344751749746	False	False	False	False	False
ATP5MC3	M04	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
SDHD	M04	-1	True	8	10	1.0	0.625	14.910980249921774	11.809718555204329	-3.1012616947174454	-0.8131276708294431	0.2125	17.0	0.04342063165592577	-1.5736100012749428	-5.0450752133328045	1.897855210782919	0.374299412152187	0.13059490214343772	0.6014348958961782	False		118	0	0.0				False	False	False	False	False
SRI	M04	-1	True	8	16	1.0	1.0	20.232127548106963	19.22305199879689	-1.0090755493100723	-1.4116101039006779	0.1796875	23.0	0.010744135390790393	-0.7979245492011142	-1.4858939471760004	-0.10995515122622801	0.023013137170481996	0.047256959138636895	0.09528268521436607	True	C9J0K6;P30626;P30626-2	118	118	1.0	20.60033988952635	0.036989535381371834	0.11669591168272644	True	False	False	False	True
CHP2	M04	-1	True	8	6	1.0	0.375	11.94660565158841	11.323998475485576	-0.622607176102834	-0.7391628015286761	0.2916666666666667	14.0	0.22843822843822847	-1.4930444037153645	-3.772569829051064	0.7864810216203351	0.1992336669079804	0.4120404449351818	0.41174064002315464	False		118	0	0.0				False	False	False	False	False
TMEM98	M04	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
LGALS3	M02	1	True	8	16	1.0	1.0	21.991690547399415	21.51574208578411	-0.47594846161530313	-0.07238011055257924	0.3828125	49.0	0.3826038008296723	0.09106096310535339	-0.8643150201154743	1.0464369463261811	0.8518076194297803	0.5677792082677591	0.9295710786364033	True	P17931	118	118	1.0	21.35447025299075	0.33176439287684095	0.49459247207415424	True	False	False	False	False
AGBL4	M03	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
IMPA2	M02	1	True	7	14	0.875	0.875	15.395053518210517	14.483502429923265	-0.9115510882872524	-0.3214343320795986	0.3979591836734694	39.0	0.48796009631922954	-0.11482962711918113	-1.8372571645591431	1.607597910320781	0.896039889430686	0.6703174066740767	0.9512941507825339	True	O14732;O14732-2	118	117	0.9915254237288136	15.1133699417114	0.22825372541168457	0.38580486490373944	True	False	False	False	False
PACS1	M03	1	True	7	16	0.875	1.0	11.196921299325396	12.344832698116685	1.1479113987912886	1.6315649136347532	0.8571428571428571	96.0	0.0059390513018188346	1.0645060994067252	0.2051566707071878	1.9238555281062628	0.01518754647828382	0.03171993308925969	0.0715239881647839	True	Q6VY07;Q6VY07-2	118	114	0.9661016949152542	14.594815254211401	0.8333050186888807	0.8953124619774278	False	False	False	False	True
AXIN2	M05	-1	True	2	8	0.25	0.5	8.023439527235572	7.188171126454427	-0.8352684007811453	-0.176970687612557	0.5625	9.0	0.888888888888889					0.9600933829430219		False		118	0	0.0				False	False	False	False	False
ARHGEF28	M03	1	True	1	12	0.125	0.75	6.862024882709278	8.919805358348118	2.0577804756388396		0.9166666666666666	11.0	0.3076923076923077					0.49867374005305043		False		118	0	0.0				False	False	False	False	False
CD9	M04	-1	True	8	16	1.0	1.0	20.81018566757139	21.424067730400544	0.6138820628291555	1.484012316440162	0.8046875	103.0	0.015905453784037713	0.4875365664174296	0.05153119253242039	0.9235419403024387	0.02840761729138858	0.06346054410100259	0.10946021668990505	True	A6NNI4;G8JLH6;P21926	118	118	1.0	16.2609453201294	0.2437224242043591	0.4032161997636624	True	False	False	True	False
ZYX	M02	1	False	0	0	0.0	0.0														True	Q15942	118	118	1.0	17.632740020751953	0.5132162487876772	0.6585732457632288	True	False	False	False	False
RASAL1	M02	1	True	8	16	1.0	1.0	10.079655672661712	12.723762125847397	2.6441064531856853	1.7911709629029675	0.890625	114.0	0.0012590571212189195	2.0631603891860695	1.0838874649888721	3.042433313383267	3.63855839587681e-05	0.010127867796602066	0.0006072833061813959	True	O95294-3;O95294-4	118	110	0.9322033898305084	13.82142019271855	0.26662996860202626	0.42332175407178846	True	False	False	False	True
GTF2IRD1	M06	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
OSBPL3	M03	1	True	8	16	1.0	1.0	10.039995655573541	12.608053599257179	2.5680579436836375	1.5929523225080275	0.8984375	115.0	0.0009436130044556481	2.2932734575825693	0.6057488506914874	3.9807980644736514	0.007733083284709908	0.008390504823402926	0.04349094800935946	True	Q9H4L5;Q9H4L5-2	118	107	0.9067796610169492	13.1534700393677	0.09516957989564405	0.21715828456059197	False	False	False	False	True
FAM162A	M04	-1	True	8	16	1.0	1.0	17.626834020245028	18.09483626298949	0.4680022427444612	0.9401019177161568	0.7265625	93.0	0.08080808080808081	0.7669951841736367	0.16072449172225767	1.3732658766250156	0.01315455825087127	0.19722447022150288	0.06494798776274223	True	F8W7Q4;Q96A26	118	118	1.0	15.96590518951415	3.380313561743915e-06	0.0002902972313327956	True	False	False	False	False
COX16	M09	-1	True	8	16	1.0	1.0	14.78069586663836	16.109670443396	1.3289745767576377	0.30879323869339614	0.671875	86.0	0.19235564692557555	0.28360116833401483	-0.9506601329141923	1.517862469582222	0.652458968388361	0.3618353792939643	0.8215258269457387	False		118	0	0.0				False	False	False	False	False
FTX	M03	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
FKBP1A	M05	-1	True	8	16	1.0	1.0	17.875148915870604	18.58698285850808	0.711833942637476	0.9786057157031541	0.6875	88.0	0.15312364457606076	0.8428464934267196	-0.056017525997594686	1.741710512851034	0.06608917960170614	0.3105898832646362	0.19836773357947662	True	P62942	118	118	1.0	16.85428524017335	0.28499311873881966	0.4447524771507791	True	False	False	True	False
ARHGEF3	M03	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
CIAO2A	M04	-1	True	7	16	0.875	1.0	14.947541475406386	15.288802268616731	0.3412607932103455	0.6983531362899316	0.7142857142857143	80.0	0.11812022499867432	0.25306517004243023	-0.2399690975494796	0.7460994376343401	0.3144095738122583	0.26311250738740144	0.5449254796639856	False		118	0	0.0				False	False	False	False	False
VWA1	M02	1	True	8	15	1.0	0.9375	10.370673719075445	10.720963441640242	0.3502897225647974	0.13619681492888172	0.5666666666666667	68.0	0.6355233585008789	0.4825820061354653	-1.1537068796064984	2.118870891877429	0.5632359074252064	0.7938010058723963	0.7607355889825179	True	Q6PCB0	118	106	0.8983050847457628	14.84066009521485	0.015856756508958392	0.06808795143392134	False	False	False	False	False
LINC00963	M02	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
SLC4A4	M03	1	True	8	6	1.0	0.375	12.597174378189084	7.5923024847970435	-5.004871893392041	-4.390455672379759	0.0	0.0	0.000666000666000666	-4.893912373222477	-6.570139105409561	-3.217685641035393	1.0508422788986164e-08	0.0068089531886634126	5.071027344823894e-07	True	Q9Y6R1;Q9Y6R1-4	118	66	0.559322033898305	12.309639930725101	0.6112007500542854	0.738590124667804	False	False	False	False	False
MPC2	M04	-1	True	6	7	0.75	0.4375	16.500759996387103	12.891497648609986	-3.6092623477771166	-2.9218733565238915	0.0	0.0	0.0011655011655011655	-4.03469327159143	-6.1389896541212945	-1.9303968890615661	0.00017130690175297966	0.010127867796602066	0.002142831384346736	True	O95563;Q5R3B4	118	24	0.2033898305084746	12.51634502410885	0.8040806574719839	0.8750081651959495	False	False	False	False	True
DHRS11	M02	1	False	0	0	0.0	0.0														True	Q6UWP2	118	114	0.9661016949152542	14.39351987838745	0.7650865964572648	0.852972232242285	True	False	True	False	False
RNF43	M02	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
FZD5	M04	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
MPC1	M04	-1	True	4	10	0.5	0.625	14.300687780408348	16.03198508311563	1.731297302707281	0.8641703773946082	0.675	27.0	0.3736263736263737	1.2806496603345519	-0.708765392717422	3.2700647133865255	0.20705997072324422	0.5675118971517864	0.4244867624106028	True	A0A087WVZ0;Q5TI65;Q9Y5U8	118	63	0.5338983050847458	14.2414503097534	0.11976882886427279	0.2538705018708669	False	False	False	False	False
LRRC19	M04	-1	True	8	10	1.0	0.625	11.693603470685064	10.319803625466932	-1.373799845218132	-0.497039401130056	0.325	26.0	0.236985236985237	-1.0420223702632179	-3.0130398609645406	0.9289951204381046	0.30011878762842314	0.41870168302056854	0.5324464452957178	False		118	0	0.0				False	False	False	False	False
TPT1	M04	-1	True	8	16	1.0	1.0	17.288044766040407	17.20948149513171	-0.07856327090869897	-0.239329363104968	0.453125	58.0	0.741723331035486	-0.5120762574990532	-1.007880205954617	-0.016272309043489253	0.042940312147987825	0.8595525745356637	0.1473022927742638	True	A0A0B4J2C3;P13693;Q5W0H4	118	118	1.0	15.3649101257324	0.0042897077610087484	0.027566965520858938	True	False	False	False	True
HSPA1A	M02	1	False	0	0	0.0	0.0														True	A0A0G2JIW1;P0DMV8;P0DMV9	118	118	1.0	18.853289604187047	0.004151103119865398	0.027011599584229076	True	False	False	False	False
NBEAL2	M02	1	True	8	16	1.0	1.0	10.375029883243094	12.063228659691168	1.6881987764480737	1.6269871587255489	0.96875	124.0	3.26321500099936e-05	2.1274969693705437	0.7764698438688193	3.478524094872268	0.0020259238909424927	0.0007952575817250292	0.014955798723760566	True	Q6ZNJ1;Q6ZNJ1-2;Q6ZNJ1-3	118	118	1.0	14.3254899978638	3.522205822140609e-05	0.0011215653146007289	True	False	False	False	True
MARCKS	M05	-1	True	8	16	1.0	1.0	18.46008408329336	17.76689716597297	-0.6931869173203893	-1.210834273252352	0.1484375	19.0	0.004508675393047449	-1.2458938715351333	-2.2560781537106935	-0.23570958935957287	0.015636606767301605	0.0255640431096729	0.07286801120240248	True	P29966	118	118	1.0	16.477165222168	0.0007540645267235031	0.008758274052190195	True	False	True	True	True
ZG16	M02	1	True	8	15	1.0	0.9375	21.660360588949555	11.89800514171313	-9.762355447236425	-3.8625236212230263	0.0	0.0	4.0790187512492e-06	-8.560711924884659	-10.724758189409755	-6.396665660359563	8.947377471656688e-15	0.0002840205649017961	2.2897830179548075e-12	True	O60844	118	46	0.3898305084745763	15.6984701156616	0.3861626774776388	0.5455558464464748	False	False	False	False	False
TSPAN7	M04	-1	True	7	7	0.875	0.4375	13.004159700816489	10.526811351762449	-2.47734834905404	-0.5244565266451218	0.30612244897959184	15.0	0.25932400932400934	-0.40315649422311095	-2.232056870758303	1.425743882312081	0.6657067421235661	0.4497546667683994	0.8275111091657773	False		118	0	0.0				False	False	False	False	False
REG1A	M02	1	True	3	12	0.375	0.75	14.523132604029628	12.949071587856167	-1.5740610161734612	-0.6392751317428408	0.3611111111111111	13.0	0.5362637362637362	-0.3499086529661355	-2.887118183487841	2.18730087755557	0.7869292768954477	0.7057230769230769	0.9041001905521585	True	P05451	118	86	0.7288135593220338	15.32278966903685	0.5446621954678317	0.682996753077803	False	False	False	False	False
ABLIM2	M06	1	True	6	16	0.75	1.0	9.240357770345092	11.126328727805152	1.88597095746006	1.3934493070215253	0.8229166666666666	79.0	0.021336764370820098	1.8437270606442242	-0.4539843320862218	4.14143845337467	0.11578548403681287	0.08004327797035134	0.2888523326377354	True	D6RAL0;F5GYR0;Q6H8Q1;Q6H8Q1-2;Q6H8Q1-3;Q6H8Q1-4;Q6H8Q1-5;Q6H8Q1-6;Q6H8Q1-7;Q6H8Q1-8;Q6H8Q1-9	118	30	0.2542372881355932	11.87797975540165	0.14627199806971836	0.2876716464466217	False	False	False	False	False
ARL6IP1	M05	-1	True	8	15	1.0	0.9375	16.500483794965334	15.258607288121674	-1.24187650684366	-0.3823501873635882	0.30833333333333335	37.0	0.1492757702207157	-0.6384264495229193	-3.231027791547432	1.9541748925015936	0.6293514446390405	0.3105898832646362	0.8064905764184556	False		118	0	0.0				False	False	False	False	False
RAB11FIP3	M02	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
SMTN	M02	1	True	8	16	1.0	1.0	12.049323488838137	11.50960456590606	-0.539718922932078	-0.8615788748550053	0.3125	40.0	0.15312364457606076	-0.8325226420874877	-1.9434811559708831	0.27843587179590756	0.1419020567508974	0.3105898832646362	0.33292801200455147	True	A0A087X1R1;P53814;P53814-5;P53814-6	118	118	1.0	14.8289198875427	0.4205057132908453	0.57660777754676	True	False	False	False	False
