module	sample_id	n_tumour_spots	n_nonneoplastic_epithelial_spots	direction_oriented_tumour_minus_normal_median
M02	SN048_A121573_Rep1	595	988	0.09414240983476577
M03	SN048_A121573_Rep1	595	988	0.06016236719558875
M04	SN048_A121573_Rep1	595	988	-0.12085778202954009
M05	SN048_A121573_Rep1	595	988	-0.16172200302345116
M06	SN048_A121573_Rep1	595	988	0.04444476387606171
M09	SN048_A121573_Rep1	595	988	-0.3406994895817774
M10	SN048_A121573_Rep1	595	988	-0.13771428701847827
M02	SN048_A121573_Rep2	744	969	0.22332834541705118
M03	SN048_A121573_Rep2	744	969	0.17060829200833177
M04	SN048_A121573_Rep2	744	969	-0.2990545239969359
M05	SN048_A121573_Rep2	744	969	-0.3210021309718965
M06	SN048_A121573_Rep2	744	969	0.154807594072301
M09	SN048_A121573_Rep2	744	969	-0.47312153906476073
M10	SN048_A121573_Rep2	744	969	-0.29067161910644246
M02	SN123_A595688_Rep1	440	327	0.27899005675537786
M03	SN123_A595688_Rep1	440	327	0.2591906251397998
M04	SN123_A595688_Rep1	440	327	-0.3678457688430348
M05	SN123_A595688_Rep1	440	327	-0.3728548362646058
M06	SN123_A595688_Rep1	440	327	0.18995546925630696
M09	SN123_A595688_Rep1	440	327	-0.4211799699610424
M10	SN123_A595688_Rep1	440	327	-0.34242051340990703
M02	SN123_A938797_Rep1_X	339	138	0.2727082764315843
M03	SN123_A938797_Rep1_X	339	138	0.1768922629544172
M04	SN123_A938797_Rep1_X	339	138	-0.36756617192109203
M05	SN123_A938797_Rep1_X	339	138	-0.37630427924135723
M06	SN123_A938797_Rep1_X	339	138	0.19236038244550013
M09	SN123_A938797_Rep1_X	339	138	-0.409973004079073
M10	SN123_A938797_Rep1_X	339	138	-0.30457662240651784
M02	SN124_A595688_Rep2	209	56	0.13029492338395535
M03	SN124_A595688_Rep2	209	56	0.11705133383092715
M04	SN124_A595688_Rep2	209	56	-0.12215436655901198
M05	SN124_A595688_Rep2	209	56	-0.14044767092333274
M06	SN124_A595688_Rep2	209	56	0.12462913919397138
M09	SN124_A595688_Rep2	209	56	-0.15698526794268716
M10	SN124_A595688_Rep2	209	56	-0.0524757750889
M02	SN124_A938797_Rep2	346	60	0.1043455033677475
M03	SN124_A938797_Rep2	346	60	0.02546537905998822
M04	SN124_A938797_Rep2	346	60	-0.03457201246835462
M05	SN124_A938797_Rep2	346	60	-0.08935092175390291
M06	SN124_A938797_Rep2	346	60	0.023353615906821723
M09	SN124_A938797_Rep2	346	60	-0.30336640205646986
M10	SN124_A938797_Rep2	346	60	-0.004663407190135693
