module	dataset	species	model_system	comparison	unit_id	target_minus_reference	module_adenoma_direction_sign	module_reversal
M02	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO15T	0.058918977167156994	1	-0.058918977167156994
M02	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO19T	0.09623644013739863	1	-0.09623644013739863
M02	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO4T	-0.042313601944743665	1	0.042313601944743665
M02	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO7T	0.04988425894828569	1	-0.04988425894828569
M03	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO15T	0.050670374601517465	1	-0.050670374601517465
M03	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO19T	-0.00414560860065194	1	0.00414560860065194
M03	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO4T	0.058012566282325526	1	-0.058012566282325526
M03	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO7T	0.02972453967608868	1	-0.02972453967608868
M04	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO15T	0.1994794446824621	-1	0.1994794446824621
M04	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO19T	0.10686745578452239	-1	0.10686745578452239
M04	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO4T	0.10716188600545065	-1	0.10716188600545065
M04	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO7T	0.14968238003901244	-1	0.14968238003901244
M05	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO15T	0.16815792282873412	-1	0.16815792282873412
M05	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO19T	-0.014409685082013013	-1	-0.014409685082013013
M05	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO4T	0.12062732279166645	-1	0.12062732279166645
M05	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO7T	0.04590946121664047	-1	0.04590946121664047
M06	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO15T	-0.06790437641051394	1	0.06790437641051394
M06	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO19T	-0.01920675235000613	1	0.01920675235000613
M06	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO4T	-0.032869069212322216	1	0.032869069212322216
M06	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO7T	-0.01725340743656928	1	0.01725340743656928
M09	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO15T	0.4626831287173474	-1	0.4626831287173474
M09	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO19T	0.042287742433641196	-1	0.042287742433641196
M09	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO4T	0.19032476423713016	-1	0.19032476423713016
M09	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO7T	0.4622291260099254	-1	0.4622291260099254
M10	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO15T	0.3172320405155663	-1	0.3172320405155663
M10	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO19T	0.15408260243523741	-1	0.15408260243523741
M10	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO4T	0.1877607313342095	-1	0.1877607313342095
M10	GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	PTO7T	0.17766490871108934	-1	0.17766490871108934
M02	GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	PTO19T	-0.1432993315709793	1	0.1432993315709793
M03	GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	PTO19T	0.026516544599778147	1	-0.026516544599778147
M04	GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	PTO19T	-0.1110648740188458	-1	-0.1110648740188458
M05	GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	PTO19T	0.05786425382988214	-1	0.05786425382988214
M06	GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	PTO19T	-0.02799658711240438	1	0.02799658711240438
M09	GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	PTO19T	0.09345917817311855	-1	0.09345917817311855
M10	GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	PTO19T	-0.019376556613247664	-1	-0.019376556613247664
M02	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	shApc	-0.20980088256468774	1	0.20980088256468774
M03	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	shApc	0.0936732924784327	1	-0.0936732924784327
M04	GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	shApc	-0.07852089073755239	-1	-0.07852089073755239
