gene	protein_group_present	protein_accessions	n_samples	n_detected	detection_fraction	median_log2_intensity_detected	archival_group_kruskal_p	archival_group_kruskal_q_bh_candidates
ACADSB	True	P45954	118	118	1.0	15.4725399017334	0.021917269616024092	0.07463715581593498
ACSL5	True	Q9ULC5;Q9ULC5-3	118	118	1.0	17.07869052886965	0.014919391914479574	0.05802548409182643
ACTB	False		118	0	0.0			
ACTG1	True	P63261	118	118	1.0	25.10317516326905	0.027924293674287032	0.09089642532752616
ACTR2	True	P61160	118	118	1.0	17.6681146621704	0.2615832401353291	0.4110593773555171
ACTR3	True	P61158	118	118	1.0	18.5744695663452	0.00018779345500503607	0.0028526720069812625
ACYP2	True	P14621	118	106	0.8983050847457628	13.5297446250916	0.6053444389103987	0.7505281608888565
ADH5	True	P11766	118	118	1.0	16.4468107223511	0.8723422429029123	0.92759058495343
ADI1	True	Q9BV57;Q9BV57-2	118	63	0.5338983050847458	13.4034099578857	0.88625319685923	0.9370563389949087
AHCYL1	True	O43865	118	105	0.8898305084745762	13.3747501373291	0.34550208468301546	0.5032655936706938
AK2	True	F8W1A4;P54819;P54819-2;P54819-5	118	118	1.0	19.2389049530029	0.4298802894788968	0.5835396269947578
ALDH2	True	P05091	118	118	1.0	19.6802854537964	0.28696419010291846	0.43591226972776664
ANKRD11	False		118	0	0.0			
ANXA2	True	P07355	118	118	1.0	21.84371471405025	0.36424600768208343	0.5187253412972528
APH1A	False		118	0	0.0			
ARF1	True	P61204;P84077	118	118	1.0	19.12524032592775	0.01766656364677756	0.06404129321956865
ARF3	True	P61204;P84077	118	118	1.0	19.12524032592775	0.01766656364677756	0.06404129321956865
ARID1B	True	Q8NFD5;Q8NFD5-2;Q8NFD5-3	118	117	0.9915254237288136	13.4460601806641	0.0023734927418655313	0.016459656188154446
ARL1	True	F8VYN9;P40616;P40616-2	118	118	1.0	15.8787651062012	0.4478695299101422	0.6036103467409379
ARPC2	True	O15144	118	118	1.0	16.848450660705602	0.013048106256538227	0.05336340892097044
ARPP19	True	H3BMD8;P56211;P56211-2	118	73	0.6186440677966102	14.2675895690918	0.004899760854734832	0.026749260313112797
ASH1L	False		118	0	0.0			
ATG7	True	O95352	118	117	0.9915254237288136	13.5695896148682	0.0702786934336861	0.16484487650989607
ATP13A1	True	Q9HD20	118	118	1.0	15.04536962509155	0.0012858749574528197	0.010596971120167794
ATP13A2	False		118	0	0.0			
ATP1A1	True	P05023;P05023-4	118	118	1.0	20.7655401229858	0.03574621547398215	0.10461507097431473
ATP6AP2	True	A0A1B0GUT7;A0A1B0GVB9;A0A1B0GVW0;A0A1C7CYW4;B7Z1I9;O75787;O75787-2	118	79	0.6694915254237288	13.2480497360229	0.8579988657138113	0.9215543372481677
ATP6V1E1	True	P36543	118	118	1.0	15.455174922943101	0.07449082144625893	0.16829384731915353
ATR	False		118	0	0.0			
ATXN2	True	F8VQP2;F8WB06;H0YH87;Q99700;Q99700-2;Q99700-4;Q99700-5;V9GY86	118	118	1.0	13.89878034591675	0.08731247639310717	0.1907717806123369
ATXN7L1	False		118	0	0.0			
ATXN7L3B	True	Q96GX2	118	47	0.3983050847457627	14.718879699707	0.27207848769423554	0.4213254251187434
B2M	True	H0YLF3	118	118	1.0	17.9693555831909	0.0008100570373273481	0.0076002410266889425
BCAS3	True	K7ESE9;Q9H6U6;Q9H6U6-2;Q9H6U6-6	118	40	0.3389830508474576	15.2072749137878	0.7223228343441772	0.8351050440395765
BCL2L12	False		118	0	0.0			
BDP1	False		118	0	0.0			
BMPR2	False		118	0	0.0			
BRPF3	False		118	0	0.0			
BTBD9	False		118	0	0.0			
C1D	False		118	0	0.0			
C2orf69	False		118	0	0.0			
CALM1	True	H0Y7A7;P0DP23;P0DP24;P0DP25	118	118	1.0	19.84436511993405	0.8416854307157293	0.9149597018006479
CALM2	True	H0Y7A7;P0DP23;P0DP24;P0DP25	118	118	1.0	19.84436511993405	0.8416854307157293	0.9149597018006479
CAMSAP3	True	Q9P1Y5	118	117	0.9915254237288136	14.1568698883057	0.7777321115614697	0.870514188028452
CAPG	True	P40121	118	118	1.0	17.89481449127195	0.8102738080764191	0.8943852760428295
CARHSP1	True	Q9Y2V2	118	118	1.0	16.8631649017334	0.08150111455965633	0.17930245203124395
CBX7	False		118	0	0.0			
CCDC125	False		118	0	0.0			
CD151	True	E9PMR4;P48509	118	118	1.0	15.180319786071799	3.930789953275251e-05	0.0008910558465293276
CD59	True	E9PNW4;E9PR17;P13987	118	118	1.0	15.24546480178835	0.05005348346232154	0.13080031958970434
CD81	True	A6NMH8;E9PIF1;E9PJK1;E9PRJ8;H0YDJ9;H0YDL9;P60033	118	17	0.1440677966101695	15.3297901153564	0.6246347280002755	0.76344244533367
CD9	True	A6NNI4;G8JLH6;P21926	118	118	1.0	16.2609453201294	0.2437224242043591	0.3906907202069877
CDC34	False		118	0	0.0			
CDC42BPB	True	Q9Y5S2	118	118	1.0	14.246250152587901	0.014449402157901428	0.05691347764890271
