gene	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group
ACADSB	True	False	True	False
ACSL5	True	False	False	False
ACTB	True	False	False	False
ACTG1	True	False	False	False
ACTR2	True	False	False	False
ACTR3	True	False	False	False
ACYP2	False	False	False	False
ADH5	True	False	False	False
ADI1	False	False	False	False
AHCYL1	True	False	True	False
AK2	True	False	False	False
ALDH2	True	False	False	False
ANKRD11	False	False	False	False
ANXA2	True	False	False	False
APH1A	False	False	False	False
ARF1	True	False	False	False
ARF3	False	False	False	False
ARID1B	True	False	False	False
ARL1	False	False	False	False
ARPC2	True	False	False	False
ARPP19	False	False	False	False
ASH1L	False	False	False	False
ATG7	False	False	False	False
ATP13A1	True	False	False	False
ATP13A2	False	False	False	False
ATP1A1	True	False	False	False
ATP6AP2	False	False	False	False
ATP6V1E1	True	False	False	False
ATR	False	False	False	False
ATXN2	True	False	False	False
ATXN7L1	False	False	False	False
ATXN7L3B	False	False	False	False
B2M	True	False	False	False
BCAS3	False	False	False	False
BCL2L12	False	False	False	False
BDP1	False	False	False	False
BMPR2	False	False	False	False
BRPF3	False	False	False	False
BTBD9	False	False	False	False
C1D	False	False	False	False
C2orf69	False	False	False	False
CALM1	True	False	False	False
CALM2	True	False	False	False
CAMSAP3	True	False	False	False
CAPG	True	False	False	False
CARHSP1	True	False	False	False
CBX7	False	False	False	False
CCDC125	False	False	False	False
CD151	False	False	False	False
CD59	False	False	False	False
CD81	False	False	False	False
CD9	True	False	False	True
CDC34	False	False	False	False
CDC42BPB	True	False	False	False
CDC42EP1	False	False	False	False
CDK5RAP3	True	False	False	False
CDX2	True	False	False	False
CHD6	False	False	False	False
CHID1	True	True	True	False
CHP1	True	False	True	False
CIC	False	False	False	False
CIZ1	True	False	False	False
CLASP1	False	False	False	False
CLTC	True	False	False	False
CMAS	True	False	False	False
CNDP2	True	False	False	True
CNOT7	False	False	False	False
COA3	True	False	False	False
COMMD1	False	False	False	False
COPS5	True	False	True	False
COPZ1	True	False	False	False
COX14	False	False	False	False
COX5A	True	False	False	False
COX6C	False	False	False	False
COX7A2	True	False	False	False
COX7B	False	False	False	False
COX7C	False	False	False	False
CPNE3	True	False	False	False
CRTC1	False	False	False	False
CSDE1	True	False	False	False
CSNK1G2	False	False	False	False
CTBP2	True	False	False	False
CTSB	True	False	False	True
CUX1	True	False	False	False
CWC15	True	False	False	False
DBI	True	False	False	False
DDR1	True	False	False	False
DDRGK1	True	False	False	False
DDX5	True	False	False	True
DECR1	True	False	False	False
DENND4C	True	False	False	False
DLD	True	False	False	False
DNAJC4	False	False	False	False
DNAJC7	True	False	False	False
DNAJC8	True	False	False	False
DOCK1	True	False	False	False
DSG2	True	False	False	False
DSTN	True	False	False	False
DUSP11	False	False	False	False
DYNLL1	True	False	False	False
DYNLL2	False	False	False	False
DYNLT1	False	False	False	False
EBAG9	False	False	False	False
ECHS1	True	False	True	False
EEF2	True	False	False	False
EIF1	True	False	False	False
EIF3D	True	False	False	False
EIF3G	True	False	False	False
EIF4A2	True	False	False	True
EIF4G2	True	False	False	False
ELMOD3	False	False	False	False
EMC10	False	False	False	False
EPB41L1	True	False	False	False
EPCAM	True	False	False	False
EPHX1	True	False	False	False
ERP44	True	False	False	False
ESYT1	True	False	False	False
EXD3	False	False	False	False
FAM162A	True	False	False	False
FANCC	False	False	False	False
FARSA	True	False	False	False
FBXO7	True	False	False	False
FH	True	False	False	False
FOXP4	False	False	False	False
FZR1	False	False	False	False
GABARAPL2	False	False	False	False
GDI2	True	False	False	False
GHITM	True	False	True	False
GLO1	True	False	False	False
GLRX5	True	False	False	False
GLT8D2	False	False	False	False
GNAI3	True	False	False	False
GNG5	False	False	False	False
GNL1	True	False	False	False
GPA33	True	False	False	False
GPATCH8	True	False	False	False
GPR35	False	False	False	False
GRSF1	True	False	False	False
GTF2F1	True	False	False	True
GTF2I	True	False	False	True
GUCD1	False	False	False	False
HADH	True	False	True	False
HADHB	True	False	False	False
HDDC2	True	False	False	False
HECTD4	False	False	False	False
HEXA	True	False	False	False
HINT1	True	False	False	False
HMGA1	True	False	True	False
HNRNPF	True	False	False	False
HNRNPK	True	False	False	False
HS3ST4	False	False	False	False
HSBP1	True	False	False	False
HSP90B1	True	False	False	False
HSPA5	True	False	False	False
HTATSF1	True	True	False	False
