gene	sample_id	n_tumour_spots	n_nonneoplastic_epithelial_spots	tumour_minus_nonneoplastic_median
ACADSB	SN048_A121573_Rep1	595	988	0.0
ACSL5	SN048_A121573_Rep1	595	988	-0.5238233960707204
ACTB	SN048_A121573_Rep1	595	988	0.053978607745154505
ACTG1	SN048_A121573_Rep1	595	988	0.2973135722417304
ACTR2	SN048_A121573_Rep1	595	988	0.05191013225992691
ACTR3	SN048_A121573_Rep1	595	988	0.20073166608088844
ACYP2	SN048_A121573_Rep1	595	988	0.0
ADH5	SN048_A121573_Rep1	595	988	-0.25357941587527577
ADI1	SN048_A121573_Rep1	595	988	-0.07946579837805068
AHCYL1	SN048_A121573_Rep1	595	988	-0.24247565595380305
AK2	SN048_A121573_Rep1	595	988	-0.06532919721654995
ALDH2	SN048_A121573_Rep1	595	988	-0.10088760038955158
ANKRD11	SN048_A121573_Rep1	595	988	5.788300676140446
ANXA2	SN048_A121573_Rep1	595	988	-0.2964718653186722
APH1A	SN048_A121573_Rep1	595	988	0.05299234869651226
ARF1	SN048_A121573_Rep1	595	988	0.11070048124252096
ARF3	SN048_A121573_Rep1	595	988	-0.34934919351096916
ARID1B	SN048_A121573_Rep1	595	988	5.3819768866560596
ARL1	SN048_A121573_Rep1	595	988	0.06647110759652719
ARPC2	SN048_A121573_Rep1	595	988	0.30291860482476896
ARPP19	SN048_A121573_Rep1	595	988	0.3454068858348762
ASH1L	SN048_A121573_Rep1	595	988	0.0
ATG7	SN048_A121573_Rep1	595	988	0.0
ATP13A1	SN048_A121573_Rep1	595	988	5.788300676140446
ATP13A2	SN048_A121573_Rep1	595	988	0.0
ATP1A1	SN048_A121573_Rep1	595	988	-0.6287497370491746
ATP6AP2	SN048_A121573_Rep1	595	988	0.7008462155443738
ATP6V1E1	SN048_A121573_Rep1	595	988	-0.2464370048472473
ATR	SN048_A121573_Rep1	595	988	0.0
ATXN2	SN048_A121573_Rep1	595	988	0.0
ATXN7L1	SN048_A121573_Rep1	595	988	0.0
ATXN7L3B	SN048_A121573_Rep1	595	988	0.0
B2M	SN048_A121573_Rep1	595	988	-0.7727897395908077
BCAS3	SN048_A121573_Rep1	595	988	0.0
BCL2L12	SN048_A121573_Rep1	595	988	0.0
BDP1	SN048_A121573_Rep1	595	988	0.0
BMPR2	SN048_A121573_Rep1	595	988	0.0
BRPF3	SN048_A121573_Rep1	595	988	5.484503545989343
BTBD9	SN048_A121573_Rep1	595	988	0.0
C1D	SN048_A121573_Rep1	595	988	0.0
C2orf69	SN048_A121573_Rep1	595	988	0.0
CALM1	SN048_A121573_Rep1	595	988	0.1336301696199662
CALM2	SN048_A121573_Rep1	595	988	-0.2663323297488631
