gene	module	module_color	module_numeric	strict_state_shared	programme_direction	discovery_common_z	heldout_common_z	heldout_common_fdr	kme_discovery_ABS	abs_kme_discovery_ABS	kme_heldout_ABS	abs_kme_heldout_ABS	kme_discovery_GOB	abs_kme_discovery_GOB	kme_heldout_GOB	abs_kme_heldout_GOB	kme_discovery_TAC	abs_kme_discovery_TAC	kme_heldout_TAC	abs_kme_heldout_TAC	module_size	observed_kme_states_0.70	bootstrap_kme_states_ci_low_gt_0.40	minimum_bootstrap_kme_ci_low	discovery_detection_fraction	heldout_detection_fraction	external_cohorts_measurable	ffpe_measurable	protein_coding	heldout_gene_direction_concordant	kme_gate_pass	detection_gate_pass	heldout_gene_gate_pass	platform_gate_pass	pre_orthogonal_gate_pass	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	protein_group_present	protein_accessions	n_samples	n_detected	detection_fraction	median_log2_intensity_detected	archival_group_kruskal_p	archival_group_kruskal_q_bh_candidates	detected_in_nine_patient_dvp	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	n_informative_sections	median_direction_oriented_difference	direction_concordant_fraction	p_paired_wilcoxon	spatial_directional_support	protein_directional_support	orthogonal_evidence_count	orthogonal_gate_pass	pareto_non_dominated	priority_role	final_status	regulatory_evidence	proposed_intervention	expression_activity_direction_consistent
S100A11	M02	blue	2.0	True	up	5.31853183212984	7.13038224173192	6.35843255059333e-11	0.740377499082188	0.740377499082188	0.458143950624334	0.458143950624334	0.799803958107164	0.799803958107164	0.641676449934041	0.641676449934041	0.797230290688539	0.797230290688539	0.572557704252133	0.572557704252133	2184.0	3.0	3.0	0.509901292117223	1.0	1.0	5.0	True	True	True	True	True	True	True	True	1.0	True	8.0	16.0	1.0	1.0	20.927784816390123	21.863267958836328	0.9354831424462056	2.7688623135492807	0.96875	124.0	3.26321500099936e-05	1.1112919987275123	0.6660587160856775	1.556525281369347	9.980382704396462e-07	0.00047316617514490717	1.6779324706757277e-05	True	P31949	118.0	118.0	1.0	20.534415245056152	0.04011970803661322	0.11426952556856802	True	False	False	False	6.0	1.4119354504506765	1.0	0.03125	True	True	2.0	True	True	measurement_sentinel	exploratory_only			
CUX1	M03	brown	3.0	True	up	6.36591369548699	6.15020201459436	2.38064241397845e-08	0.825254071565966	0.825254071565966	0.619358961750717	0.619358961750717	0.690529568064539	0.690529568064539	0.490189612462361	0.490189612462361	0.707967589547115	0.707967589547115	0.753440616911402	0.753440616911402	993.0	2.0	3.0	0.416572654937674	1.0	1.0	5.0	True	True	True	True	True	True	True	True	1.0	True	8.0	16.0	1.0	1.0	11.505675239805662	12.74973002385743	1.2440547840517677	1.0793586960728885	0.7734375	99.0	0.032428199072431135	0.9359686568250954	-0.4411614276137953	2.3130987412639863	0.18282974660002194	0.08956359743814314	0.37701537808203284	True	Q13948-2	118.0	118.0	1.0	14.2388095855713	0.00404175447481421	0.02344217595392242	True	False	False	False	6.0	0.9609097892105427	1.0	0.03125	True	False	1.0	True	True	measurement_sentinel	exploratory_only			
GTF2I	M03	brown	3.0	True	up	5.67344937831633	5.55824173924086	5.18416773216687e-07	0.918629930897742	0.918629930897742	0.918411873455747	0.918411873455747	0.791771607628107	0.791771607628107	0.591615059391194	0.591615059391194	0.700092580096982	0.700092580096982	0.752207350820679	0.752207350820679	993.0	3.0	3.0	0.406729777234896	1.0	1.0	5.0	True	True	True	True	True	True	True	True	1.0	True	8.0	16.0	1.0	1.0	14.60409274319407	16.058759196875833	1.4546664536817637	2.8273513315592034	0.9921875	127.0	5.438691668332266e-06	1.2372299060288303	0.8321069022961887	1.642352909761472	2.1552232391861406e-09	0.00017206042732542074	8.944176442622483e-08	True	P78347;P78347-2;P78347-3;P78347-4	118.0	118.0	1.0	15.19628524780275	0.5461195310186893	0.7029856065625852	True	False	False	True	6.0	0.9861324283413686	1.0	0.03125	True	True	2.0	True	True	measurement_sentinel	exploratory_only			
UBAP2	M03	brown	3.0	True	up	4.23764089759592	7.35997536526578	1.36329456373392e-11	0.85878875262506	0.85878875262506	0.745820014165901	0.745820014165901	0.720661474147443	0.720661474147443	0.626228250455671	0.626228250455671	0.507627475743627	0.507627475743627	0.501693315615869	0.501693315615869	993.0	2.0	2.0	0.134910308726096	1.0	1.0	5.0	True	True	True	True	True	True	True	True	1.0	True	8.0	16.0	1.0	1.0	11.576903837260478	13.99647680960371	2.419572972343232	3.1406124813453222	0.984375	126.0	1.0877383336664531e-05	2.435119953655871	1.4785555017242458	3.391684405587496	6.054590589243989e-07	0.0002523552934106171	1.1824259268405909e-05	True	Q5T6F2	118.0	118.0	1.0	14.62113523483275	0.008246759115097183	0.039264420264417926	True	False	False	False	6.0	5.281307720116888	0.8333333333333334	0.0625	True	True	2.0	True	True	measurement_sentinel	exploratory_only			
COX7A2	M04	yellow	4.0	True	down	-4.26783076713623	-6.40413181126265	5.5750420256547706e-09	0.900745657424486	0.900745657424486	0.738781862992117	0.738781862992117	0.802758737872069	0.802758737872069	0.749382661837656	0.749382661837656	0.811279928570008	0.811279928570008	0.579330906449449	0.579330906449449	812.0	3.0	3.0	0.564690942407351	1.0	1.0	5.0	True	True	True	True	True	True	True	True	-1.0	True	8.0	16.0	1.0	1.0	20.254023359098674	19.314246026084106	-0.9397773330145682	-0.7427205608638237	0.2890625	37.0	0.10563842761985177	-1.5466696418836345	-3.011021406192726	-0.08231787757454323	0.038439003773093484	0.23120863403590197	0.11572990067106413	True	D6RGV5;D6RIE3;H0UI06;P14406	118.0	118.0	1.0	18.42063999176025	0.0037891900631807007	0.022384289447308213	True	False	False	False	6.0	-0.20788966522080088	0.16666666666666666	0.09375	False	True	1.0	True	True	measurement_sentinel	exploratory_only			
COX5A	M04	yellow	4.0	True	down	-11.1222545448637	-8.98248015261937	7.84816353460529e-17	0.835751542867791	0.835751542867791	0.840213935940451	0.840213935940451	0.656128177466648	0.656128177466648	0.867033476298906	0.867033476298906	0.851604395910905	0.851604395910905	0.805163926323364	0.805163926323364	812.0	2.0	2.0	0.283169570217892	1.0	1.0	5.0	True	True	True	True	True	True	True	True	-1.0	True	8.0	16.0	1.0	1.0	19.80218205735452	19.353227136127593	-0.44895492122692815	-0.6179972501843211	0.3125	40.0	0.15312364457606076	-0.3745464743954303	-1.1258929478553972	0.37679999906453665	0.3285480045592819	0.3059340659340659	0.5458112592175313	True	P20674	118.0	118.0	1.0	20.18767070770265	0.01445138460677467	0.05691347764890271	True	False	False	False	6.0	0.7979793929367318	1.0	0.03125	True	False	1.0	True	True	measurement_sentinel	exploratory_only			
CHP1	M04	yellow	4.0	True	down	-4.84666967941126	-8.2664226385109	2.33843904420074e-14	0.864842745628627	0.864842745628627	0.758121136987601	0.758121136987601	0.667552175492028	0.667552175492028	0.307699760314959	0.307699760314959	0.73007640029563	0.73007640029563	0.68695117067549	0.68695117067549	812.0	2.0	2.0	0.391743305701417	1.0	1.0	4.0	True	True	True	True	True	True	True	True	-1.0	True	8.0	15.0	1.0	0.9375	14.218313016648864	13.596007346906706	-0.6223056697421576	-0.955837464549509	0.2833333333333333	34.0	0.10055597025579527	-0.9815126560389604	-2.0241998019201324	0.0611744898422113	0.0650414907977296	0.22576437192914034	0.16870136675661113	True	Q99653	118.0	118.0	1.0	14.471199989318851	0.36615890137428875	0.5191319535039916	True	False	True	False	6.0	1.0374164555312917	1.0	0.03125	True	True	2.0	True	True	measurement_sentinel	exploratory_only			
CLTC	M05	green	5.0	True	down	-5.57484087004887	-6.91523625715364	2.35695363206007e-10	0.90498644857154	0.90498644857154	0.854195728235194	0.854195728235194	0.874542723690151	0.874542723690151	0.634432541812377	0.634432541812377	0.821862714353897	0.821862714353897	0.883710139095843	0.883710139095843	512.0	3.0	3.0	0.517754829177871	1.0	1.0	5.0	True	True	True	True	True	True	True	True	-1.0	True	8.0	16.0	1.0	1.0	17.472358189765973	18.305107883587716	0.8327496938217429	2.117617269134013	0.921875	118.0	0.0003698310334465941	0.8665482697440765	0.4190142759699795	1.3140822635181735	0.00014762764262690227	0.0031390536497418234	0.00140035363863233	True	A0A087WVQ6;Q00610;Q00610-2	118.0	118.0	1.0	19.43133449554445	0.8567555288496034	0.9215543372481677	True	False	False	False	6.0	0.4302156223854414	1.0	0.03125	True	False	1.0	True	True	measurement_sentinel	exploratory_only			
SH3BGRL2	M05	green	5.0	True	down	-6.12480850857407	-7.43218194426034	9.26865200888491e-12	0.790638943848001	0.790638943848001	0.886660447443525	0.886660447443525	0.697686473612397	0.697686473612397	0.848109651919811	0.848109651919811	0.856583901209503	0.856583901209503	0.900917631392894	0.900917631392894	512.0	2.0	2.0	0.36144403303752	1.0	1.0	5.0	True	True	True	True	True	True	True	True	-1.0	True	8.0	16.0	1.0	1.0	15.557226049104168	15.52183248864292	-0.035393560461248086	-0.29818267757201355	0.4375	56.0	0.652906776745786	-0.4476175297421954	-1.5566214082189405	0.6613863487345497	0.42889549459003906	0.8028676971997651	0.6653892719808082	True	Q9UJC5	118.0	118.0	1.0	15.48454523086545	0.5130737922003015	0.6707809004585908	True	False	True	False	6.0	0.5323342910870825	1.0	0.03125	True	False	1.0	True	True	measurement_sentinel	exploratory_only			
TNRC18	M06	red	6.0	True	up	3.73685237792256	5.98514342106289	5.87121299936277e-08	0.847856812751865	0.847856812751865	0.883546349372634	0.883546349372634	0.834830962668493	0.834830962668493	0.70198713859672	0.70198713859672	0.888330275093563	0.888330275093563	0.852448987164387	0.852448987164387	231.0	3.0	3.0	0.571009304113673	1.0	1.0	4.0	True	True	True	True	True	True	True	True	1.0	True	1.0	12.0	0.125	0.75	4.433481102339849	7.199436871905531	2.7659557695656822		1.0	12.0	0.15384615384615385					0.3059340659340659		False		118.0	0.0	0.0				False	False	False	False	6.0	0.9356148827736979	1.0	0.03125	True	False	1.0	True	True	measurement_sentinel	exploratory_only			
