collection	gene_set	description	context	n_genes	direction	direction_sign	p_value	fdr	replicated	community_id	community_label
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	discovery_common	139	Down	-1	3.74407865405855e-06	3.74407865405855e-05	TRUE	1	HALLMARK_ADIPOGENESIS
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	heldout_GOB	130	Down	-1	5.25443249737096e-05	0.000630531899684515	TRUE	1	HALLMARK_ADIPOGENESIS
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	heldout_ABS	130	Down	-1	5.98455036465512e-09	9.57528058344819e-08	TRUE	1	HALLMARK_ADIPOGENESIS
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	discovery_TAC	139	Down	-1	0.000892921399360657	0.0111615174920082	TRUE	1	HALLMARK_ADIPOGENESIS
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	heldout_TAC	130	Down	-1	6.60173886375759e-07	7.9220866365091e-06	TRUE	1	HALLMARK_ADIPOGENESIS
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	discovery_ABS	139	Down	-1	8.31677379689126e-08	8.31677379689126e-07	TRUE	1	HALLMARK_ADIPOGENESIS
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	discovery_GOB	139	Down	-1	1.55130184837763e-05	0.000258550308062938	TRUE	1	HALLMARK_ADIPOGENESIS
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	heldout_common	130	Down	-1	4.1759852942336e-08	6.68157647077375e-07	TRUE	1	HALLMARK_ADIPOGENESIS
Hallmark 2026.1.Hs	HALLMARK_ALLOGRAFT_REJECTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ALLOGRAFT_REJECTION	discovery_TAC	63	Down	-1	0.769394352582179	0.870867888245225	FALSE	NA	NA
Hallmark 2026.1.Hs	HALLMARK_ALLOGRAFT_REJECTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ALLOGRAFT_REJECTION	discovery_GOB	63	Up	1	0.818404204119438	0.897926202638311	FALSE	NA	NA
