collection	gene_set	node_id	community_id	community_label
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	Hallmark 2026.1.Hs::HALLMARK_ADIPOGENESIS	1	HALLMARK_ADIPOGENESIS
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	Hallmark 2026.1.Hs::HALLMARK_BILE_ACID_METABOLISM	2	HALLMARK_BILE_ACID_METABOLISM
Hallmark 2026.1.Hs	HALLMARK_FATTY_ACID_METABOLISM	Hallmark 2026.1.Hs::HALLMARK_FATTY_ACID_METABOLISM	3	HALLMARK_FATTY_ACID_METABOLISM
Hallmark 2026.1.Hs	HALLMARK_HYPOXIA	Hallmark 2026.1.Hs::HALLMARK_HYPOXIA	4	HALLMARK_HYPOXIA
Hallmark 2026.1.Hs	HALLMARK_MTORC1_SIGNALING	Hallmark 2026.1.Hs::HALLMARK_MTORC1_SIGNALING	5	HALLMARK_MTORC1_SIGNALING
Hallmark 2026.1.Hs	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Hallmark 2026.1.Hs::HALLMARK_OXIDATIVE_PHOSPHORYLATION	6	HALLMARK_OXIDATIVE_PHOSPHORYLATION
Hallmark 2026.1.Hs	HALLMARK_PEROXISOME	Hallmark 2026.1.Hs::HALLMARK_PEROXISOME	2	HALLMARK_BILE_ACID_METABOLISM
Hallmark 2026.1.Hs	HALLMARK_XENOBIOTIC_METABOLISM	Hallmark 2026.1.Hs::HALLMARK_XENOBIOTIC_METABOLISM	7	HALLMARK_XENOBIOTIC_METABOLISM
Reactome 2026.1.Hs	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Reactome 2026.1.Hs::REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	6	HALLMARK_OXIDATIVE_PHOSPHORYLATION
Reactome 2026.1.Hs	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Reactome 2026.1.Hs::REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	8	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION
Reactome 2026.1.Hs	REACTOME_BIOLOGICAL_OXIDATIONS	Reactome 2026.1.Hs::REACTOME_BIOLOGICAL_OXIDATIONS	9	REACTOME_BIOLOGICAL_OXIDATIONS
Reactome 2026.1.Hs	REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	Reactome 2026.1.Hs::REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	10	REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION
Reactome 2026.1.Hs	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	Reactome 2026.1.Hs::REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	11	GOBP_TRICARBOXYLIC_ACID_CYCLE
Reactome 2026.1.Hs	REACTOME_COMPLEX_I_BIOGENESIS	Reactome 2026.1.Hs::REACTOME_COMPLEX_I_BIOGENESIS	12	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS
Reactome 2026.1.Hs	REACTOME_COMPLEX_IV_ASSEMBLY	Reactome 2026.1.Hs::REACTOME_COMPLEX_IV_ASSEMBLY	13	REACTOME_COMPLEX_IV_ASSEMBLY
Reactome 2026.1.Hs	REACTOME_CRISTAE_FORMATION	Reactome 2026.1.Hs::REACTOME_CRISTAE_FORMATION	14	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING
Reactome 2026.1.Hs	REACTOME_DENGUE_VIRUS_GENOME_TRANSLATION_AND_REPLICATION	Reactome 2026.1.Hs::REACTOME_DENGUE_VIRUS_GENOME_TRANSLATION_AND_REPLICATION	15	REACTOME_DENGUE_VIRUS_GENOME_TRANSLATION_AND_REPLICATION
Reactome 2026.1.Hs	REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	Reactome 2026.1.Hs::REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	10	REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION
Reactome 2026.1.Hs	REACTOME_FATTY_ACID_METABOLISM	Reactome 2026.1.Hs::REACTOME_FATTY_ACID_METABOLISM	16	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
