pert_id	pert_desc	hit__full_programme	best_q__full_programme	best_rank__full_programme	n_signatures__full_programme	hit__adenoma_up_arm	best_q__adenoma_up_arm	best_rank__adenoma_up_arm	n_signatures__adenoma_up_arm	hit__mature_function_loss_arm	best_q__mature_function_loss_arm	best_rank__mature_function_loss_arm	n_signatures__mature_function_loss_arm	dual_arm_recurrent_hit	n_supported_queries	supported_queries	n_supported_cell_lines	supported_cell_lines	ht29_support	best_q_any_query
BRD-A36630025	-666	True	0.0264667048712699	8.0	1	True	0.0386233905543328	1.0	2	False			0	False	2	full_programme,adenoma_up_arm	2	PC3,SW620	False	0.0264667048712699
BRD-K74148702	curcumin	True	0.0134664422959262	3.0	1	False	0.367565871006184	9.0	0	True	0.00160901906874229	15.0	1	False	2	full_programme,mature_function_loss_arm	1	HT29	True	0.00160901906874229
BRD-K53423944	6-[4-(3-chlorophenyl)piperazin-1-yl]-3-cyclohexylpyrimidine-2,4(1H,3H)-dione	True	0.058106121784828	6.0	1	False	0.895433336569442	25.0	0	True	0.0142227760656482	38.0	1	False	2	full_programme,mature_function_loss_arm	1	HT29	True	0.0142227760656482
BRD-K19216856	(-)-Gallocatechin gallate	True	0.000229881224630493	1.0	1	False	0.841443710370253	14.0	0	True	1.82161407002882e-05	1.0	1	False	2	full_programme,mature_function_loss_arm	1	A549	False	1.82161407002882e-05
BRD-K26304855	-666	True	0.0600631550899458	7.0	1	False			0	True	0.000787756380004938	11.0	1	False	2	full_programme,mature_function_loss_arm	1	VCAP	False	0.000787756380004938
BRD-K84203638	-666	True	0.0101201972656801	2.0	2	False	0.222271379913009	8.0	0	False			0	False	1	full_programme	2	A375,HT29	True	0.0101201972656801
BRD-K08554278	Hoechst  33342 (cell permeable) (BisBenzimide)	True	0.0264667048712699	13.0	1	False			0	False			0	False	1	full_programme	1	PC3	False	0.0264667048712699
BRD-A94377914	-666	False			0	False			0	True	0.00430720179162411	14.0	3	False	1	mature_function_loss_arm	3	A375,HT29,PC3	True	0.00430720179162411
BRD-K61662457	CAY10594	False			0	False			0	True	0.0104549079677261	33.0	2	False	1	mature_function_loss_arm	2	HT29,LOVO	True	0.0104549079677261
BRD-K68548958	-666	False			0	False			0	True	0.00175418069497548	13.0	2	False	1	mature_function_loss_arm	2	HCT116,SW620	False	0.00175418069497548
BRD-K04887706	Akti-1/2	False			0	False			0	True	0.00747615246826296	42.0	1	False	1	mature_function_loss_arm	1	HT29	True	0.00747615246826296
BRD-K56343971	PLX-4032	False			0	False			0	True	0.0236725592402101	45.0	1	False	1	mature_function_loss_arm	1	HT29	True	0.0236725592402101
BRD-K13800121	parecoxib na	False	0.616110644739712	31.0	0	False			0	True	2.4722343026426e-05	2.0	1	False	1	mature_function_loss_arm	1	VCAP	False	2.4722343026426e-05
BRD-K60070073	-666	False			0	False			0	True	3.00079211486882e-05	5.0	1	False	1	mature_function_loss_arm	1	VCAP	False	3.00079211486882e-05
BRD-K55216615	-666	False			0	False			0	True	0.0001139964998474	4.0	1	False	1	mature_function_loss_arm	1	PC3	False	0.0001139964998474
BRD-K87964538	-666	False	1.0	43.0	0	False			0	True	0.000159717877515759	8.0	1	False	1	mature_function_loss_arm	1	PC3	False	0.000159717877515759
BRD-K99451608	L469480	False	0.526720562725714	14.0	0	False			0	True	0.000177641778242761	3.0	1	False	1	mature_function_loss_arm	1	A549	False	0.000177641778242761
BRD-K97764662	P2499	False			0	False			0	True	0.000221092670991651	7.0	1	False	1	mature_function_loss_arm	1	VCAP	False	0.000221092670991651
