dataset	species	model_system	comparison	interpretation_role	n_units	mean_wnt_stem_suppression	wnt_stem_ci_low	wnt_stem_ci_high	mean_mature_function_restoration	mature_function_ci_low	mature_function_ci_high	mean_adenoma_up_arm_suppression	adenoma_up_arm_ci_low	adenoma_up_arm_ci_high	conservative_joint_reversal	quadrant
GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	causal or pathway perturbation	1	1.30344507895418	1.30344507895418	1.30344507895418	0.294773274342739	0.294773274342739	0.294773274342739	0.0634333018329092	0.0634333018329092	0.0634333018329092	0.294773274342739	both axes favourable
GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_WT	causal or pathway perturbation	3	1.20466319061559	0.581656531793899	1.85636916858501	0.190458543551367	-0.161789642016516	0.765484425236228	0.755719634853828	0.48513073040628	1.12687463935936	0.190458543551367	both axes favourable
GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	causal or pathway perturbation	4	0.150302462832072	-0.254025387692427	0.468175697881668	0.0150244808092666	-0.0520315400851485	0.0926863921867744	0.211518940109424	-0.0600824696838887	0.366474826673568	0.0150244808092666	both axes favourable
GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	causal or pathway perturbation	4	0.664480105415467	0.430126067966658	0.948039323352375	-0.0179924725404426	-0.0951724328839711	0.0531985972105172	0.127037576232856	-0.0268582371109453	0.280933389576658	-0.0179924725404426	WNT/stem only
GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	causal or pathway perturbation	3	-0.0455298373473932	-0.309464877907952	0.138489243201208	0.244558044071431	0.0903279340954345	0.43676844080666	0.033958978568501	-0.22607502823498	0.182485978398042	-0.0455298373473932	mature-function only
GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	causal or pathway perturbation	1	1.04193676824933	1.04193676824933	1.04193676824933	-0.0722056295333805	-0.0722056295333805	-0.0722056295333805	0.0805508341035497	0.0805508341035497	0.0805508341035497	-0.0722056295333805	WNT/stem only
GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	causal or pathway perturbation	1	0.454597447068943	0.454597447068943	0.454597447068943	-0.0894178730760591	-0.0894178730760591	-0.0894178730760591	-0.018173579860262	-0.018173579860262	-0.018173579860262	-0.0894178730760591	WNT/stem only
GSE67186	mouse	in_vivo_colon_polyp	doxycycline_control_shRenilla	control	1	-0.0965118700036549	-0.0965118700036549	-0.0965118700036549	-0.631496057112787	-0.631496057112787	-0.631496057112787	-0.180598822285447	-0.180598822285447	-0.180598822285447	-0.631496057112787	neither axis favourable
GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	dosage sensitivity	1	-0.689159375774902	-0.689159375774902	-0.689159375774902	0.0570913429741371	0.0570913429741371	0.0570913429741371	-0.0928760559935073	-0.0928760559935073	-0.0928760559935073	-0.689159375774902	mature-function only
GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	causal or pathway perturbation	4	-0.729624078464001	-0.944059888834006	-0.515188268093997	0.22654941097075	0.170736783855765	0.29536428172011	-0.0119147801169232	-0.0251130349238303	-0.000728473655478134	-0.729624078464001	mature-function only
GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	causal or pathway perturbation	1	1.65777750338916	1.65777750338916	1.65777750338916	-0.752310309374101	-0.752310309374101	-0.752310309374101	1.21146295083511	1.21146295083511	1.21146295083511	-0.752310309374101	WNT/stem only
