source	score__discovery_ABS	p_value__discovery_ABS	q_value__discovery_ABS	n_targets_measured__discovery_ABS	score__discovery_common	p_value__discovery_common	q_value__discovery_common	n_targets_measured__discovery_common	score__discovery_GOB	p_value__discovery_GOB	q_value__discovery_GOB	n_targets_measured__discovery_GOB	score__discovery_TAC	p_value__discovery_TAC	q_value__discovery_TAC	n_targets_measured__discovery_TAC	score__heldout_ABS	p_value__heldout_ABS	q_value__heldout_ABS	n_targets_measured__heldout_ABS	score__heldout_common	p_value__heldout_common	q_value__heldout_common	n_targets_measured__heldout_common	score__heldout_GOB	p_value__heldout_GOB	q_value__heldout_GOB	n_targets_measured__heldout_GOB	score__heldout_TAC	p_value__heldout_TAC	q_value__heldout_TAC	n_targets_measured__heldout_TAC	activity_direction	proposed_intervention	replicated	discovery_state_consistent	heldout_state_consistent	n_targets_universe	n_targets_programme	n_concordant_programme	signed_precision	n_concordant_up	n_concordant_down	balanced_concordant_count	up_arm_coverage	down_arm_coverage	balanced_arm_coverage	up_enrichment_odds_ratio	up_enrichment_p_value	down_enrichment_odds_ratio	down_enrichment_p_value	programme_target_enrichment_odds_ratio	programme_target_enrichment_p_value	up_enrichment_q_value	down_enrichment_q_value	programme_target_enrichment_q_value	mean_cpm_normal	mean_cpm_adenoma	fraction_adenoma_profiles_cpm_ge_1	absolute_discovery_score	absolute_heldout_score	pareto_replicated	single_gene_entity	priority_tier	direct_empirical_perturbation
FOXA2	-3.56936495831334	0.000359888963332399	0.018084420407453	37	-4.61315090702027	4.02613337894632e-06	0.000404626404584105	37	-4.75942674183407	1.97458974718987e-06	0.000396892539185164	37	-4.18678778301857	2.85881587503788e-05	0.00160925310578548	37	-4.9096007448904	9.32957485815105e-07	5.87763216063516e-05	34	-5.57645746746688	2.54474380721745e-08	4.80956579564098e-06	34	-4.78292340168549	1.76242332214704e-06	0.00033309800788579	34	-4.40639494721196	1.06647240830881e-05	0.00100781642585183	34	suppressed_in_adenoma	restore_or_activate	TRUE	TRUE	TRUE	37	15	12	0.8	0	12	0	0	0.0125130344108446	0	0	1	3.98670070318505	0.000381782570808218	2.37040431691985	0.0100776829049884	1	0.0191845741831129	0.199261197814907	27.6330536136575	32.1130337698226	0.972222222222222	4.61315090702027	5.57645746746688	TRUE	TRUE	B: replicated non-dominated node with a boundary	none in current perturbation collection
TP53	-2.40597663865704	0.0161512361431583	0.216426564318321	485	-2.15218659888373	0.0314116901000121	0.271489555165744	485	-1.16457347720335	0.244225485987322	0.639715050445495	485	-1.08921774466743	0.276089810740684	0.56610789618122	485	-2.22793914386495	0.0259157237039026	0.159116979222333	443	-0.916200211270213	0.359592955086034	0.733211337372672	443	-0.257246549929522	0.79699589208553	0.952557893828324	443	-0.00732098954989061	0.994158952952936	0.994158952952936	443	suppressed_in_adenoma	restore_or_activate	FALSE	TRUE	TRUE	485	123	75	0.609756097560976	14	61	14	0.0158371040723982	0.0636079249217935	0.0158371040723982	1.60113955100058	0.0799837485446327	1.39579803020532	0.0143710424113453	1.18844528563407	0.0625079934524755	1	0.150886028498891	0.44916157670679	49.9076680005308	55.0018694792534	1	2.15218659888373	0.916200211270213	FALSE	TRUE	not replicated	none in current perturbation collection
CTNNB1	0.540187796504508	0.589082164004783	0.852982909483213	125	1.94268496910709	0.0520883407315485	0.337734080227137	125	2.60052822556929	0.00932470049312042	0.156188733259767	125	1.8532911304871	0.0638764550496535	0.313751239765573	125	2.04707288149968	0.040687593975362	0.192248881533585	116	2.3237352058266	0.0201677273321089	0.220710270496676	116	2.40240720660934	0.016313034653223	0.237166426881473	116	1.99763872640289	0.0457938590098725	0.31701059804514	116	activated_in_adenoma	inhibit	FALSE	TRUE	TRUE	125	38	24	0.631578947368421	16	8	8	0.0180995475113122	0.00834202294056309	0.00834202294056309	1.63076131084353	0.0577989838663387	3.20602557175907	0.00969833067157561	1.52223560999716	0.0229418666753727	1	0.124293582402262	0.271253835397053	71.1855795374301	69.8081636872045	1	1.94268496910709	2.3237352058266	FALSE	TRUE	not replicated	none in current perturbation collection
MYC	-8.74943850060434	2.57156859305484e-18	5.16885287204022e-16	509	-5.32316232470413	1.04671607211309e-07	2.10389930494732e-05	509	0.726091709390055	0.467803226770853	0.795058627202415	509	-4.97814270587975	6.55024127712199e-07	6.5829924835076e-05	509	-0.694525734931422	0.48737525130536	0.710433235478968	457	-0.540418879854206	0.588925110845418	0.862843767052589	457	4.40238954143034	1.0863036966124e-05	0.000684371328865813	457	-5.98065737460259	2.33002199955671e-09	4.40374157916219e-07	457	suppressed_in_adenoma	restore_or_activate	FALSE	FALSE	FALSE	509	131	87	0.66412213740458	6	81	6	0.00678733031674208	0.0844629822732012	0.00678733031674208	1.31256105451783	0.333883010861565	1.65229991719188	0.000104761952902927	1.21457366125266	0.0375005692810607	1	0.0188349882299703	0.351677396218751	10.1843073101558	7.92506109383073	0.916666666666667	5.32316232470413	0.540418879854206	FALSE	TRUE	not replicated	none in current perturbation collection
CUX1	1.47086213452566	0.141366686922338	0.517191170887769	49	1.84693600145908	0.0647923372759234	0.361757216457239	49	1.72783299693715	0.0840557328810945	0.395317688948038	49	1.43408847591404	0.151585059363272	0.4261742638844	49	3.21062674034904	0.00133034673443282	0.0279372814230892	47	2.22031936884132	0.0264284908021183	0.237856417219064	47	1.92983466824783	0.0536670444543057	0.327195851673025	47	0.525095756883708	0.5995329915461	0.827296808094552	47	activated_in_adenoma	inhibit	FALSE	TRUE	TRUE	49	13	12	0.923076923076923	7	5	5	0.00791855203619909	0.00521376433785193	0.00521376433785193	1.88085241052292	0.107273113033498	6.33482352222747	0.0053956215339965	1.25142080036223	0.293617571627179	1	0.0985927207575724	0.703128685096149	264.765150457839	368.666712128193	1	1.84693600145908	2.22031936884132	FALSE	TRUE	not replicated	none in current perturbation collection
RELA	0.339656837808848	0.734123648447647	0.918064342114616	191	1.16373799745468	0.244563987473024	0.614532286909329	191	0.702166593592697	0.482595160112839	0.795058627202415	191	2.19750071233478	0.0280125049980571	0.208537537207758	191	-0.174245175138873	0.861677742704091	0.968079262107366	174	-0.00433196801584967	0.996543721893864	0.996543721893864	174	-0.372420955727317	0.709590549255733	0.924793997023162	174	0.969783803002248	0.332187242130256	0.675090201748584	174	activated_in_adenoma	inhibit	FALSE	TRUE	FALSE	191	45	28	0.622222222222222	23	5	5	0.0260180995475113	0.00521376433785193	0.00521376433785193	1.32491753550005	0.13337460023207	2.1090045952803	0.121759288321106	1.06830981904731	0.378631340659914	1	0.429361700921793	0.72480856640612	16.7456330766875	19.0149069300803	1	1.16373799745468	0.00433196801584967	FALSE	TRUE	not replicated	none in current perturbation collection
SP1	-3.60466039088552	0.000314411380812588	0.018084420407453	536	-2.28822927094809	0.0221494402492924	0.234317762637251	536	-1.75774295980089	0.0788284761878256	0.395317688948038	536	-0.248668781604135	0.803623212135006	0.922471668271886	536	-5.16712581366063	2.44187637692707e-07	4.61514635239217e-05	481	-3.696872885908	0.000219913532785934	0.0103909144241354	481	-1.80562224591559	0.0710196262817783	0.372853037979336	481	-1.98696536324091	0.0469645330437244	0.31701059804514	481	suppressed_in_adenoma	restore_or_activate	FALSE	TRUE	TRUE	536	143	87	0.608391608391608	4	83	4	0.00452488687782805	0.086548488008342	0.00452488687782805	2.56042358734439	0.101703407652955	1.48329951245511	0.00141644316289133	1.28098722514819	0.00923235131606111	1	0.0355881344676446	0.199261197814907	44.510095607288	42.8278357107584	1	2.28822927094809	3.696872885908	FALSE	TRUE	not replicated	none in current perturbation collection
TCF7L2	0.437932204548011	0.661446937820307	0.910622154122478	44	1.28422085724699	0.199100887023737	0.600206516134143	44	1.91179491972862	0.0559372387858123	0.347666992789346	44	1.22902906128702	0.21909609605238	0.50228641135135	44	1.43658820489582	0.15087901742361	0.404159916443095	42	0.894196908917745	0.37124680039894	0.733211337372672	42	1.02334630697167	0.306178937962471	0.684710268433644	42	0.254883491331898	0.798820455937952	0.920591866904103	42	activated_in_adenoma	inhibit	FALSE	TRUE	TRUE	44	20	11	0.55	7	4	4	0.00791855203619909	0.00417101147028154	0.00417101147028154	2.1607171723054	0.0661274519143533	5.06365102834226	0.0216753185477617	2.90386858988208	0.000579683682306244	1	0.162097419692882	0.116516420143555	370.903314267264	403.337683375641	1	1.28422085724699	0.894196908917745	FALSE	TRUE	not replicated	TCF7L2-edited resource available
NR3C1	-0.743727480171058	0.457062620870651	0.817687964618293	97	-1.38952012578625	0.164712283949403	0.552439025224644	97	-2.34055281905399	0.0192790018819655	0.192758226402874	97	-0.461757197365233	0.644267669604356	0.873592573875654	97	-3.06632758559767	0.00217519189789979	0.0373737517002781	84	-3.13733652917321	0.00171186426576383	0.0462203351756234	84	-2.61423327386736	0.00896164628553286	0.141145928997142	84	-1.61557433998383	0.106230725328105	0.466921095046785	84	suppressed_in_adenoma	restore_or_activate	FALSE	TRUE	TRUE	97	20	13	0.65	3	10	3	0.00339366515837104	0.0104275286757039	0.00339366515837104	1.5579921716945	0.335351954802617	1.11475070046298	0.426272594965446	0.8977757877396	0.703355183588829	1	0.787845050814278	0.86203897500826	19.9500543663377	20.7291147482684	1	1.38952012578625	3.13733652917321	FALSE	TRUE	not replicated	none in current perturbation collection
ESR1	-0.448418732671582	0.653862845615198	0.906389185990723	277	0.258689576326041	0.79588124064867	0.946580647162028	277	-0.687944326055022	0.491507255724423	0.795058627202415	277	1.37010567759799	0.170691339236433	0.451165961302794	277	-1.60179398050368	0.109245579606024	0.389573859349785	252	-1.29666417804186	0.194788822113939	0.622239512742934	252	-1.49132372933339	0.135920866601866	0.576852839192031	252	-0.159091704613692	0.8736011404953	0.938457993100052	252	activated_in_adenoma	inhibit	FALSE	FALSE	TRUE	277	65	31	0.476923076923077	28	3	3	0.0316742081447964	0.00312825860271116	0.00312825860271116	0.997312894187779	0.535851272697299	1.74968832966007	0.28448371232797	1.06328293998897	0.358342432015864	1	0.672720307975552	0.720985718285065	3.59927098325521	3.56230094703252	0.833333333333333	0.258689576326041	1.29666417804186	FALSE	TRUE	not replicated	none in current perturbation collection
