collection	from	to	jaccard
GO:BP 2026.1.Hs	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_OXIDATIVE_PHOSPHORYLATION	0.680672268907563
GO:BP 2026.1.Hs	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	0.401869158878505
GO:BP 2026.1.Hs	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_ELECTRON_TRANSPORT_CHAIN	0.835051546391753
GO:BP 2026.1.Hs	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	0.376712328767123
GO:BP 2026.1.Hs	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	0.555555555555556
GO:BP 2026.1.Hs	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_ATP_BIOSYNTHETIC_PROCESS	0.341269841269841
GO:BP 2026.1.Hs	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_CELLULAR_RESPIRATION	0.346153846153846
GO:BP 2026.1.Hs	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	0.263843648208469
GO:BP 2026.1.Hs	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	0.304964539007092
GO:BP 2026.1.Hs	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	0.259036144578313
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	0.516129032258065
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_ELECTRON_TRANSPORT_CHAIN	0.6
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	0.414201183431953
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	0.378151260504202
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_ATP_BIOSYNTHETIC_PROCESS	0.468085106382979
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_CELLULAR_RESPIRATION	0.508547008547009
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	0.387622149837134
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	0.423076923076923
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	0.364640883977901
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	0.291845493562232
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_ATP_METABOLIC_PROCESS	0.32093023255814
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	0.326829268292683
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	0.25
GO:BP 2026.1.Hs	GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	0.288065843621399
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_ELECTRON_TRANSPORT_CHAIN	0.349593495934959
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	0.41044776119403
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	0.5
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_ATP_BIOSYNTHETIC_PROCESS	0.784090909090909
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_CELLULAR_RESPIRATION	0.267782426778243
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	0.669902912621359
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	0.5390625
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	0.379120879120879
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_ATP_METABOLIC_PROCESS	0.418181818181818
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	0.450980392156863
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	0.312217194570136
GO:BP 2026.1.Hs	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	0.355670103092784
GO:BP 2026.1.Hs	GOBP_ELECTRON_TRANSPORT_CHAIN	GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	0.339506172839506
