gene	arm	selected_folds	selection_frequency_donor_heldout	selected_bootstraps	selection_frequency_donor_bootstrap
ACAA2	down	19	0.703703703703704	568	0.284
AGR2	down	0	0	NA	NA
AQP8	down	0	0	1	5e-04
ASCL2	up	0	0	108	0.054
AXIN2	up	0	0	8	0.004
B2M	down	24	0.888888888888889	1186	0.593
BSG	down	0	0	NA	NA
C15orf48	down	0	0	3	0.0015
CA2	down	0	0	NA	NA
CALM1	down	0	0	184	0.092
CALM2	down	27	1	1587	0.7935
CAMK2N1	down	0	0	2	0.001
CD9	down	11	0.407407407407407	1284	0.642
CHP2	down	0	0	4	0.002
COX5A	down	1	0.037037037037037	461	0.2305
COX6C	down	25	0.925925925925926	1498	0.749
CYCS	down	0	0	171	0.0855
EPHB2	up	27	1	1998	0.999
EPHB3	up	0	0	6	0.003
ETHE1	down	0	0	NA	NA
FABP1	down	0	0	6	0.003
FCGRT	down	0	0	NA	NA
GDF15	up	0	0	16	0.008
GUCA2A	down	0	0	NA	NA
HMGCS2	down	0	0	3	0.0015
HSPA1A	down	0	0	1	5e-04
ITM2C	down	0	0	NA	NA
L1TD1	up	0	0	250	0.125
LGALS3	down	0	0	23	0.0115
LGALS4	down	0	0	NA	NA
LRRC19	down	0	0	40	0.02
LTBP1	up	26	0.962962962962963	1599	0.7995
MT1G	down	0	0	NA	NA
MYL6	down	0	0	1	5e-04
NDRG1	down	0	0	8	0.004
NDUFA1	down	0	0	5	0.0025
OLFM4	up	0	0	12	0.006
PCK1	down	0	0	9	0.0045
PCNA	down	0	0	259	0.1295
PKIB	down	0	0	5	0.0025
PRDX6	down	0	0	156	0.078
REG1A	up	26	0.962962962962963	1500	0.75
REG4	up	6	0.222222222222222	367	0.1835
RNF43	up	23	0.851851851851852	1158	0.579
SLC26A2	down	0	0	NA	NA
SOX4	up	0	0	233	0.1165
SPINK4	up	0	0	590	0.295
SRI	down	0	0	40	0.02
TPT1	down	1	0.037037037037037	493	0.2465
TRIP6	up	0	0	106	0.053
TST	down	0	0	1	5e-04
UGT2A3	down	0	0	1	5e-04
ZNF703	up	0	0	49	0.0245
