pair_step	up_gene	down_gene	training_correlation
1	EPHB2	CALM2	0.907482061747532
2	REG1A	COX6C	0.932973768315786
3	LTBP1	B2M	0.949682324569095
4	RNF43	ACAA2	0.95841553823915
5	SPINK4	CD9	0.964750905933413
6	L1TD1	CALM1	0.964563987533975
7	TRIP6	TPT1	0.963991230541619
8	EPHB3	PCNA	0.962474949211777
9	SOX4	LRRC19	0.960162208932347
10	ASCL2	COX5A	0.956959324002842
11	OLFM4	CYCS	0.953177221649332
12	GDF15	NDUFA1	0.949628586389057
13	REG4	NDRG1	0.944180165100177
14	ZNF703	PRDX6	0.938074732323876
15	AXIN2	HMGCS2	0.930368660696848
