gene	platform	feature_present	eligibility_information
TIMP1	GSE8671	False	feature availability only
INPP5D	GSE8671	False	feature availability only
S100P	GSE8671	False	feature availability only
GALNT6	GSE8671	False	feature availability only
GRAMD1A	GSE8671	False	feature availability only
PVT1	GSE8671	False	feature availability only
LCN2	GSE8671	False	feature availability only
TBXAS1	GSE8671	False	feature availability only
GRIN2D	GSE8671	False	feature availability only
ARID3A	GSE8671	False	feature availability only
ASCL2	GSE8671	True	feature availability only
COX5A	GSE8671	True	feature availability only
PMEPA1	GSE8671	False	feature availability only
PLXNB1	GSE8671	False	feature availability only
C15orf48	GSE8671	True	feature availability only
UGT2A3	GSE8671	True	feature availability only
MAOA	GSE8671	False	feature availability only
IL1R2	GSE8671	False	feature availability only
ATP5MC3	GSE8671	False	feature availability only
SDHD	GSE8671	False	feature availability only
CADPS	GSE8671	False	feature availability only
SRI	GSE8671	True	feature availability only
CHP2	GSE8671	True	feature availability only
TMEM98	GSE8671	False	feature availability only
NOL3	GSE8671	False	feature availability only
LGALS3	GSE8671	True	feature availability only
AGBL4	GSE8671	False	feature availability only
HDAC7	GSE8671	False	feature availability only
IMPA2	GSE8671	False	feature availability only
PACS1	GSE8671	False	feature availability only
AXIN2	GSE8671	True	feature availability only
ARHGEF28	GSE8671	False	feature availability only
CD9	GSE8671	True	feature availability only
ZYX	GSE8671	False	feature availability only
RASAL1	GSE8671	False	feature availability only
GTF2IRD1	GSE8671	False	feature availability only
BACE2	GSE8671	False	feature availability only
OSBPL3	GSE8671	False	feature availability only
FAM162A	GSE8671	False	feature availability only
COX16	GSE8671	False	feature availability only
FTX	GSE8671	False	feature availability only
LIPG	GSE8671	False	feature availability only
FKBP1A	GSE8671	False	feature availability only
PITPNC1	GSE8671	False	feature availability only
HPGD	GSE8671	False	feature availability only
ARHGEF3	GSE8671	False	feature availability only
EDA	GSE8671	False	feature availability only
CIAO2A	GSE8671	False	feature availability only
NEBL	GSE8671	False	feature availability only
VWA1	GSE8671	False	feature availability only
LINC00963	GSE8671	False	feature availability only
MPC2	GSE8671	False	feature availability only
DHRS11	GSE8671	True	feature availability only
PCNX2	GSE8671	False	feature availability only
PCK1	GSE8671	True	feature availability only
RNF43	GSE8671	True	feature availability only
FZD5	GSE8671	False	feature availability only
MPC1	GSE8671	False	feature availability only
LRRC19	GSE8671	True	feature availability only
TPT1	GSE8671	True	feature availability only
HSPA1A	GSE8671	True	feature availability only
NBEAL2	GSE8671	False	feature availability only
MARCKS	GSE8671	False	feature availability only
ZG16	GSE8671	False	feature availability only
TSPAN7	GSE8671	False	feature availability only
ITGA6	GSE8671	False	feature availability only
REG1A	GSE8671	True	feature availability only
ABLIM2	GSE8671	False	feature availability only
ARL6IP1	GSE8671	False	feature availability only
RAB11FIP3	GSE8671	False	feature availability only
SMTN	GSE8671	False	feature availability only
CAMK2N1	GSE8671	True	feature availability only
CYCS	GSE8671	True	feature availability only
MYL12A	GSE8671	True	feature availability only
CPT1A	GSE8671	False	feature availability only
TTYH3	GSE8671	False	feature availability only
DTWD2	GSE8671	False	feature availability only
COX6C	GSE8671	True	feature availability only
ATP5PO	GSE8671	False	feature availability only
FH	GSE8671	False	feature availability only
SMAD6	GSE8671	False	feature availability only
IFITM2	GSE8671	False	feature availability only
SLC25A37	GSE8671	False	feature availability only
HS3ST4	GSE8671	False	feature availability only
PLOD1	GSE8671	False	feature availability only
DUT	GSE8671	False	feature availability only
AGAP3	GSE8671	False	feature availability only
ZBTB4	GSE8671	False	feature availability only
NDUFAB1	GSE8671	False	feature availability only
REG4	GSE8671	True	feature availability only
CCND3	GSE8671	False	feature availability only
RNF24	GSE8671	False	feature availability only
LINC-PINT	GSE8671	False	feature availability only
CHD3	GSE8671	False	feature availability only
TTL	GSE8671	False	feature availability only
EPHB3	GSE8671	True	feature availability only
GHITM	GSE8671	False	feature availability only
PDLIM1	GSE8671	False	feature availability only
WWC1	GSE8671	False	feature availability only
GDF15	GSE8671	True	feature availability only
PPM1H	GSE8671	False	feature availability only
CUEDC1	GSE8671	False	feature availability only
ME1	GSE8671	False	feature availability only
ATP5F1C	GSE8671	False	feature availability only
EPHB4	GSE8671	False	feature availability only
DACH1	GSE8671	False	feature availability only
LYN	GSE8671	False	feature availability only
ASRGL1	GSE8671	False	feature availability only
TMEM171	GSE8671	False	feature availability only
MAPK8IP3	GSE8671	False	feature availability only
ATP5PD	GSE8671	False	feature availability only
ENSG00000236449	GSE8671	False	feature availability only
KLHL29	GSE8671	False	feature availability only
NDUFA12	GSE8671	False	feature availability only
GPX2	GSE8671	False	feature availability only
PLEKHB2	GSE8671	False	feature availability only
ST3GAL2	GSE8671	False	feature availability only
CCDC88B	GSE8671	False	feature availability only
SPCS2	GSE8671	False	feature availability only
MSI2	GSE8671	False	feature availability only
SMAD9	GSE8671	False	feature availability only
RUNX1	GSE8671	False	feature availability only
GRINA	GSE8671	False	feature availability only
STBD1	GSE8671	False	feature availability only
HM13	GSE8671	False	feature availability only
NR5A2	GSE8671	False	feature availability only
CNTN4	GSE8671	False	feature availability only
KLF4	GSE8671	False	feature availability only
SUCLG1	GSE8671	False	feature availability only
FOXA1	GSE8671	False	feature availability only
PRDX6	GSE8671	True	feature availability only
PKIB	GSE8671	True	feature availability only
HSD17B11	GSE8671	False	feature availability only
RMND5A	GSE8671	False	feature availability only
TMED7	GSE8671	False	feature availability only
LRSAM1	GSE8671	False	feature availability only
TBC1D16	GSE8671	False	feature availability only
SLC25A5	GSE8671	True	feature availability only
NXPE4	GSE8671	False	feature availability only
TUSC1	GSE8671	False	feature availability only
AOPEP	GSE8671	False	feature availability only
ZNRF3	GSE8671	True	feature availability only
CCL15	GSE8671	False	feature availability only
EID1	GSE8671	False	feature availability only
TWSG1	GSE8671	False	feature availability only
TMC7	GSE8671	False	feature availability only
NARS1	GSE8671	False	feature availability only
BAIAP2	GSE8671	False	feature availability only
ZNFX1	GSE8671	False	feature availability only
DAZAP2	GSE8671	False	feature availability only
TGFBR2	GSE8671	False	feature availability only
PTP4A1	GSE8671	False	feature availability only
PDZD11	GSE8671	False	feature availability only
HADHA	GSE8671	False	feature availability only
HMGB2	GSE8671	False	feature availability only
ZHX2	GSE8671	False	feature availability only
SMIM15	GSE8671	False	feature availability only
CHASERR	GSE8671	False	feature availability only
TEAD1	GSE8671	False	feature availability only
GLTP	GSE8671	False	feature availability only
RPL5	GSE8671	False	feature availability only
NPRL3	GSE8671	False	feature availability only
EPCAM	GSE8671	True	feature availability only
LGALS4	GSE8671	True	feature availability only
SPATS2	GSE8671	False	feature availability only
SF3B6	GSE8671	False	feature availability only
PDE4A	GSE8671	False	feature availability only
NDUFB5	GSE8671	False	feature availability only
PBX4	GSE8671	False	feature availability only
MRPL34	GSE8671	False	feature availability only
SPCS1	GSE8671	False	feature availability only
MRPS6	GSE8671	False	feature availability only
ITM2B	GSE8671	False	feature availability only
EVPL	GSE8671	False	feature availability only
SEZ6L2	GSE8671	False	feature availability only
CALM1	GSE8671	True	feature availability only
GOT1	GSE8671	False	feature availability only
HSBP1	GSE8671	False	feature availability only
URAD	GSE8671	False	feature availability only
CD44	GSE8671	False	feature availability only
MAP3K5	GSE8671	False	feature availability only
IDH1	GSE8671	False	feature availability only
PGM1	GSE8671	False	feature availability only
SRP9	GSE8671	False	feature availability only
LAMTOR3	GSE8671	False	feature availability only
CALM2	GSE8671	True	feature availability only
ATP11A	GSE8671	False	feature availability only
TMEM238L	GSE8671	False	feature availability only
ZKSCAN1	GSE8671	False	feature availability only
APLP2	GSE8671	False	feature availability only
PGK1	GSE8671	False	feature availability only
ATP5PF	GSE8671	False	feature availability only
GXYLT2	GSE8671	False	feature availability only
MGST1	GSE8671	False	feature availability only
HMGN2	GSE8671	False	feature availability only
LRP1	GSE8671	False	feature availability only
PTGDR	GSE8671	False	feature availability only
ATP5F1A	GSE8671	False	feature availability only
MCUR1	GSE8671	False	feature availability only
RASSF1	GSE8671	False	feature availability only
ENSG00000271254	GSE8671	False	feature availability only
PLD3	GSE8671	False	feature availability only
PTMA	GSE8671	False	feature availability only
TNK2	GSE8671	False	feature availability only
HMGCS2	GSE8671	True	feature availability only
BEX4	GSE8671	False	feature availability only
CNN3	GSE8671	False	feature availability only
GABPB1-AS1	GSE8671	False	feature availability only
STX3	GSE8671	False	feature availability only
RNF5	GSE8671	False	feature availability only
TMEM230	GSE8671	False	feature availability only
DHRS9	GSE8671	False	feature availability only
CACNA1C	GSE8671	False	feature availability only
SNTB1	GSE8671	False	feature availability only
MAGOH	GSE8671	False	feature availability only
CITED2	GSE8671	False	feature availability only
CA2	GSE8671	True	feature availability only
DYNLL1	GSE8671	False	feature availability only
TSPAN3	GSE8671	False	feature availability only
NDRG2	GSE8671	False	feature availability only
CISD1	GSE8671	False	feature availability only
TMEM59	GSE8671	False	feature availability only
GLRX2	GSE8671	False	feature availability only
NDUFA6	GSE8671	False	feature availability only
COX7C	GSE8671	False	feature availability only
NET1	GSE8671	False	feature availability only
RHOA	GSE8671	False	feature availability only
HSPA1B	GSE8671	False	feature availability only
COX6A1	GSE8671	True	feature availability only
S100A10	GSE8671	False	feature availability only
SH3PXD2B	GSE8671	False	feature availability only
TRIP6	GSE8671	True	feature availability only
TMEM14B	GSE8671	False	feature availability only
CDK5RAP3	GSE8671	False	feature availability only
TENT5C	GSE8671	False	feature availability only
ZNF703	GSE8671	True	feature availability only
UGDH	GSE8671	False	feature availability only
DDC	GSE8671	False	feature availability only
EPHB2	GSE8671	True	feature availability only
TXN	GSE8671	False	feature availability only
EMC4	GSE8671	False	feature availability only
UQCRFS1	GSE8671	False	feature availability only
SCP2	GSE8671	False	feature availability only
KIAA1549	GSE8671	False	feature availability only
SIL1	GSE8671	False	feature availability only
ATP5F1B	GSE8671	False	feature availability only
MTG2	GSE8671	False	feature availability only
ETHE1	GSE8671	True	feature availability only
SNHG7	GSE8671	False	feature availability only
CUX1	GSE8671	False	feature availability only
NDRG1	GSE8671	True	feature availability only
SQOR	GSE8671	False	feature availability only
SLC22A5	GSE8671	False	feature availability only
AK2	GSE8671	False	feature availability only
PLCB4	GSE8671	False	feature availability only
DLD	GSE8671	False	feature availability only
XACT	GSE8671	False	feature availability only
SLC25A3	GSE8671	False	feature availability only
NACA	GSE8671	False	feature availability only
TMEM63A	GSE8671	False	feature availability only
HADH	GSE8671	False	feature availability only
OSBP2	GSE8671	False	feature availability only
ACAT1	GSE8671	False	feature availability only
MTCH2	GSE8671	False	feature availability only
AKR1B10	GSE8671	False	feature availability only
SHROOM4	GSE8671	False	feature availability only
GLRX5	GSE8671	False	feature availability only
FERMT1	GSE8671	False	feature availability only
CSNK1E	GSE8671	False	feature availability only
PPM1A	GSE8671	False	feature availability only
LIMCH1	GSE8671	False	feature availability only
GABARAPL2	GSE8671	False	feature availability only
AQP8	GSE8671	True	feature availability only
DNASE1	GSE8671	False	feature availability only
HELZ2	GSE8671	False	feature availability only
PPP1R13L	GSE8671	False	feature availability only
TRIM13	GSE8671	False	feature availability only
ECH1	GSE8671	False	feature availability only
KLHL22	GSE8671	False	feature availability only
ARPIN	GSE8671	False	feature availability only
TXNIP	GSE8671	False	feature availability only
NUP50-DT	GSE8671	False	feature availability only
SH3BGRL2	GSE8671	False	feature availability only
CTIF	GSE8671	False	feature availability only
MGST2	GSE8671	False	feature availability only
IL1RAPL1	GSE8671	False	feature availability only
FCGRT	GSE8671	True	feature availability only
TMEM183A	GSE8671	False	feature availability only
DDB2	GSE8671	False	feature availability only
MTCL2	GSE8671	False	feature availability only
KLHL9	GSE8671	False	feature availability only
PDCD4	GSE8671	False	feature availability only
MGST3	GSE8671	False	feature availability only
SDHAF3	GSE8671	False	feature availability only
PGRMC1	GSE8671	False	feature availability only
SRP14	GSE8671	False	feature availability only
SFT2D1	GSE8671	False	feature availability only
C1orf226	GSE8671	False	feature availability only
TST	GSE8671	True	feature availability only
ATXN7L1	GSE8671	False	feature availability only
RGS12	GSE8671	False	feature availability only
DBNDD2	GSE8671	False	feature availability only
GNL1	GSE8671	False	feature availability only
EPB41L2	GSE8671	False	feature availability only
STAT6	GSE8671	False	feature availability only
CALCOCO2	GSE8671	False	feature availability only
ARF3	GSE8671	False	feature availability only
WDR1	GSE8671	False	feature availability only
TMEM120B	GSE8671	False	feature availability only
GLG1	GSE8671	False	feature availability only
ISOC1	GSE8671	False	feature availability only
YWHAQ	GSE8671	False	feature availability only
ATP5PB	GSE8671	False	feature availability only
EXTL3	GSE8671	False	feature availability only
ATP5MC1	GSE8671	False	feature availability only
LAP3	GSE8671	False	feature availability only
CEP164	GSE8671	False	feature availability only
DPP10	GSE8671	False	feature availability only
TFCP2	GSE8671	False	feature availability only
KCTD20	GSE8671	False	feature availability only
ITM2C	GSE8671	True	feature availability only
TMBIM4	GSE8671	False	feature availability only
TTLL3	GSE8671	False	feature availability only
FMNL2	GSE8671	False	feature availability only
TMEM236	GSE8671	False	feature availability only
GMNN	GSE8671	False	feature availability only
L1TD1	GSE8671	True	feature availability only
IFITM3	GSE8671	True	feature availability only
CMAS	GSE8671	False	feature availability only
HINT1	GSE8671	False	feature availability only
DBI	GSE8671	False	feature availability only
THOC7	GSE8671	False	feature availability only
ADGRE5	GSE8671	False	feature availability only
DPM1	GSE8671	False	feature availability only
KANSL1L	GSE8671	False	feature availability only
FOXK2	GSE8671	False	feature availability only
KCNN4	GSE8671	False	feature availability only
PDZK1IP1	GSE8671	False	feature availability only
C1orf210	GSE8671	False	feature availability only
UGP2	GSE8671	False	feature availability only
TDRD7	GSE8671	False	feature availability only
TCEAL9	GSE8671	False	feature availability only
CFL1	GSE8671	False	feature availability only
B2M	GSE8671	True	feature availability only
RAB11A	GSE8671	False	feature availability only
TRABD2A	GSE8671	False	feature availability only
AP2B1	GSE8671	False	feature availability only
TRAK2	GSE8671	False	feature availability only
SEPTIN9	GSE8671	False	feature availability only
PFN1	GSE8671	False	feature availability only
MYRF	GSE8671	False	feature availability only
HMGN1	GSE8671	False	feature availability only
YJU2B	GSE8671	False	feature availability only
MTMR11	GSE8671	False	feature availability only
YWHAH	GSE8671	False	feature availability only
NIPSNAP3A	GSE8671	False	feature availability only
LPIN1	GSE8671	False	feature availability only
SOD3	GSE8671	False	feature availability only
ATP5MG	GSE8671	False	feature availability only
FBXO34	GSE8671	False	feature availability only
SUMF2	GSE8671	False	feature availability only
PUM1	GSE8671	False	feature availability only
SCO1	GSE8671	False	feature availability only
MOB1A	GSE8671	False	feature availability only
MTHFD1L	GSE8671	False	feature availability only
TDP2	GSE8671	False	feature availability only
ATXN7L3B	GSE8671	False	feature availability only
HNRNPD	GSE8671	False	feature availability only
NDUFB6	GSE8671	False	feature availability only
GNG5	GSE8671	False	feature availability only
SELENOF	GSE8671	False	feature availability only
GALNT12	GSE8671	False	feature availability only
VPS29	GSE8671	False	feature availability only
ARHGAP26	GSE8671	False	feature availability only
NUDT9	GSE8671	False	feature availability only
CYB5A	GSE8671	False	feature availability only
HSPE1	GSE8671	False	feature availability only
NKAIN2	GSE8671	False	feature availability only
ARF1	GSE8671	False	feature availability only
NDUFA1	GSE8671	True	feature availability only
BICDL1	GSE8671	False	feature availability only
F2RL1	GSE8671	False	feature availability only
PSMD6	GSE8671	False	feature availability only
DPY19L3	GSE8671	False	feature availability only
CD82	GSE8671	False	feature availability only
ACSF2	GSE8671	False	feature availability only
CCNJL	GSE8671	False	feature availability only
ITGB4	GSE8671	False	feature availability only
PRELID3B	GSE8671	False	feature availability only
PADI2	GSE8671	False	feature availability only
SKP1	GSE8671	False	feature availability only
CHRM3	GSE8671	False	feature availability only
LMBRD1	GSE8671	False	feature availability only
GTF2IRD2	GSE8671	False	feature availability only
TMCO4	GSE8671	False	feature availability only
GTF2I	GSE8671	False	feature availability only
ARF6	GSE8671	False	feature availability only
CCDC149	GSE8671	False	feature availability only
ACAA2	GSE8671	True	feature availability only
ATG3	GSE8671	False	feature availability only
TPM3	GSE8671	False	feature availability only
TSPAN13	GSE8671	False	feature availability only
MPLKIP	GSE8671	False	feature availability only
SCUBE2	GSE8671	False	feature availability only
CATSPERB	GSE8671	False	feature availability only
DLEU1	GSE8671	False	feature availability only
UQCRC2	GSE8671	False	feature availability only
NDUFA5	GSE8671	False	feature availability only
AP1S3	GSE8671	False	feature availability only
