gene	arm	common_effect	common_z	common_q_value	max_lfsr	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
TIMP1	up	3.51875626155639	16.7394505507629	5.55816594456193e-59	3.92025585885836e-18	7076	protein-coding	O	TIMP1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
INPP5D	up	2.9207457637981	12.5413512953535	1.53836988018996e-32	5.08749590867116e-07	3635	protein-coding	O	INPP5D	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
S100P	up	3.3172428985422	12.5226376482217	1.53836988018996e-32	1.47923671637618e-09	6286	protein-coding	O	S100P	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GALNT6	up	1.63407733274684	12.3857084496664	6.418847217998801e-32	3.62322658533755e-13	11226	protein-coding	O	GALNT6	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GRAMD1A	up	1.36546675010582	12.2761600614774	1.99993516816973e-31	1.49995847347209e-06	57655	protein-coding	O	GRAMD1A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PVT1	up	1.71890026969759	12.2612334544511	2.00395797152734e-31	4.96440735184096e-08	5820	ncRNA	O	PVT1	current_ncbi_symbol	True	False	True	True	True	False	4	False	False	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
LCN2	up	2.67901697030422	11.644804152479	2.86421118455715e-28	2.82443019815456e-10	3934	protein-coding	O	LCN2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
TBXAS1	up	1.36647455671585	11.5537703396031	7.26032537928431e-28	3.8828613080976e-12	6916	protein-coding	O	TBXAS1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
GRIN2D	up	1.90748515341374	11.5160405206599	1.00049004388827e-27	2.51277762229557e-10	2906	protein-coding	O	GRIN2D	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ARID3A	up	1.27386227547908	11.3707840124073	4.80600549595037e-27	1.4277589262165702e-09	1820	protein-coding	O	ARID3A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ASCL2	up	2.33729157800139	11.141160505107	5.91030606856072e-26	8.444023449023271e-09	430	protein-coding	O	ASCL2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
COX5A	down	-0.823770690484804	-11.1222545448637	6.69803287338524e-26	6.73087474645229e-10	9377	protein-coding	O	COX5A	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PMEPA1	up	1.32423351283478	11.0937650537672	8.50587848153545e-26	2.01914472503146e-09	56937	protein-coding	O	PMEPA1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
PLXNB1	up	0.673998662674102	10.8325646306889	1.4169519381311801e-24	0.0107928289475235	5364	protein-coding	O	PLXNB1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
C15orf48	down	-1.04305371600802	-10.6185205634098	1.33949562592643e-23	1.73645664514055e-09	84419	protein-coding	O	COXFA4L3	unique_ncbi_synonym	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
UGT2A3	down	-1.95713316615748	-10.6049524844912	1.45207320609361e-23	3.24486340574914e-06	79799	protein-coding	O	UGT2A3	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
MAOA	down	-0.743473271655654	-10.5948669248534	1.52227964785778e-23	9.20311515264505e-05	4128	protein-coding	O	MAOA	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
IL1R2	down	-1.45319497755708	-10.5778908486241	1.7234737913673998e-23	0.0017109512443171	7850	protein-coding	O	IL1R2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
ATP5MC3	down	-0.933804794541428	-10.5571095104951	2.0376848128543102e-23	1.65576663491152e-10	518	protein-coding	O	ATP5MC3	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SDHD	down	-1.13898329081013	-10.5321656244266	2.52406326622195e-23	1.92161884182696e-07	6392	protein-coding	O	SDHD	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CADPS	up	1.71374733534792	10.3819892853955	1.1723501361396e-22	7.41145902010268e-12	8618	protein-coding	O	CADPS	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
SRI	down	-0.963402749257993	-10.2092913666186	6.73284483285991e-22	6.08925999401322e-07	6717	protein-coding	O	SRI	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
CHP2	down	-1.13496646810407	-10.1116373405453	1.75348393408365e-21	1.25128314099054e-06	63928	protein-coding	O	CHP2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	strict state-shared core; NCBI protein-coding; feature present on all five external platforms and GSE117606 FFPE
