gene	cell_type	route	n_cells	n_gene_positive	gene_positive_fraction	fraction_gene_positive_with_epithelial_marker	fraction_gene_positive_with_immune_marker	fraction_gene_positive_with_any_nonepithelial_marker
INPP5D	ABS	conventional_adenoma	8236	473	0.0574307916464303	0.995771670190275	0.0507399577167019	0.167019027484144
INPP5D	GOB	conventional_adenoma	3908	728	0.186284544524053	0.991758241758242	0.0714285714285714	0.184065934065934
INPP5D	TAC	conventional_adenoma	1542	439	0.284695201037613	0.9749430523918	0.0569476082004556	0.207289293849658
INPP5D	ABS	normal	18391	498	0.0270784622913382	1	0.102409638554217	0.267068273092369
INPP5D	GOB	normal	5178	114	0.0220162224797219	1	0.0614035087719298	0.201754385964912
INPP5D	TAC	normal	3077	106	0.0344491387715307	1	0.0471698113207547	0.245283018867925
TIMP1	ABS	conventional_adenoma	8236	814	0.0988343856240894	0.998771498771499	0.0565110565110565	0.148648648648649
TIMP1	GOB	conventional_adenoma	3908	813	0.208034800409417	0.995079950799508	0.0922509225092251	0.205412054120541
TIMP1	TAC	conventional_adenoma	1542	468	0.303501945525292	0.985042735042735	0.0512820512820513	0.207264957264957
TIMP1	ABS	normal	18391	451	0.0245228644445653	1	0.0643015521064302	0.203991130820399
TIMP1	GOB	normal	5178	234	0.0451911935110081	1	0.0683760683760684	0.183760683760684
TIMP1	TAC	normal	3077	91	0.0295742606434839	0.989010989010989	0.021978021978022	0.164835164835165
S100P	ABS	conventional_adenoma	8236	2270	0.275619232637203	0.997356828193833	0.0365638766519824	0.131718061674009
S100P	GOB	conventional_adenoma	3908	2256	0.577277379733879	0.991578014184397	0.0771276595744681	0.1875
S100P	TAC	conventional_adenoma	1542	936	0.607003891050584	0.979700854700855	0.063034188034188	0.194444444444444
S100P	ABS	normal	18391	1652	0.0898265455929531	0.999394673123487	0.0502421307506053	0.182808716707022
S100P	GOB	normal	5178	1518	0.293163383545771	0.999341238471673	0.0559947299077734	0.132411067193676
S100P	TAC	normal	3077	159	0.0516737081572961	0.993710691823899	0.0188679245283019	0.150943396226415
LCN2	ABS	conventional_adenoma	8236	3445	0.418285575522098	0.997387518142235	0.0455732946298984	0.14310595065312
LCN2	GOB	conventional_adenoma	3908	1032	0.264073694984647	0.996124031007752	0.103682170542636	0.218992248062016
LCN2	TAC	conventional_adenoma	1542	880	0.570687418936446	0.986363636363636	0.05	0.190909090909091
LCN2	ABS	normal	18391	3938	0.214126474906204	0.998984255967496	0.0520568816658202	0.172930421533773
LCN2	GOB	normal	5178	197	0.0380455774430282	1	0.0609137055837563	0.16243654822335
LCN2	TAC	normal	3077	772	0.250893727656809	0.996113989637306	0.0297927461139896	0.156735751295337
