score	scope	model	n_profiles	n_specimens	n_donors	estimate	standard_error	degrees_of_freedom	ci_low	ci_high	p_value	singular_fit	p_value_BH
full_programme_score	all	unadjusted	122	44	23	1.96277886455247	0.293150314483129	35.2164850724024	1.3677828366656	2.55777489243934	9.19718782929993e-08	FALSE	1.46948194233218e-07
full_programme_score	all	site_age_sex_adjusted	122	44	23	1.90336776593034	0.304146373756194	31.8709895335243	1.28374350867312	2.52299202318756	5.2421818441347e-07	FALSE	6.98957579217959e-07
full_programme_score	ABS	unadjusted	44	44	23	2.56498792524975	0.342922783946459	37.0494135207071	1.8701916443973	3.2597842061022	6.51350585469062e-09	FALSE	1.488801338215e-08
full_programme_score	ABS	site_age_sex_adjusted	44	44	23	2.48504723228241	0.352148316249186	34.2860909037242	1.76961564205091	3.20047882251391	3.61527250679545e-08	FALSE	6.42715112319191e-08
full_programme_score	GOB	unadjusted	39	39	23	1.44042818607397	0.191032505782878	32.5079052320386	1.05154600245478	1.82931036969316	1.24636116293868e-08	FALSE	2.49272232587736e-08
full_programme_score	GOB	site_age_sex_adjusted	39	39	23	1.40359438759207	0.199751199035484	28.9310739408852	0.995015032689524	1.81217374249462	1.01026883535337e-07	FALSE	1.46948194233218e-07
full_programme_score	TAC	unadjusted	39	39	22	1.26170140021855	0.238258868161903	27.7460821010206	0.773448935623311	1.74995386481379	1.2706794324527e-05	FALSE	1.5639131476341e-05
full_programme_score	TAC	site_age_sex_adjusted	39	39	22	1.15397901782307	0.238664472654419	25.98699397554	0.663385218268384	1.64457281737776	5.19887573297376e-05	FALSE	5.54546744850534e-05
compact_8_score	all	unadjusted	122	44	23	2.32604931305549	0.283106729281844	35.6919205809968	1.75171012003968	2.9003885060713	9.55306349831568e-10	FALSE	4.2262261094328e-09
compact_8_score	all	site_age_sex_adjusted	122	44	23	2.34838697481514	0.29386136804698	32.4477452136331	1.75013472577169	2.94663922385858	3.6336327245707e-09	FALSE	9.68968726552188e-09
compact_8_score	ABS	unadjusted	44	44	23	3.06772158713473	0.372081074498525	38.3891894683351	2.31473352526996	3.82070964899951	5.04644122182054e-10	FALSE	4.2262261094328e-09
compact_8_score	ABS	site_age_sex_adjusted	44	44	23	3.02174859238798	0.377566156266175	35.7889105077461	2.25585208224883	3.78764510252713	1.73451971597976e-09	FALSE	5.55046309113523e-09
compact_8_score	GOB	unadjusted	39	39	23	2.11542049441416	0.248608150544057	32.8129965627095	1.60951387995821	2.62132710887012	8.20226383430221e-10	FALSE	4.2262261094328e-09
compact_8_score	GOB	site_age_sex_adjusted	39	39	23	2.26492667912933	0.261400427820639	30.3121156142836	1.73130619598907	2.7985471622696	1.0565565273582e-09	FALSE	4.2262261094328e-09
compact_8_score	TAC	unadjusted	39	39	22	1.44757801409817	0.300390588705867	34.4110240254809	0.837379361127997	2.05777666706834	2.87026263764079e-05	FALSE	3.28030015730376e-05
compact_8_score	TAC	site_age_sex_adjusted	39	39	22	1.41778114947091	0.315328561289232	30.9461563507417	0.774618952825961	2.06094334611585	9.07839107276791e-05	FALSE	9.07839107276791e-05
