contrast	group_a	group_b	n_a	n_b	mean_a	mean_b	mean_difference	ci_low	ci_high	welch_t_statistic	degrees_of_freedom	welch_p_value	hedges_g	mann_whitney_w	mann_whitney_p_value	cohort	signature_id	grouping_variable	welch_p_value_BH
adenoma_vs_normal	adenoma	normal	8	8	0.358458726984838	-0.188071353709747	0.546530080694585	0.22029297693194	0.87276718445723	3.61829644981188	13.0308300397232	0.00310965066545573	1.71046741263834	59	0.00538494000014703	GSE40362	state_shared_1843	tissue_group	0.00497544106472917
hyperplastic_vs_normal	hyperplastic	normal	8	8	-0.170387373275091	-0.188071353709747	0.0176839804346559	-0.266077194489972	0.301445155359284	0.133696352452257	13.9628550253656	0.895550549102033	0.0632019120683398	30	0.874825976949244	GSE40362	state_shared_1843	tissue_group	0.895550549102033
adenoma_vs_hyperplastic	adenoma	hyperplastic	8	8	0.358458726984838	-0.170387373275091	0.528846100259929	0.196973861021638	0.86071833949822	3.43396889832303	13.329418806621	0.00429799000517587	1.62333075193452	58	0.00740553334050027	GSE40362	state_shared_1843	tissue_group	0.00573065334023449
low_grade_adenoma_vs_normal	low_grade	normal	21	12	0.0149215126203369	-1.30949477082872	1.32441628344905	1.11185333524554	1.53697923165257	12.7102377551948	30.8420497272619	8.48986849432648e-14	3.93435836129586	250	3.80293857430016e-06	GSE41657	state_shared_1843	grade_group	2.26396493182039e-13
high_grade_adenoma_vs_normal	high_grade	normal	30	12	0.396830870892061	-1.30949477082872	1.70632564172078	1.47999209577072	1.93265918767083	15.2460961598371	39.2369873576021	4.44410721307096e-18	3.79608786576439	360	5.80201776326147e-07	GSE41657	state_shared_1843	grade_group	3.55528577045677e-17
high_vs_low_grade_adenoma	high_grade	low_grade	30	21	0.396830870892061	0.0149215126203369	0.381909358271724	0.136291935966632	0.627526780576815	3.12510284765591	48.7386352725327	0.00299240275308078	0.832049921860555	445	0.0131937120742042	GSE41657	state_shared_1843	grade_group	0.00497544106472917
crc_vs_normal	crc	normal	25	12	0.139826374326228	-1.30949477082872	1.44932114515494	1.27624289326704	1.62239939704285	17.2278305597426	25.5353598305002	1.41706676727785e-15	5.56899544525838	300	1.23200012242869e-06	GSE41657	state_shared_1843	grade_group	5.6682670691114e-15
crc_vs_high_grade_adenoma	crc	high_grade	25	30	0.139826374326228	0.396830870892061	-0.257004496565832	-0.469614705775316	-0.0443942873563488	-2.43346057142437	45.8183857530515	0.0189155246163774	-0.617080566798688	264	0.0617912219643494	GSE41657	state_shared_1843	grade_group	0.0216177424187171
adenoma_vs_normal	adenoma	normal	8	8	0.834588293219565	-0.196846343910783	1.03143463713035	0.267020655402666	1.79584861885803	2.90164462424849	13.6170799845529	0.0118814408674449	1.37168654964474	55	0.018129007864972	GSE40362	compact_8	tissue_group	0.0158419211565932
hyperplastic_vs_normal	hyperplastic	normal	8	8	-0.63774194930878	-0.196846343910783	-0.440895605397996	-1.3805223688408	0.498731158044812	-1.01114273513229	13.3312503051932	0.329949234288354	-0.477994747517081	20	0.227146681822015	GSE40362	compact_8	tissue_group	0.329949234288354
adenoma_vs_hyperplastic	adenoma	hyperplastic	8	8	0.834588293219565	-0.63774194930878	1.47233024252834	0.578842780698965	2.36581770435773	3.58211694444188	12.2538645322826	0.00365093207728008	1.69336437373616	57	0.0100816938838597	GSE40362	compact_8	tissue_group	0.00584149132364813
low_grade_adenoma_vs_normal	low_grade	normal	21	12	-0.0828388990875335	-1.75869587007033	1.6758569709828	1.32370616508855	2.02800777687704	9.79643499242585	25.2409041362375	4.39683307014076e-10	3.35225939583049	249	4.55188914931311e-06	GSE41657	compact_8	grade_group	1.1724888187042e-09
high_grade_adenoma_vs_normal	high_grade	normal	30	12	0.557306027011049	-1.75869587007033	2.31600189708138	1.9535694110919	2.67843438307086	13.0615072735106	29.4063019563709	8.99953002889086e-14	3.74146851748305	360	5.80201776326147e-07	GSE41657	compact_8	grade_group	7.19962402311269e-13
high_vs_low_grade_adenoma	high_grade	low_grade	30	21	0.557306027011049	-0.0828388990875335	0.640144926098582	0.31254953161719	0.967740320579974	3.92791849892344	48.4807242147616	0.000271002375744617	1.05105978467274	497	0.000513288773632847	GSE41657	compact_8	grade_group	0.000542004751489234
crc_vs_normal	crc	normal	25	12	0.244991460454029	-1.75869587007033	2.00368733052436	1.63456345299362	2.37281120805509	11.1008520073449	29.0671508405162	5.69443449646639e-12	3.41151470938407	299	1.45021658592563e-06	GSE41657	compact_8	grade_group	2.27777379858656e-11
crc_vs_high_grade_adenoma	crc	high_grade	25	30	0.244991460454029	0.557306027011049	-0.31231456655702	-0.659142619546695	0.0345134864326553	-1.8068973760189	52.0779532637407	0.0765569246575508	-0.479992739387459	269	0.0745414712240202	GSE41657	compact_8	grade_group	0.087493628180058
