contrast	group_a	group_b	n_a	n_b	mean_difference	standard_error	ci_low	ci_high	welch_t	degrees_of_freedom	welch_p_value	mann_whitney_u	mann_whitney_p_value	cohort	grouping_variable	welch_p_value_BH
adenoma_vs_normal	adenoma	normal	32	32	0.18161231884057966	0.017377224513936307	0.14672781594575024	0.21649682173540907	10.451169500338155	51.1044422913418	2.735103049213648e-14	999.5	6.176685428026388e-11	GSE8671	tissue_group	9.572860672247768e-14
adenoma_vs_normal	adenoma	normal	36	9	0.1948683076372626	0.0353314109818284	0.11863742740777089	0.2710991878667543	5.515440856225272	13.166482151375483	9.50260327505553e-05	294.0	0.00019046310987597717	GSE50114	tissue_group	0.0002217274097512957
adenoma_vs_normal	adenoma	normal	51	12	0.6525476994076318	0.0405880242231606	0.5710150920584761	0.7340803067567875	16.07734576632264	49.77426793627062	2.3968075934396444e-21	612.0	8.926632494332748e-08	GSE41657	tissue_group	1.677765315407751e-20
low_grade_adenoma_vs_normal	low_grade	normal	21	12	0.5192197780751644	0.04928010734371878	0.4185018164334664	0.6199377397168624	10.536092676375713	29.47958778943768	1.643194076177001e-11	252.0	2.6437316425526907e-06	GSE41657	grade_group	2.738656793628335e-11
high_grade_adenoma_vs_normal	high_grade	normal	30	12	0.745877244340359	0.045396688271224436	0.6541238468801035	0.8376306418006144	16.43021270371274	39.95431640554108	2.258830778544758e-19	360.0	5.802017763261463e-07	GSE41657	grade_group	1.1294153892723788e-18
high_vs_low_grade_adenoma	high_grade	low_grade	30	21	0.22665746626519462	0.05739062574700072	0.11106283029077131	0.34225210223961794	3.9493813373700655	44.94390369109643	0.00027330762572433777	495.0	0.0005915792979474761	GSE41657	grade_group	0.0003416345321554222
crc_vs_normal	crc	normal	25	12	0.6430025370804059	0.04885822931682946	0.5437479680413643	0.7422571061194475	13.16057798392052	34.35044946812676	5.631146007534168e-15	300.0	1.2320001224286898e-06	GSE41657	grade_group	1.4077865018835421e-14
crc_vs_high_grade_adenoma	crc	high_grade	25	30	-0.10287470725995317	0.057028777961655036	-0.21736212629433013	0.0116127117744238	-1.803908674478769	51.04829884174932	0.07714760777985497	264.0	0.061791221964349406	GSE41657	grade_group	0.07714760777985497
adenoma_vs_normal	adenoma	normal	8	8	0.15123190902825637	0.06207827316218127	0.017772294977733888	0.2846915230787789	2.436148773551717	13.656409335211567	0.029185979873529767	48.0	0.10489510489510488	GSE40362	tissue_group	0.04086037182294167
hyperplastic_vs_normal	hyperplastic	normal	8	8	-0.1340670227429359	0.0740648274173803	-0.29343771729775253	0.025303671811880757	-1.8101307654093755	13.531588321261651	0.09253189853677583	14.0	0.06495726495726495	GSE40362	tissue_group	0.09471821105643434
adenoma_vs_hyperplastic	adenoma	hyperplastic	8	8	0.28529893177119225	0.06981640672095055	0.1339676097839402	0.43663025375844433	4.08641672023461	12.588958417134092	0.0013703081848594602	58.0	0.004662004662004662	GSE40362	tissue_group	0.0023980393235040554
adenoma_vs_normal	adenoma	normal	7	7	0.11182862266245408	0.06158161906304381	-0.022517589875339278	0.24617483520024744	1.8159415806844925	11.863524313169185	0.09471821105643434	37.0	0.12820512820512822	GSE72820	tissue_group	0.09471821105643434
