partition	k	broad_state	fine_state	route	n_cells	n_donors
discovery	3	ABS	ABS_F1	conventional_adenoma	2602	14
discovery	3	ABS	ABS_F1	normal	8220	24
discovery	3	ABS	ABS_F2	conventional_adenoma	1417	14
discovery	3	ABS	ABS_F2	normal	3836	24
discovery	3	ABS	ABS_F3	conventional_adenoma	4217	14
discovery	3	ABS	ABS_F3	normal	6335	23
discovery	3	GOB	GOB_F1	conventional_adenoma	1403	13
discovery	3	GOB	GOB_F1	normal	2104	19
discovery	3	GOB	GOB_F2	conventional_adenoma	2395	13
discovery	3	GOB	GOB_F2	normal	2278	23
discovery	3	GOB	GOB_F3	conventional_adenoma	110	10
discovery	3	GOB	GOB_F3	normal	796	22
discovery	3	TAC	TAC_F1	conventional_adenoma	939	12
discovery	3	TAC	TAC_F1	normal	1079	24
discovery	3	TAC	TAC_F2	conventional_adenoma	294	10
discovery	3	TAC	TAC_F2	normal	1007	17
discovery	3	TAC	TAC_F3	conventional_adenoma	309	13
discovery	3	TAC	TAC_F3	normal	991	23
discovery	4	ABS	ABS_F1	conventional_adenoma	956	14
discovery	4	ABS	ABS_F1	normal	3166	24
discovery	4	ABS	ABS_F2	conventional_adenoma	2355	14
discovery	4	ABS	ABS_F2	normal	7609	24
discovery	4	ABS	ABS_F3	conventional_adenoma	1339	14
discovery	4	ABS	ABS_F3	normal	2256	22
discovery	4	ABS	ABS_F4	conventional_adenoma	3586	14
discovery	4	ABS	ABS_F4	normal	5360	23
discovery	4	GOB	GOB_F1	conventional_adenoma	187	10
discovery	4	GOB	GOB_F1	normal	725	23
discovery	4	GOB	GOB_F2	conventional_adenoma	2414	13
discovery	4	GOB	GOB_F2	normal	1947	23
discovery	4	GOB	GOB_F3	conventional_adenoma	80	10
discovery	4	GOB	GOB_F3	normal	667	18
discovery	4	GOB	GOB_F4	conventional_adenoma	1227	12
discovery	4	GOB	GOB_F4	normal	1839	19
discovery	4	TAC	TAC_F1	conventional_adenoma	276	10
discovery	4	TAC	TAC_F1	normal	926	17
discovery	4	TAC	TAC_F2	conventional_adenoma	290	13
discovery	4	TAC	TAC_F2	normal	884	23
discovery	4	TAC	TAC_F3	conventional_adenoma	838	13
discovery	4	TAC	TAC_F3	normal	1053	24
discovery	4	TAC	TAC_F4	conventional_adenoma	138	9
discovery	4	TAC	TAC_F4	normal	214	21
discovery	5	ABS	ABS_F1	conventional_adenoma	817	14
discovery	5	ABS	ABS_F1	normal	2987	24
discovery	5	ABS	ABS_F2	conventional_adenoma	2917	14
discovery	5	ABS	ABS_F2	normal	4294	20
discovery	5	ABS	ABS_F3	conventional_adenoma	2290	14
discovery	5	ABS	ABS_F3	normal	3862	24
discovery	5	ABS	ABS_F4	conventional_adenoma	1036	14
discovery	5	ABS	ABS_F4	normal	5194	24
discovery	5	ABS	ABS_F5	conventional_adenoma	1176	13
discovery	5	ABS	ABS_F5	normal	2054	20
discovery	5	GOB	GOB_F1	conventional_adenoma	2270	13
discovery	5	GOB	GOB_F1	normal	1659	23
discovery	5	GOB	GOB_F2	conventional_adenoma	1105	12
discovery	5	GOB	GOB_F2	normal	1381	18
discovery	5	GOB	GOB_F3	conventional_adenoma	240	11
discovery	5	GOB	GOB_F3	normal	787	22
discovery	5	GOB	GOB_F4	conventional_adenoma	246	11
discovery	5	GOB	GOB_F4	normal	902	18
discovery	5	GOB	GOB_F5	conventional_adenoma	47	7
discovery	5	GOB	GOB_F5	normal	449	19
discovery	5	TAC	TAC_F1	conventional_adenoma	121	9
discovery	5	TAC	TAC_F1	normal	203	21
discovery	5	TAC	TAC_F2	conventional_adenoma	238	10
discovery	5	TAC	TAC_F2	normal	902	15
discovery	5	TAC	TAC_F3	conventional_adenoma	470	12
discovery	5	TAC	TAC_F3	normal	475	23
discovery	5	TAC	TAC_F4	conventional_adenoma	177	13
discovery	5	TAC	TAC_F4	normal	745	23
discovery	5	TAC	TAC_F5	conventional_adenoma	536	13
discovery	5	TAC	TAC_F5	normal	752	23
validation	3	ABS	ABS_F1	conventional_adenoma	1663	12
validation	3	ABS	ABS_F1	normal	8057	18
validation	3	ABS	ABS_F2	conventional_adenoma	707	9
validation	3	ABS	ABS_F2	normal	6231	18
validation	3	ABS	ABS_F3	conventional_adenoma	1334	12
