partition	k	scope	decomposition_type	component	estimate	ci_low	ci_high	n_donors	n_normal_donors	n_adenoma_donors
discovery	3	all	fine_state	total	0.0754137408897875	0.0446210812173806	0.104444355243011	27	24	14
discovery	3	all	fine_state	composition	0.0142750240908281	0.00268806306336815	0.024479898682951	27	24	14
discovery	3	all	fine_state	within	0.0611387167989594	0.035395538174187	0.0883087871465362	27	24	14
discovery	3	all	fine_state	reconstruction_error	0	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	3	ABS	fine_state	total	0.0740661361976651	0.042223192953369	0.103889574540924	27	24	14
discovery	3	ABS	fine_state	composition	0.00978000714157944	-0.000182430147356413	0.0208691577265213	27	24	14
discovery	3	ABS	fine_state	within	0.0642861290560857	0.0347945550087189	0.0926781801902229	27	24	14
discovery	3	ABS	fine_state	reconstruction_error	1.38777878078145e-17	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	3	GOB	fine_state	total	0.0676514154238273	0.0500506539970505	0.0844324139680763	27	24	14
discovery	3	GOB	fine_state	composition	0.00342219416690689	-0.000389698563187867	0.00869212745156835	27	24	14
discovery	3	GOB	fine_state	within	0.0642292212569204	0.0474290990896416	0.0796274778051544	27	24	14
discovery	3	GOB	fine_state	reconstruction_error	0	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	3	TAC	fine_state	total	0.0864536455233197	0.0482865291263928	0.121037613979822	27	24	14
discovery	3	TAC	fine_state	composition	0.011163240870563	-0.00187091388057707	0.0232127211908361	27	24	14
discovery	3	TAC	fine_state	within	0.0752904046527568	0.0446193631340239	0.107277157097553	27	24	14
discovery	3	TAC	fine_state	reconstruction_error	1.38777878078145e-17	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	4	all	fine_state	total	0.0754137408897875	0.0445871220149803	0.104953051347267	27	24	14
discovery	4	all	fine_state	composition	0.0152934201940355	0.0034709304076145	0.0267515763816562	27	24	14
discovery	4	all	fine_state	within	0.060120320695752	0.0332484309781575	0.087134689973718	27	24	14
discovery	4	all	fine_state	reconstruction_error	0	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	4	ABS	fine_state	total	0.0740661361976651	0.0421051308623957	0.104105340519293	27	24	14
discovery	4	ABS	fine_state	composition	0.011667405122687	0.00111423880066128	0.0244393213465046	27	24	14
discovery	4	ABS	fine_state	within	0.0623987310749781	0.0337933904983099	0.0895192071148001	27	24	14
discovery	4	ABS	fine_state	reconstruction_error	-6.93889390390723e-18	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	4	GOB	fine_state	total	0.0676514154238273	0.0493076437180887	0.0845365919650674	27	24	14
discovery	4	GOB	fine_state	composition	0.00642089590659497	0.00193266756406728	0.0121695712949522	27	24	14
discovery	4	GOB	fine_state	within	0.0612305195172323	0.0441329963585615	0.077481890098332	27	24	14
discovery	4	GOB	fine_state	reconstruction_error	0	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	4	TAC	fine_state	total	0.0864536455233197	0.0498386794742197	0.119829008789622	27	24	14
discovery	4	TAC	fine_state	composition	0.00856325222921304	-0.00237301952420954	0.020412210602865	27	24	14
discovery	4	TAC	fine_state	within	0.0778903932941067	0.0454736436390464	0.110174105154815	27	24	14
discovery	4	TAC	fine_state	reconstruction_error	1.38777878078145e-17	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	5	all	fine_state	total	0.0754137408897875	0.0445661913542958	0.104835582748797	27	24	14
discovery	5	all	fine_state	composition	0.020589590999864	0.00788437999774141	0.031860736168818	27	24	14
discovery	5	all	fine_state	within	0.0548241498899235	0.0319601100954464	0.0789815587643803	27	24	14
discovery	5	all	fine_state	reconstruction_error	-6.93889390390723e-18	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	5	ABS	fine_state	total	0.0740661361976651	0.0409913522840012	0.105218353311516	27	24	14
discovery	5	ABS	fine_state	composition	0.0206129014093237	0.00869656979215185	0.0337776043525966	27	24	14
discovery	5	ABS	fine_state	within	0.0534532347883415	0.0282853500949551	0.0776185986817203	27	24	14
discovery	5	ABS	fine_state	reconstruction_error	6.93889390390723e-18	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	5	GOB	fine_state	total	0.0676514154238273	0.0500961509358924	0.0844925441473905	27	24	14
discovery	5	GOB	fine_state	composition	0.00834655572965347	0.00332018764991172	0.0147006593062711	27	24	14
discovery	5	GOB	fine_state	within	0.0593048596941738	0.0428501969380443	0.0751380541358052	27	24	14
discovery	5	GOB	fine_state	reconstruction_error	-1.38777878078145e-17	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	5	TAC	fine_state	total	0.0864536455233197	0.0497882864990963	0.119301168186466	27	24	14
discovery	5	TAC	fine_state	composition	0.0123967155738657	-0.00414814719173499	0.0253741506558324	27	24	14
discovery	5	TAC	fine_state	within	0.074056929949454	0.0481437730127848	0.100710167140026	27	24	14
discovery	5	TAC	fine_state	reconstruction_error	0	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
discovery	NA	all	broad_state	total	0.0754137408897875	0.042418401157631	0.104130255495465	27	24	14
discovery	NA	all	broad_state	composition	0.00544857583120777	-0.00153830698180206	0.0124034150077058	27	24	14
discovery	NA	all	broad_state	within	0.0699651650585797	0.039775439321142	0.0982468184569877	27	24	14
discovery	NA	all	broad_state	reconstruction_error	2.77555756156289e-17	-1.38777878078145e-17	1.38777878078145e-17	27	24	14
validation	3	all	fine_state	total	0.0999115353220597	0.0614144051285281	0.131926027313506	23	18	12
validation	3	all	fine_state	composition	0.0192568267066013	0.00858711835336049	0.0282499286961018	23	18	12
validation	3	all	fine_state	within	0.0806547086154583	0.0494022750593697	0.111103318764567	23	18	12
validation	3	all	fine_state	reconstruction_error	0	-1.38777878078145e-17	1.38777878078145e-17	23	18	12
validation	3	ABS	fine_state	total	0.105826357417742	0.068875856647174	0.138561805867269	23	18	12
validation	3	ABS	fine_state	composition	0.0125808116500044	0.0046755409262222	0.0209090491708503	23	18	12
