broad_state	k	fine_state	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
ABS	3	ABS_F1	-7.382297	-4.2289066	0.12695014	0.34336305	0.26503846	-0.30674613	-0.24558538	0.40868628	0.173344	-0.17485583	-0.0053074965	0.048394244	0.04840096	0.0037023209	0.11882762	-0.05185457	0.013046165	-0.071136445	-0.02922369	0.10497793
ABS	3	ABS_F2	-1.5001602	15.032527	-0.06468214	-1.1208318	-1.4667921	0.10132249	0.06756712	-0.39371768	0.015598446	0.22170904	0.29046685	0.021658838	-0.25928295	-0.13009143	0.025980014	-0.08978151	0.030585386	0.040214416	0.015908392	-0.12323682
ABS	3	ABS_F3	10.493878	-3.6121035	-0.12566677	0.23289506	0.5440942	0.33693254	0.27796346	-0.2922349	-0.234521	0.09278366	-0.16900258	-0.075950876	0.09416513	0.07397118	-0.17002311	0.1216964	-0.035459198	0.06801303	0.028310522	-0.06168055
ABS	4	ABS_F1	-5.7262554	14.030778	-0.37896937	-0.7158987	-1.036869	0.7559664	0.664042	-1.1582785	0.033007078	0.34365475	0.2208693	-0.02611242	-0.21658048	-0.23320909	-0.04646631	-0.08345174	-0.02951887	0.07658634	-0.0076487414	-0.17066672
ABS	4	ABS_F2	-7.649054	-4.5041275	0.21501528	0.21194474	0.27290127	-0.35567728	-0.31088406	0.48723057	0.21789789	-0.21453936	-0.034065317	0.044650767	0.061845127	0.023745138	0.13046513	-0.051465377	0.0025364475	-0.07272007	-0.025153285	0.11947529
ABS	4	ABS_F3	12.128047	9.96946	1.5088376	0.40971288	1.3684494	-1.0640327	-1.5202721	1.7694261	-0.4783628	-0.22527222	0.48869354	-0.049833868	-0.3778435	0.18526061	-0.095682316	0.18771291	0.09798651	-0.039606042	0.0062929387	0.06753966
ABS	4	ABS_F4	9.142158	-6.098106	-0.7155224	-0.049692158	-0.34954453	0.50513905	0.6877963	-0.75054264	-0.1276017	0.1959688	-0.28778595	-0.026967546	0.1992093	0.026318926	-0.11744133	0.04345618	-0.02734541	0.07456518	0.037573922	-0.09702839
ABS	5	ABS_F1	-5.8987665	14.422863	-0.06825522	-0.88911444	-1.2446531	0.8194577	0.731469	-1.28042	0.04580187	0.34613138	0.18539847	-0.023238549	-0.19742584	-0.2542033	-0.065853536	-0.094449185	-0.018454388	0.064561434	-0.0022061723	-0.1771319
ABS	5	ABS_F2	10.790884	-6.532189	0.6442931	-0.6249146	-0.501592	0.8089367	0.7551264	-0.7899736	-0.21501507	0.2335391	-0.27671733	0.0031022197	0.17652702	0.06632836	-0.09678767	0.0668492	-0.10932648	0.09571269	-0.021838222	-0.13006687
ABS	5	ABS_F3	-1.7583358	-2.382048	-5.2506456	2.2072635	1.3844576	-0.20650387	0.043598656	-0.05831028	0.48950943	-0.010911894	-0.11651629	0.12402764	0.13550009	-0.040538386	0.08182494	-0.049702235	0.04344815	0.030890187	0.14090501	0.067087516
ABS	5	ABS_F4	-9.164915	-5.3734064	2.7576714	-0.6956034	-0.31566578	-0.53075045	-0.4329081	0.6944489	-0.0059457524	-0.29152644	-0.0034516698	-0.056555666	0.023344547	0.04403043	0.09010046	-0.02928552	0.024129748	-0.11875993	-0.08198386	0.1366713
ABS	5	ABS_F5	12.528018	10.754812	1.6508195	0.20681821	1.0522063	-1.1499612	-1.6275557	1.8643185	-0.52298045	-0.23292848	0.53643554	-0.06285801	-0.39567864	0.19581968	-0.083929524	0.16522063	0.11246001	-0.051422887	-0.008742862	0.057249613
GOB	3	GOB_F1	7.2148113	-3.6167028	0.2775365	-0.19127569	0.039398257	0.3411236	0.18177436	-0.029426921	-0.2182876	0.24537246	-0.214508	0.1341922	-0.06187839	0.14862539	0.1420509	-0.0027003046	0.055898856	-0.011426115	0.0011972671	0.030449608
GOB	3	GOB_F2	-7.769525	-1.3219796	0.012828197	-0.19151556	0.47439355	-0.08513122	-0.20165414	-0.039431192	0.22677551	-0.09824194	0.118462704	-0.01987164	0.13845932	-0.16902696	-0.04408239	0.006823066	-0.024372786	0.024131466	-0.034522124	-0.004837299
GOB	3	GOB_F3	3.1645918	13.342982	-0.7702999	1.0536642	-1.4617565	-0.65803635	0.09662953	0.19062737	-0.07200841	-0.3674208	0.22797236	-0.2978246	-0.23268978	0.090869635	-0.24931201	-0.012389107	-0.07800378	-0.038860235	0.09563221	-0.06664071
GOB	4	GOB_F1	-8.524064	8.94434	1.4661052	-0.43052328	0.23737593	0.5193686	0.44802535	-0.63209033	-0.89081246	1.1436462	-0.5875302	-0.124630794	-0.4759173	0.099152036	-0.065726124	-0.27137047	0.097810484	-0.073243946	0.087833114	0.023435267
GOB	4	GOB_F2	-6.6854396	-3.246165	-0.6714154	0.12776808	0.249046	-0.3816411	-0.37662652	0.13181989	0.44956893	-0.43862024	0.244808	0.091310576	0.16448312	-0.14674085	-0.1071465	0.08332265	-0.038710322	0.049385414	-0.024841268	-0.011584339
GOB	4	GOB_F3	8.781602	11.458028	-0.49668345	0.6031809	-0.5503697	-0.21484445	-0.056690015	0.6064267	0.46605143	-0.7914206	0.79249716	-0.5754008	0.26858804	-0.20548989	-0.05807508	0.11130843	-0.27202	-0.035458636	-0.052088972	-0.055783473
GOB	4	GOB_F4	7.254491	-4.251797	0.31183812	-0.18401192	-0.15762797	0.27673262	0.24223109	-0.10990186	-0.29308778	0.29969925	-0.3145437	0.16127679	-0.08358854	0.19066435	0.1603934	-0.02141042	0.10100935	-0.010483808	0.0105048735	0.023239452
GOB	5	GOB_F1	-6.4058313	-3.5615804	-1.3801705	0.31048292	0.28246644	-0.4773743	-0.47259763	0.09594005	0.5101022	-0.46571642	0.29944396	0.08821944	0.17578846	-0.1269192	-0.107591435	0.07757318	-0.023650065	0.03575909	-0.021460768	-0.01177118
GOB	5	GOB_F2	6.022969	-6.1411676	0.025869481	0.22400686	-0.99527663	-0.118925765	0.55331486	-0.10583687	-0.5921291	0.30104437	-0.33538747	0.0005041534	-0.24607088	0.1936078	0.06259671	-0.049112365	0.12164211	0.020291472	0.043951474	0.0054575945
GOB	5	GOB_F3	-9.940422	5.348141	2.912418	-1.1641343	1.0291976	0.7640564	0.4068034	-0.38016647	-0.6024949	0.8658414	-0.39528787	-0.28018367	-0.21295865	-0.13981274	0.059262373	-0.17354667	-0.033839013	-0.03498536	-0.001121073	0.0116409585
