gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	signature_direction	rank_within_direction	selection_cohort	validation_used_for_selection	panel_arm	route_weight	reduced_rank_within_arm	selection_status	gene_swapping_permitted
OLFM4	0.7293857	0.72205144	0.2635015115141869	1.296439653635025	0.999	0.002	0.04607232	0.015846696449565	False	True	True	0.7293857	adenoma_up	1	Chen discovery only	False	WNT_stem_progenitor_up	1.0	1	post_hoc_fixed_exploratory_reduction	False
ASCL2	0.50405955	0.50497675	0.2835490621626377	0.7455495700240135	1.0	0.0009990009990009	0.0049427166	0.0126510092688221	False	True	True	0.50405955	adenoma_up	2	Chen discovery only	False	WNT_stem_progenitor_up	1.0	2	post_hoc_fixed_exploratory_reduction	False
RNF43	0.4764946	0.4774106	0.2538956291973591	0.6859840527176857	1.0	0.0009990009990009	0.010522959	0.0126510092688221	False	True	True	0.4764946	adenoma_up	3	Chen discovery only	False	WNT_stem_progenitor_up	1.0	3	post_hoc_fixed_exploratory_reduction	False
NKD1	0.4699508	0.46676815	0.1873228497803211	0.790768727660179	1.0	0.0009990009990009	0.0030282072	0.0126510092688221	False	True	True	0.4699508	adenoma_up	4	Chen discovery only	False	WNT_stem_progenitor_up	1.0	4	post_hoc_fixed_exploratory_reduction	False
AXIN2	0.42774308	0.42650798	0.2116329345852136	0.6518554106354714	1.0	0.0009990009990009	0.03514409	0.0126510092688221	False	True	True	0.42774308	adenoma_up	5	Chen discovery only	False	WNT_stem_progenitor_up	1.0	5	post_hoc_fixed_exploratory_reduction	False
FABP1	-0.6395843	-0.6382067	-0.9186004295945168	-0.3872826799750328	1.0	0.0009990009990009	0.052314155	0.0126510092688221	False	True	True	0.6395843	adenoma_down	1	Chen discovery only	False	mature_differentiation_down	-1.0	1	post_hoc_fixed_exploratory_reduction	False
CA2	-0.50416976	-0.5125221	-0.6816637873649597	-0.3085517391562462	1.0	0.0009990009990009	0.06303602	0.0126510092688221	False	True	True	0.50416976	adenoma_down	2	Chen discovery only	False	mature_differentiation_down	-1.0	2	post_hoc_fixed_exploratory_reduction	False
PCK1	-0.6020564	-0.60729563	-0.907538415491581	-0.243793984875083	1.0	0.0009990009990009	0.10194124	0.0126510092688221	False	True	True	0.6020564	adenoma_down	3	Chen discovery only	False	mature_differentiation_down	-1.0	3	post_hoc_fixed_exploratory_reduction	False
LGALS4	-0.5996236	-0.59609747	-0.871893173456192	-0.3489664018154145	1.0	0.0009990009990009	0.0062964093	0.0126510092688221	False	True	True	0.5996236	adenoma_down	4	Chen discovery only	False	mature_differentiation_down	-1.0	4	post_hoc_fixed_exploratory_reduction	False
AQP8	-0.4854524	-0.4843511	-0.6943642288446427	-0.28683115914464	1.0	0.0009990009990009	0.13634369	0.0126510092688221	False	True	True	0.4854524	adenoma_down	5	Chen discovery only	False	mature_differentiation_down	-1.0	5	post_hoc_fixed_exploratory_reduction	False
