omitted_gene	omitted_arm	n_genes_retained	external_pooled_effect_sd	external_ci_low	external_ci_high	external_retained_fraction_vs_10_gene	heldout_auc	heldout_p_value	ffpe_n_pairs	ffpe_median_paired_difference	ffpe_positive_fraction	ffpe_p_value
OLFM4	WNT_stem_progenitor_up	9	1.8877830891284277	1.7358320320147398	2.039734146242116	0.9905218362687406	0.9476190476190476	2.3061875992919956e-06	51	2.5842584912097992	0.9411764705882353	1.1767500110416035e-09
ASCL2	WNT_stem_progenitor_up	9	1.9035864384060321	1.7508731058270304	2.056299770985034	0.998813870791031	0.9428571428571428	2.9515823109190988e-06	51	2.5296751107664255	0.9607843137254902	1.1098491876272212e-09
RNF43	WNT_stem_progenitor_up	9	1.8845519518549074	1.731720969695863	2.0373829340139515	0.9888264550335578	0.9357142857142857	4.25405366603936e-06	51	2.41419230937437	0.9607843137254902	1.247576510624166e-09
NKD1	WNT_stem_progenitor_up	9	1.9267123765804584	1.7765161829672578	2.076908570193659	1.0109480756569862	0.930952380952381	5.411377486931045e-06	51	2.569585252472416	0.9607843137254902	1.1767500110416035e-09
AXIN2	WNT_stem_progenitor_up	9	1.896415302354482	1.7436010347127797	2.0492295699961844	0.9950511679196996	0.9285714285714286	6.097648501832198e-06	51	2.278535189121288	0.9607843137254902	1.3225524535196487e-09
FABP1	mature_differentiation_down	9	1.9277300128020112	1.7765668494426086	2.078893176161414	1.0114820304871948	0.9357142857142857	4.25405366603936e-06	51	2.6175536940349993	0.9607843137254902	1.247576510624166e-09
CA2	mature_differentiation_down	9	1.878769410104474	1.7249954560604341	2.032543364148514	0.9857923490994993	0.9404761904761905	3.336080155256925e-06	51	2.4284247383581876	0.9607843137254902	1.4019139660245744e-09
PCK1	mature_differentiation_down	9	1.8923447250941356	1.7413239454348912	2.04336550475338	0.9929153316121218	0.9428571428571428	2.9515823109190988e-06	51	2.402118621208577	0.9607843137254902	1.0466620052186515e-09
LGALS4	mature_differentiation_down	9	1.9182209164673893	1.7678691455970905	2.068572687337688	1.006492597317214	0.9404761904761905	3.336080155256925e-06	51	2.670529281550688	0.9607843137254902	1.0466620052186515e-09
AQP8	mature_differentiation_down	9	1.8823230495037733	1.730492467823973	2.0341536311835737	0.987656947550191	0.930952380952381	5.411377486931045e-06	51	2.3726543430531	0.9607843137254902	1.4019139660245744e-09
