scope	cohort	gene	present	panel_arm
external_sporadic	GSE8671	OLFM4	True	WNT_stem_progenitor_up
external_sporadic	GSE8671	ASCL2	True	WNT_stem_progenitor_up
external_sporadic	GSE8671	RNF43	True	WNT_stem_progenitor_up
external_sporadic	GSE8671	NKD1	True	WNT_stem_progenitor_up
external_sporadic	GSE8671	AXIN2	True	WNT_stem_progenitor_up
external_sporadic	GSE8671	FABP1	True	mature_differentiation_down
external_sporadic	GSE8671	CA2	True	mature_differentiation_down
external_sporadic	GSE8671	PCK1	True	mature_differentiation_down
external_sporadic	GSE8671	LGALS4	True	mature_differentiation_down
external_sporadic	GSE8671	AQP8	True	mature_differentiation_down
external_sporadic	GSE50114	OLFM4	True	WNT_stem_progenitor_up
external_sporadic	GSE50114	ASCL2	True	WNT_stem_progenitor_up
external_sporadic	GSE50114	RNF43	True	WNT_stem_progenitor_up
external_sporadic	GSE50114	NKD1	True	WNT_stem_progenitor_up
external_sporadic	GSE50114	AXIN2	True	WNT_stem_progenitor_up
external_sporadic	GSE50114	FABP1	True	mature_differentiation_down
external_sporadic	GSE50114	CA2	True	mature_differentiation_down
external_sporadic	GSE50114	PCK1	True	mature_differentiation_down
external_sporadic	GSE50114	LGALS4	True	mature_differentiation_down
external_sporadic	GSE50114	AQP8	True	mature_differentiation_down
external_sporadic	GSE41657	OLFM4	True	WNT_stem_progenitor_up
external_sporadic	GSE41657	ASCL2	True	WNT_stem_progenitor_up
external_sporadic	GSE41657	RNF43	True	WNT_stem_progenitor_up
external_sporadic	GSE41657	NKD1	True	WNT_stem_progenitor_up
external_sporadic	GSE41657	AXIN2	True	WNT_stem_progenitor_up
external_sporadic	GSE41657	FABP1	True	mature_differentiation_down
external_sporadic	GSE41657	CA2	True	mature_differentiation_down
external_sporadic	GSE41657	PCK1	True	mature_differentiation_down
external_sporadic	GSE41657	LGALS4	True	mature_differentiation_down
external_sporadic	GSE41657	AQP8	True	mature_differentiation_down
external_sporadic	GSE40362	OLFM4	True	WNT_stem_progenitor_up
external_sporadic	GSE40362	ASCL2	True	WNT_stem_progenitor_up
external_sporadic	GSE40362	RNF43	True	WNT_stem_progenitor_up
external_sporadic	GSE40362	NKD1	True	WNT_stem_progenitor_up
external_sporadic	GSE40362	AXIN2	True	WNT_stem_progenitor_up
external_sporadic	GSE40362	FABP1	True	mature_differentiation_down
external_sporadic	GSE40362	CA2	True	mature_differentiation_down
external_sporadic	GSE40362	PCK1	True	mature_differentiation_down
external_sporadic	GSE40362	LGALS4	True	mature_differentiation_down
external_sporadic	GSE40362	AQP8	True	mature_differentiation_down
external_sporadic	GSE72820	OLFM4	True	WNT_stem_progenitor_up
external_sporadic	GSE72820	ASCL2	True	WNT_stem_progenitor_up
external_sporadic	GSE72820	RNF43	True	WNT_stem_progenitor_up
external_sporadic	GSE72820	NKD1	True	WNT_stem_progenitor_up
external_sporadic	GSE72820	AXIN2	True	WNT_stem_progenitor_up
external_sporadic	GSE72820	FABP1	True	mature_differentiation_down
external_sporadic	GSE72820	CA2	True	mature_differentiation_down
external_sporadic	GSE72820	PCK1	True	mature_differentiation_down
external_sporadic	GSE72820	LGALS4	True	mature_differentiation_down
external_sporadic	GSE72820	AQP8	True	mature_differentiation_down
FFPE	GSE117606	OLFM4	True	WNT_stem_progenitor_up
FFPE	GSE117606	ASCL2	True	WNT_stem_progenitor_up
FFPE	GSE117606	RNF43	True	WNT_stem_progenitor_up
FFPE	GSE117606	NKD1	True	WNT_stem_progenitor_up
FFPE	GSE117606	AXIN2	True	WNT_stem_progenitor_up
FFPE	GSE117606	FABP1	True	mature_differentiation_down
FFPE	GSE117606	CA2	True	mature_differentiation_down
FFPE	GSE117606	PCK1	True	mature_differentiation_down
FFPE	GSE117606	LGALS4	True	mature_differentiation_down
FFPE	GSE117606	AQP8	True	mature_differentiation_down
